B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.355927 0.711853
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.363147 0.726293
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.355684 0.711368
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.358691 0.717383
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.346655 0.693311
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.347182 0.694365
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.367819 0.735637
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.375877 0.751753
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.368129 0.736258
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.333009 0.666018
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.342644 0.685288
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.354007 0.708014
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.339547 0.679094
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.346034 0.692069
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.370698 0.741396
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.361892 0.723784
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.343619 0.687239
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.371927 0.743854
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.356924 0.713847
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.364709 0.729419
86.6297 3.05443 0.070517 43.3149 29.7903 30.9139 30.9139 0.340107 0.680214
87.3263 3.04202 0.0696703 43.6631 27.5616 28.557 28.557 0.321203 0.642406
87.3014 3.08964 0.070781 43.6507 17.4201 17.7611 17.7611 0.214547 0.429093
87.4779 3.08287 0.0704833 43.7389 17.6079 17.9574 17.9574 0.199583 0.399166
87.4779 3.08287 0.0704833 43.7389 17.6079 17.9574 17.9574 0.226267 0.452533
86.8212 3.0905 0.0711922 43.4106 17.1858 17.5154 17.5154 0.21718 0.434359
87.9381 3.10809 0.0706882 43.969 0.324263 0.306458 0.306458 0.00356595 0.00713191
86.9656 3.12194 0.0717971 43.4828 0.32052 0.306124 0.306124 0.00364068 0.00728135
86.5012 3.08884 0.0714173 43.2506 7.1723 6.47878 6.47878 0.0738938 0.147788
85.3937 3.08278 0.0722016 42.6968 8.17577 7.61032 7.61032 0.0794876 0.158975
85.6672 3.07262 0.0717338 42.8336 0.325057 0.306607 0.306607 0.00392176 0.00784351
84.1272 3.07132 0.0730161 42.0636 0.32465 0.306641 0.306641 0.00392475 0.00784951
84.0597 3.06732 0.0729794 42.0299 10.4927 10.2 10.2 0.122577 0.245154
83.7183 3.06265 0.0731656 41.8592 20.9666 21.6333 21.6333 0.255572 0.511144
83.7183 3.06265 0.0731656 41.8592 20.9666 21.6333 21.6333 0.255775 0.511551
81.7993 3.07637 0.0752176 40.8996 10.6677 10.4302 10.4302 0.127321 0.254642
81.518 3.07315 0.0753979 40.759 14.2637 14.4053 14.4053 0.178548 0.357096
83.0496 3.07032 0.0739395 41.5248 17.0734 17.4462 17.4462 0.212314 0.424627
83.0709 3.0713 0.0739441 41.5354 19.7541 20.3477 20.3477 0.279223 0.558445
84.1365 3.09817 0.0736463 42.0682 18.0912 18.5499 18.5499 0.219981 0.439962
85.0851 3.12535 0.0734641 42.5425 0.323317 0.306524 0.306524 0.00363659 0.00727319
85.588 3.15695 0.0737708 42.794 0.323479 0.306561 0.306561 0.00362557 0.00725114
85.588 3.15695 0.0737708 42.794 0.323479 0.306561 0.306561 0.00337082 0.00674165
85.588 3.15695 0.0737708 42.794 0.323479 0.306561 0.306561 0.00406357 0.00812715
84.4408 3.14977 0.0746029 42.2204 0.322613 0.306517 0.306517 0.00336782 0.00673564
85.2576 3.15091 0.0739152 42.6288 0.32285 0.306501 0.306501 0.00400458 0.00800916
86.7004 3.13034 0.0722105 43.3502 0.322777 0.306391 0.306391 0.00378072 0.00756144
87.0637 3.12051 0.0716835 43.5319 0.322909 0.306373 0.306373 0.0034683 0.0069366
87.0637 3.12051 0.0716835 43.5319 0.322909 0.306373 0.306373 0.00326769 0.00653537
87.3174 3.11892 0.0714386 43.6587 0.582733 0.336974 0.336974 0.00388315 0.0077663
87.223 3.11293 0.0713786 43.6115 11.9471 11.786 11.786 0.135435 0.27087
87.9584 3.10396 0.0705779 43.9792 17.0953 17.4064 17.4064 0.215012 0.430025
85.5747 3.08378 0.0720723 42.7873 26.4405 27.4411 27.4411 0.295999 0.591997
85.9285 3.081 0.0717107 42.9642 26.8508 27.8654 27.8654 0.301286 0.602572
86.1074 3.0865 0.0716896 43.0537 27.8135 28.8802 28.8802 0.328196 0.656391
86.354 3.09066 0.0715813 43.177 27.2753 28.3137 28.3137 0.348424 0.696849
85.9392 3.09824 0.0721031 42.9696 27.3598 28.4161 28.4161 0.370083 0.740166
86.5296 3.11317 0.0719563 43.2648 24.2429 25.1213 25.1213 0.280028 0.560057
86.5296 3.11317 0.0719563 43.2648 24.2429 25.1213 25.1213 0.27066 0.54132
85.9178 3.15542 0.0734519 42.9589 21.3653 22.0904 22.0904 0.275741 0.551481
83.7085 3.1082 0.0742625 41.8543 27.6243 28.7402 28.7402 0.382752 0.765504
83.8782 3.07565 0.073336 41.9391 28.7786 29.9183 29.9183 0.356304 0.712608
83.8561 3.04959 0.0727339 41.9281 26.3951 27.3931 27.3931 0.342837 0.685674
85.5558 3.05742 0.0714718 42.7779 24.9369 25.8295 25.8295 0.300808 0.601617
83.8673 3.05093 0.0727561 41.9337 22.2847 23.0327 23.0327 0.26086 0.521719
82.6806 2.96221 0.0716544 41.3403 12.7958 12.7127 12.7127 0.14745 0.2949
