"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
2254.1,2797.06,3919.85,3234.33,1609.22,1087.2,1607.22,2702.67,2418.04,1234.56,2501.73,2002.54,2311.77,962.309,619.592,744.147,285.577,118.647,490.239,726.401,747.33,931.15,1282.12,1930.2,1248.31,2047.42,1536.64,734.623,1130.16,770.092,692.414,493.842,381.489,664.367,1235.4,690.58,1739.92,567.848,1472.39,813.954,1834.49,1262.15,1600.96,700.502,1366.91,1979.54,2111.33,976.45,1482.56,1770.8,2085.22,2079.37,1211.68,1195.99,1051.6,1823.57,509.202,1963.18,435.81,2957.11,1944.01,1147.71,2075.86,1901.21,1568.91,1459.77,1398.41,1222.7
2443.17,3318.58,3430.83,2991.81,1294.76,989.374,1585.3,2659.9,2594.58,1079.09,2875.69,2078.41,1874.06,847.276,631.58,653.156,422.989,133.5,482.672,654.704,826.862,960.677,1358.71,1823.59,1218.05,1895.87,1411.35,767.122,1248.86,716.972,638.039,534.773,406.578,689.495,1295.73,726.214,1719.47,546.257,1540.7,812.048,1789.78,1185.1,1642.06,725.834,1344.66,1932.84,2079.3,949.193,1472.58,1681.66,2003.57,1924.19,1154.09,1155.4,951.294,1743.53,483.562,2166.43,459.766,2872.86,2049.9,1248.96,2014.4,1965.92,1403.41,1541.13,1567.87,1525.19
2586.02,3341.29,4667.25,2777.03,1148.58,1281.22,1719.04,2197.44,3091.96,1115.51,2593.2,1845.08,2177.61,1236.95,822.192,735.108,200.979,154.429,562.262,675.204,784.43,1120.3,1336.29,2054.16,1443.27,2092.3,1827.13,839.499,1233.68,839.869,626.108,532.488,367.403,695.93,1346.84,735.328,1743.8,561.678,1574.72,762.548,1769.67,1347.71,1679.55,783.091,1394.83,2109.85,1908.2,1015.58,1614.11,1868.73,2353.52,2148.97,1298.88,1290.56,946.337,1852.04,545.31,1760.43,445.304,3071.56,1842.84,1164.89,2145.37,1709.84,1482.02,1586.34,1478.47,1105.25
3144.21,3252.35,5348.02,2009.89,1706.64,1037.08,1402.72,2685.03,2940.03,1370.86,2425.57,2165.96,1931.84,1316.83,650.555,589.388,395.125,154.733,559.205,777.88,947.482,1110.17,1554.03,2044.94,1399.29,2235.41,1693.17,822.366,1278.43,866.896,730.898,513.248,415.875,823.173,1422.79,785.592,1875.71,607.47,1563.87,790.752,2077.08,1349.27,1753.74,675.958,1435.95,1972.29,2069.47,1009.46,1344.32,1915.5,2172.3,2074.23,1228.72,1323.86,1136.06,1824.56,478.337,1655.62,453.588,3132.33,2056.53,1239.58,2143.25,2457.37,1745.74,1520.72,1484.28,1306.89
2241.64,3466.17,4247.49,4298.35,1309.16,1128.71,1422.9,2872.53,2412.84,1182.96,3049.05,2104.41,2241.83,1280.01,781.968,577.215,406.103,157.71,505.408,825.359,787.104,1109.29,1315.1,1944.41,1450.1,2379.52,1499.9,819.222,1361.55,812.301,777.352,568.399,422.185,698.73,1644.3,815.136,2161.73,661.077,1759.78,919.331,2249.47,1657.14,1701.02,712.562,1571.32,1998.78,2215.26,1232.68,1339.75,1941.64,2119.02,2118.89,1288.47,1566.76,936.122,2105.43,513.962,1964.63,502.6,2933.65,1796.33,1088.02,1685.39,1762.65,1305.56,833.244,1281.08,880.615
2220.49,2478.29,3692.24,4474.83,1823.33,1107.53,1064.88,4176.2,2609.07,1263.83,2660.53,2064.08,2016.89,1131.02,572.487,691.611,309.175,164.463,496.81,776.259,818.732,956.608,1187.89,1972.42,1254.11,2260.91,1458.52,744.249,1148.67,858.645,699.635,548.292,394.602,746.001,1290.83,685.881,1865.06,569.056,1471.43,788.777,2104.31,1315.18,1597.26,724.414,1446.24,2182.83,2153.25,982.401,1834.13,1706.78,2014.11,2136.16,1216.91,1400.12,1196.82,1972.84,533.419,2360.21,411.784,2573.7,1953.57,1082.36,1970.47,1656.65,1477.25,1303.23,954.185,1308.07
2571.19,2871.68,3931.31,3374.95,1878.07,1035.87,1640.81,2542.83,2475.72,1164.84,2487.9,2224.97,2188.71,1064.15,661.089,543.064,550.874,119.624,367.361,692.246,685.622,927.01,1170.53,1774.21,1206.73,1900.64,1632.36,735.817,1328.45,822.572,679.828,574.158,401.095,630.038,1235.2,751.317,1665.36,572.913,1386.85,890.942,1896.71,1144.69,1575.38,725.828,1353.32,2125.09,2230.6,1137.42,1523.68,1879.54,2086.98,2011.01,1269.23,1275.79,1271.94,1759.54,537.788,2180.34,448.528,3081.98,1887.76,1102.86,1762.23,1826.52,1473.99,1260.53,1252.7,1086.09
2334.52,2858.94,4096.31,3011.84,1470.75,896.481,1432.81,2589.64,2408.78,1325.83,2485.07,2290.04,2060.62,963.221,651.846,405.78,614.6,74.3102,329.312,680.736,682.773,922.382,1182.17,2081.25,1239.06,1913.82,1422.68,685.072,1173.17,735,733.378,606.048,410.845,749.6,1162.31,638.118,1733.76,583.906,1584.08,873.599,1939.25,1247.87,1560.55,665.606,1312.01,1933.02,1986.21,854.131,1615.51,1899.46,2043.74,1947.99,1189.93,1244.56,1117.9,1583.32,527.141,2114.04,458.423,3019.52,2073.91,1194.81,2414.99,2218.81,1900.14,1815.97,1552.46,852.363
2696.66,2769.27,3460.19,2992.02,2138.96,1283.82,1185.15,3097.04,2361.24,1256.92,2831.76,1651.09,2263.19,962.73,758.784,643.564,360.256,57.1487,389.879,651.784,682.416,927.415,1251.57,1649.32,1054.2,2112.73,1503.49,730.846,1108.35,686.561,682.193,477.007,355.229,677.601,1254.59,592.387,1720.8,555.361,1389.53,796.027,1603.13,1259.73,1483.23,639.107,1173.47,1914.51,2136.22,955.344,1244.22,1626.96,1802.78,2187.08,1169.4,1221.12,978.415,1909.68,458.184,1817.95,409.653,2729.12,1957.97,1283.29,1896.41,2017.09,1705.86,1645.67,1421.93,1484.57
2009.49,3136.84,3437.59,4075.84,1831.13,1086.62,1546.81,3909.69,1952.1,1054.98,2173.09,2073.23,2673.21,1014.74,701.338,542.312,415.042,124.933,496.309,870.924,748.729,1004.82,1362.25,1893.22,1256.58,2355.76,1526.44,753.366,1219.02,774.482,698.104,627.454,451.75,734.414,1349.93,721.253,1742.98,585.676,1613.99,837.782,2038.5,1494.72,1749.87,843.55,1488.26,2131.04,2164.32,1025.6,1652.29,1679.73,2250.53,2182.08,1285.93,1194,1095.59,1810.38,442.549,2023.58,483.565,3041.65,1881.05,1277.04,2046.39,1981.95,1416.72,1094.5,1399.17,964.958
