"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
85.2763,91.6173,115.501,141.875,125.579,71.0166,43.3278,60.5448,77.2223,68.8068,59.8179,58.5504,48.1613,39.9304,24.1249,14.3524,6.51298,9.12655,13.1429,25.1533,37.5753,43.297,57.7826,76.5678,87.1919,99.174,106.877,85.3887,72.7066,64.3328,57.2316,46.5997,30.233,26.3412,36.8093,53.4658,57.7055,69.2537,65.3683,68.9068,73.8149,84.4876,85.2529,72.5364,69.5317,77.4081,86.1928,83.7722,77.9133,76.1874,94.1603,93.6653,87.2951,71.2679,61.6768,54.1491,61.2447,46.3027,54.5982,55.181,84.3375,88.332,82.5616,86.4987,74.4458,69.3727,60.1471
97.6827,107.326,131.442,144.564,115.659,60.9912,36.4514,56.324,75.1267,71.006,63.7397,67.2974,54.6241,35.4865,21.5099,11.8401,6.19598,11.3656,15.2182,25.9545,37.435,44.7111,60.5512,79.3269,87.4969,97.6906,102.83,81.5166,70.411,64.9095,56.8806,46.0389,32.2563,28.0534,39.4214,56.9932,60.7884,71.5964,66.9644,71.967,75.3991,83.7694,82.9168,73.5571,70.497,77.5899,85.8105,83.4104,77.7802,75.9683,93.2328,91.5266,83.5783,67.9129,59.511,50.6194,58.3657,45.6215,57.7459,57.0648,85.5167,92.2826,85.4421,87.7978,75.7646,69.0966,62.5724
108.831,115.865,141.613,165.615,128.633,70.316,46.0637,59.175,73.6395,72.8967,60.957,58.4062,49.9955,40.0157,30.7023,22.722,11.1165,11.4766,15.7016,27.3976,37.9535,45.2603,62.2189,80.7301,92.1213,105.495,112.99,93.3347,80.6443,70.7352,61.4374,48.0474,30.7424,26.2785,38.2588,56.0671,59.2181,69.7405,66.1762,69.8172,71.6192,81.6744,84.2137,72.806,71.0042,80.199,86.0274,80.7602,75.224,76.1171,97.6618,98.5104,92.304,75.1074,64.9596,54.0436,60.86,44.4777,49.9644,51.8644,82.1884,84.9394,80.5423,82.9487,69.157,64.8911,58.823
95.2932,113.48,142.004,173.719,121.046,64.7251,36.7946,51.9864,75.2834,79.1546,67.2819,66.0252,52.3018,40.5009,28.3521,18.0089,6.32081,10.6453,15.4545,28.2282,41.7711,51.0298,68.752,88.5053,96.7521,108.996,116.064,92.6272,79.148,70.3916,62.9472,50.2635,32.6304,30.1674,43.5098,61.4987,64.8793,75.968,70.7468,72.3309,77.232,90.9501,91.2621,76.5426,71.2579,77.9087,83.9861,81.7154,74.0584,71.8791,92.585,92.6682,85.2052,69.5619,62.8591,54.3387,60.0438,43.009,47.5008,50.975,84.0595,89.7671,84.6761,90.4958,85.2412,78.7254,67.5906
83.2077,91.2096,123.985,159.386,142.902,78.8389,49.7401,61.8745,82.06,69.0556,61.8821,64.5592,50.4259,40.2809,30.5956,20.162,8.53632,12.6354,16.1984,27.6338,40.2902,46.4002,62.0138,78.0404,87.4632,101.678,111.889,86.7657,75.2924,68.0443,60.6125,50.0242,32.7158,27.9873,42.2061,63.5045,69.0703,82.5556,77.1477,79.5068,84.9304,100.605,101.131,82.3495,75.7719,83.0479,88.4944,86.9115,80.6542,75.7973,94.2513,92.213,85.9903,72.1917,65.6137,56.8324,64.8686,47.3871,53.8814,53.7079,80.3784,80.656,71.5772,69.7675,59.682,50.351,37.1816
74.9697,81.5271,102.147,134.447,144.147,89.0726,53.0047,70.4999,104.031,87.0436,71.8415,66.7095,51.7724,40.4099,28.2026,12.9048,5.57661,9.07054,13.9516,26.0157,39.199,45.5454,58.17,75.0975,84.7505,98.0591,108.12,84.7235,71.5173,63.7328,57.5208,46.8956,31.8708,28.0521,39.1732,55.3018,59.4515,71.6999,66.1686,68.1534,74.7673,88.4322,87.6029,72.8037,70.1095,80.1528,91.2386,86.3018,81.3164,82.5476,96.0273,91.5677,85.6572,71.3517,65.6864,59.086,65.684,50.7191,61.602,56.5936,78.0402,82.0208,75.4621,77.3579,63.8689,59.4869,46.8254
72.8245,90.8195,115.183,139.111,122.831,73.6012,42.3678,58.2815,68.2251,65.0788,56.7346,55.5789,51.7791,36.9301,24.5908,12.9088,4.94749,11.4504,13.9181,22.6752,33.9177,39.3549,52.9612,69.2968,78.5133,89.1878,97.6674,81.6323,73.6722,67.7238,60.3276,49.2156,32.9585,27.9259,36.5772,53.2763,56.9959,67.1215,62.4953,65.8637,72.7865,83.5835,81.5256,69.196,67.4001,77.0965,88.4598,87.689,83.8327,80.8889,98.1929,95.1885,87.3928,71.6325,64.7034,57.8334,61.9844,47.6264,57.9385,58.4944,86.8846,87.4822,77.0055,76.2003,67.3942,60.7358,50.1728
69.3766,85.5086,113.147,138.236,115.62,58.7122,35.4887,50.856,67.0495,63.1213,55.9052,57.1336,50.0655,32.3565,20.1154,10.098,3.85426,9.91604,11.6339,20.2696,32.1865,38.0184,52.0127,72.1692,85.7486,97.1378,100.405,79.3698,68.2223,61.3904,54.7733,47.0958,32.6311,29.0489,38.8827,52.7111,55.2856,66.7875,65.1154,70.6209,76.624,87.1162,86.2155,71.3629,66.2889,73.3337,81.1716,77.4406,72.3823,75.2938,95.2858,91.803,83.6709,68.8619,60.6075,52.4482,55.8488,43.7264,54.6932,55.6306,85.3857,90.7489,86.1948,95.8078,86.4629,84.4213,76.0665
94.6072,108.237,125.082,147.367,133.875,91.5936,58.7825,70.3571,90.1834,73.4802,66.6627,69.0301,50.4526,40.6919,24.5112,14.0701,6.8341,10.1417,12.003,21.9369,33.7845,40.4985,56.2516,73.4806,80.6339,92.5325,104.39,85.6225,73.7008,64.6648,56.8165,46.8139,30.8527,26.7019,38.112,54.7246,57.837,69.5392,65.8491,68.8561,72.7838,81.5268,82.1117,69.863,65.5887,72.7832,84.0735,84.2214,77.655,72.8333,87.7837,87.5208,85.985,72.0606,63.3617,55.3191,64.2694,48.3129,54.9617,54.0845,81.9007,89.4066,85.416,89.061,79.7815,78.2933,69.4404
103.327,102.83,122.544,141.229,140.461,77.3507,46.6876,69.5383,98.8871,73.5463,57.031,53.6142,52.9435,44.7671,29.705,18.1047,6.81921,11.2218,14.7001,27.1235,40.9554,45.8074,60.4744,77.7418,86.4337,99.2878,110.524,86.1962,73.9248,65.6163,57.8961,47.8968,33.6959,29.9444,40.7073,57.3414,59.766,69.5169,66.3183,71.0945,76.6789,91.2677,93.3668,79.7933,77.398,84.5316,91.7163,86.3084,80.7959,77.6831,94.4233,96.0837,89.6109,72.0047,62.3343,53.8913,58.9063,43.8583,53.5738,54.8759,83.8006,86.5068,81.1999,85.1815,72.484,61.6402,49.2791
