"M_1951","M_1952","M_1953","M_1954","M_1955","M_1956","M_1957","M_1958","M_1959","M_1960","M_1961","M_1962","M_1963","M_1964","M_1965","M_1966","M_1967","M_1968","M_1969","M_1970","M_1971","M_1972","M_1973","M_1974","M_1975","M_1976","M_1977","M_1978","M_1979","M_1980","M_1981","M_1982","M_1983","M_1984","M_1985","M_1986","M_1987","M_1988","M_1989","M_1990","M_1991","M_1992","M_1993","M_1994","M_1995","M_1996","M_1997","M_1998","M_1999","M_2000","M_2001","M_2002","M_2003","M_2004","M_2005","M_2006","M_2007","M_2008","M_2009","M_2010","M_2011","M_2012","M_2013","M_2014","M_2015","M_2016","M_2017"
0.449409,0.399751,0.355078,0.314863,0.279711,0.250763,0.229411,0.217391,0.216964,0.230411,0.260826,0.31262,0.390752,0.497418,0.626153,0.760569,0.87655,0.949733,0.965925,0.927801,0.852227,0.758926,0.66423,0.579193,0.510035,0.459741,0.429506,0.418951,0.427213,0.453229,0.494811,0.546539,0.598134,0.63844,0.659045,0.6572,0.637034,0.608401,0.583208,0.569139,0.569664,0.585274,0.613578,0.648139,0.678161,0.694013,0.690508,0.668384,0.634048,0.597768,0.570434,0.558329,0.563789,0.586401,0.622608,0.663818,0.695756,0.705537,0.68667,0.641329,0.579275,0.513994,0.457526,0.415194,0.387462,0.372289,0.36602
0.501646,0.483713,0.459099,0.419438,0.365826,0.306349,0.25123,0.208692,0.183261,0.175558,0.186257,0.218575,0.278767,0.373502,0.502276,0.652251,0.796164,0.899632,0.937621,0.90862,0.83323,0.736649,0.638967,0.552785,0.484345,0.435975,0.408151,0.40018,0.41124,0.440535,0.48625,0.543238,0.60107,0.647834,0.673968,0.675643,0.656442,0.626339,0.597766,0.578912,0.573578,0.582499,0.603713,0.631825,0.657842,0.673679,0.674528,0.65999,0.634165,0.604639,0.580098,0.565927,0.564275,0.574893,0.595143,0.619215,0.638125,0.643886,0.631854,0.601817,0.557902,0.507194,0.457165,0.41225,0.374026,0.342234,0.315507
0.638009,0.578904,0.519473,0.454235,0.385647,0.320306,0.265174,0.225452,0.20419,0.202135,0.221006,0.265589,0.343795,0.462672,0.618184,0.789445,0.939516,1.02901,1.0374,0.975217,0.874729,0.765576,0.666427,0.58621,0.527663,0.490581,0.473856,0.476216,0.496397,0.532577,0.58094,0.633513,0.677416,0.700796,0.697581,0.669834,0.62702,0.582882,0.550953,0.538613,0.548706,0.581375,0.63337,0.694794,0.746962,0.771613,0.758918,0.711776,0.644357,0.576036,0.523909,0.495667,0.493189,0.515951,0.56101,0.61975,0.674729,0.706905,0.703048,0.661446,0.592655,0.514329,0.442849,0.385626,0.343447,0.313901,0.29308
0.422076,0.416503,0.404977,0.380019,0.341542,0.295642,0.251138,0.216141,0.19622,0.193531,0.210289,0.25133,0.324773,0.439144,0.594639,0.776615,0.952371,1.07909,1.12361,1.08095,0.974731,0.837887,0.69887,0.576187,0.478726,0.409,0.366345,0.348248,0.35254,0.378031,0.423362,0.483968,0.5488,0.603813,0.636555,0.641095,0.620908,0.587718,0.556257,0.536042,0.531458,0.543618,0.570899,0.607894,0.644679,0.671482,0.681579,0.673119,0.649757,0.619684,0.59278,0.575497,0.570824,0.579311,0.59934,0.626535,0.653464,0.67239,0.676806,0.662632,0.629167,0.579253,0.518275,0.452182,0.386324,0.324821,0.270343
0.463814,0.371831,0.302226,0.254756,0.226115,0.212978,0.212967,0.224498,0.246294,0.277746,0.318624,0.368729,0.42773,0.495195,0.570482,0.651321,0.732667,0.805921,0.858835,0.87692,0.848511,0.775019,0.671586,0.559848,0.459333,0.38287,0.336305,0.319275,0.330896,0.372396,0.445808,0.547663,0.659351,0.7511,0.794314,0.777557,0.713918,0.633093,0.564586,0.522478,0.510526,0.528476,0.573377,0.636095,0.69721,0.735545,0.736852,0.700288,0.638815,0.573102,0.522492,0.496164,0.496874,0.5248,0.577551,0.646295,0.711755,0.752522,0.75403,0.715306,0.649449,0.577332,0.518204,0.48077,0.466688,0.474448,0.499998
0.309073,0.272088,0.23968,0.211842,0.188781,0.170814,0.158377,0.152188,0.153413,0.163466,0.184411,0.219329,0.272227,0.346978,0.444916,0.562977,0.691455,0.813038,0.905184,0.94632,0.924541,0.84553,0.730328,0.605486,0.493221,0.40703,0.352194,0.327348,0.330274,0.360583,0.418885,0.502224,0.597262,0.682907,0.737227,0.74755,0.717601,0.665855,0.615397,0.580135,0.565509,0.572071,0.596684,0.631145,0.661326,0.674457,0.663766,0.630655,0.58398,0.536871,0.502134,0.486471,0.492317,0.519876,0.566748,0.625082,0.679164,0.712161,0.712572,0.678902,0.620293,0.552441,0.490609,0.442268,0.408811,0.388405,0.377276
0.547758,0.418883,0.321289,0.24905,0.197058,0.161132,0.138183,0.126432,0.125583,0.136653,0.162669,0.209332,0.284779,0.396347,0.542346,0.706253,0.856288,0.95585,0.981853,0.937583,0.848129,0.741027,0.636686,0.546897,0.476774,0.427617,0.399125,0.390235,0.400066,0.42808,0.473239,0.53204,0.596551,0.656648,0.702365,0.726642,0.727799,0.710328,0.682862,0.652899,0.625425,0.603207,0.587261,0.577227,0.57182,0.569888,0.5706,0.573398,0.577974,0.584263,0.592353,0.602085,0.612936,0.623971,0.633806,0.640593,0.642239,0.637267,0.625134,0.606262,0.581949,0.554168,0.525147,0.496535,0.469307,0.443885,0.420258
0.574004,0.46485,0.37631,0.305106,0.249238,0.207193,0.177757,0.160252,0.154838,0.162265,0.184763,0.226678,0.29414,0.392271,0.518817,0.660462,0.792468,0.885516,0.918663,0.890043,0.816177,0.719334,0.61905,0.52877,0.455902,0.403717,0.373282,0.363999,0.375149,0.406325,0.456276,0.519959,0.585646,0.639086,0.668522,0.669449,0.646872,0.613636,0.585095,0.570862,0.575209,0.598885,0.639075,0.687311,0.728399,0.748334,0.739925,0.705439,0.655672,0.606184,0.572036,0.560912,0.575209,0.613877,0.670782,0.729966,0.76423,0.751816,0.689387,0.593623,0.491153,0.405768,0.351244,0.329817,0.341176,0.387315,0.471533
0.312856,0.332374,0.347197,0.348048,0.331467,0.301148,0.265847,0.235584,0.218497,0.218686,0.239621,0.286928,0.368762,0.491571,0.649364,0.818531,0.960045,1.03466,1.02465,0.94433,0.828534,0.707881,0.600821,0.515449,0.453575,0.414334,0.396387,0.39853,0.420073,0.460364,0.517157,0.583667,0.646434,0.690749,0.706443,0.692183,0.656269,0.613609,0.580015,0.564534,0.57074,0.59884,0.645301,0.699968,0.74447,0.76182,0.743948,0.695076,0.629658,0.56651,0.522095,0.503819,0.513755,0.551564,0.61323,0.685645,0.742542,0.757976,0.720365,0.639056,0.538546,0.445341,0.37695,0.337017,0.323254,0.332503,0.360853
0.574031,0.502054,0.437391,0.378097,0.324954,0.279871,0.244906,0.222073,0.213474,0.220789,0.24668,0.295721,0.373767,0.484164,0.620248,0.763122,0.884319,0.955861,0.963811,0.915581,0.834056,0.741491,0.653302,0.578059,0.519399,0.478176,0.454015,0.445933,0.452767,0.473089,0.504542,0.54266,0.580265,0.610268,0.627634,0.630741,0.621999,0.607472,0.595014,0.590041,0.595108,0.610364,0.633428,0.658678,0.677527,0.683139,0.672748,0.648296,0.615844,0.584153,0.562341,0.555643,0.565931,0.592502,0.631401,0.673411,0.703573,0.708673,0.682632,0.628737,0.558049,0.484862,0.421183,0.37182,0.336626,0.313112,0.297585
0.445535,0.435443,0.420963,0.396472,0.361854,0.321517,0.28218,0.25067,0.23242,0.230073,0.245828,0.283296,0.347766,0.443902,0.570226,0.716369,0.8615,0.977763,1.04,1.03692,0.975542,0.874659,0.756648,0.641002,0.541076,0.464184,0.413099,0.386778,0.383229,0.400892,0.438113,0.490897,0.550389,0.60559,0.646151,0.665606,0.664006,0.648346,0.629597,0.615896,0.611511,0.617607,0.632538,0.651449,0.666644,0.672017,0.664967,0.646872,0.622739,0.600262,0.587892,0.590512,0.609473,0.642781,0.683776,0.71884,0.728754,0.701808,0.64057,0.560028,0.480061,0.418347,0.387203,0.392418,0.440742,0.545048,0.723871
0.260914,0.250538,0.240717,0.231955,0.225063,0.221148,0.22169,0.228789,0.245399,0.27487,0.321117,0.388453,0.480182,0.594995,0.722126,0.842589,0.933898,0.97794,0.968658,0.91466,0.834205,0.744672,0.658554,0.583321,0.5226,0.477677,0.448632,0.434693,0.434756,0.447511,0.47105,0.502038,0.535226,0.565405,0.588566,0.602749,0.608664,0.609836,0.611611,0.617845,0.63017,0.647981,0.668133,0.684458,0.68871,0.675851,0.646131,0.604765,0.560278,0.522562,0.500782,0.49983,0.521734,0.566538,0.63062,0.702388,0.759569,0.779841,0.751635,0.680036,0.583969,0.486672,0.405529,0.345765,0.305547,0.280548,0.265578
0.344471,0.304376,0.271902,0.249982,0.239362,0.240109,0.252304,0.276034,0.311042,0.357171,0.414129,0.481084,0.556388,0.637486,0.720854,0.801279,0.871647,0.923355,0.94734,0.935787,0.885241,0.801595,0.698611,0.592741,0.49818,0.424547,0.376687,0.354462,0.356468,0.38192,0.429906,0.496001,0.568104,0.630152,0.667486,0.672964,0.650636,0.614319,0.581172,0.561967,0.561451,0.580585,0.616868,0.662472,0.703079,0.72503,0.72043,0.68992,0.642361,0.591632,0.55158,0.529584,0.528159,0.547119,0.583606,0.63003,0.672546,0.697099,0.694272,0.662581,0.608965,0.545909,0.486097,0.436228,0.397947,0.370013,0.349514
0.376487,0.309897,0.258989,0.225283,0.207364,0.203639,0.213337,0.236426,0.27303,0.323678,0.38875,0.467644,0.558016,0.655285,0.752572,0.84099,0.910768,0.953032,0.96174,0.935156,0.876655,0.795026,0.702156,0.609935,0.527996,0.463001,0.418697,0.395391,0.392048,0.407517,0.440239,0.486568,0.538996,0.588638,0.627321,0.649824,0.655803,0.650366,0.642117,0.637635,0.640368,0.650964,0.667257,0.683829,0.692665,0.688043,0.668553,0.637251,0.600731,0.567679,0.546778,0.542805,0.557328,0.589367,0.634326,0.681398,0.71304,0.714509,0.680794,0.618658,0.543253,0.47178,0.417408,0.384595,0.372991,0.380508,0.40347
0.540929,0.481389,0.430509,0.390218,0.360866,0.342093,0.333359,0.334219,0.344433,0.364062,0.393351,0.432463,0.481069,0.537741,0.599397,0.661546,0.718553,0.764144,0.792303,0.798374,0.780367,0.740568,0.685145,0.622457,0.561154,0.508885,0.47137,0.450857,0.447516,0.460538,0.488013,0.525728,0.566183,0.601501,0.625391,0.634724,0.6306,0.618312,0.605528,0.597844,0.598131,0.606959,0.622657,0.640928,0.655198,0.660245,0.653767,0.636787,0.613386,0.589939,0.573519,0.568494,0.576591,0.597388,0.627955,0.661725,0.688342,0.69844,0.686657,0.653125,0.603294,0.546055,0.490484,0.44172,0.401365,0.368827,0.342215
0.403367,0.346818,0.301013,0.267921,0.247325,0.238399,0.24049,0.253318,0.276917,0.311818,0.358735,0.417942,0.488392,0.566593,0.645798,0.717146,0.771434,0.801299,0.803248,0.77866,0.73321,0.674811,0.611753,0.551383,0.499497,0.460478,0.437533,0.431953,0.444027,0.473456,0.518588,0.574437,0.63106,0.67731,0.704243,0.708039,0.691547,0.663588,0.635569,0.615258,0.606364,0.609614,0.623152,0.642144,0.65898,0.667222,0.663355,0.647415,0.622913,0.596061,0.573969,0.561056,0.55904,0.567554,0.584148,0.603701,0.618533,0.621834,0.609491,0.580946,0.539209,0.489881,0.439188,0.391279,0.348142,0.310261,0.277186
0.355327,0.393175,0.428302,0.448757,0.447166,0.424068,0.387645,0.350108,0.322839,0.311705,0.31948,0.34839,0.400497,0.475382,0.565948,0.659223,0.738353,0.787313,0.797222,0.770336,0.718194,0.653943,0.588551,0.529804,0.482627,0.450074,0.434169,0.435617,0.454381,0.489581,0.538226,0.592807,0.640079,0.667171,0.66689,0.640659,0.59802,0.553216,0.520239,0.506694,0.515634,0.547678,0.600545,0.665834,0.726287,0.763524,0.765483,0.731551,0.672854,0.607448,0.552751,0.517465,0.504018,0.511784,0.537834,0.575384,0.612335,0.636101,0.637278,0.612536,0.565778,0.506475,0.445414,0.389315,0.340871,0.300208,0.266054
0.499642,0.464792,0.426186,0.377781,0.321998,0.266211,0.218401,0.184483,0.167888,0.169855,0.193312,0.245586,0.33888,0.484651,0.67649,0.878583,1.03117,1.08229,1.02411,0.89737,0.758356,0.640407,0.554376,0.499668,0.471554,0.463954,0.470113,0.484751,0.503766,0.523772,0.542088,0.556961,0.567696,0.574284,0.577306,0.577924,0.577836,0.579241,0.584562,0.595344,0.612002,0.633722,0.65819,0.681218,0.697144,0.701715,0.693418,0.67377,0.64698,0.619162,0.596846,0.583984,0.582,0.590338,0.606426,0.625124,0.638867,0.640984,0.627438,0.597626,0.554404,0.50318,0.450045,0.39922,0.352902,0.311828,0.275804
0.206354,0.260464,0.320913,0.372174,0.398877,0.394896,0.367533,0.333195,0.30859,0.302824,0.321064,0.368698,0.452,0.573226,0.720025,0.864473,0.969788,1.0066,0.969672,0.880841,0.774236,0.674138,0.592109,0.531362,0.490858,0.467755,0.458675,0.460951,0.47243,0.490976,0.514003,0.538058,0.558925,0.573244,0.579393,0.577873,0.57132,0.564245,0.562058,0.568354,0.584568,0.610015,0.641364,0.671664,0.690819,0.691299,0.671157,0.634524,0.590186,0.549215,0.522055,0.514195,0.527563,0.561736,0.612857,0.670339,0.715189,0.72984,0.706441,0.650425,0.57769,0.507624,0.4559,0.428651,0.426829,0.449685,0.494583
0.263431,0.331541,0.40819,0.475385,0.514316,0.515589,0.485168,0.440924,0.402537,0.380996,0.381072,0.405468,0.456305,0.533315,0.62975,0.73315,0.826329,0.890949,0.913709,0.891749,0.833264,0.751981,0.662429,0.576831,0.503785,0.448628,0.414269,0.400985,0.40815,0.434959,0.479513,0.536244,0.593608,0.638565,0.661115,0.658152,0.634996,0.603724,0.578488,0.568014,0.576014,0.602699,0.644357,0.69097,0.725442,0.733011,0.707876,0.655454,0.589777,0.528005,0.484693,0.466345,0.47507,0.511542,0.574391,0.655737,0.736141,0.791676,0.803376,0.766111,0.691303,0.600947,0.516383,0.447767,0.396697,0.360562,0.334816
0.220055,0.259668,0.301582,0.3366,0.3567,0.358807,0.34659,0.329099,0.316984,0.317304,0.334504,0.372228,0.433433,0.517845,0.617502,0.717778,0.799957,0.846726,0.849086,0.810379,0.74393,0.664875,0.585833,0.515579,0.459377,0.420207,0.399858,0.398762,0.416921,0.453985,0.507857,0.571694,0.631626,0.672488,0.683884,0.664652,0.623522,0.575679,0.536702,0.515147,0.514161,0.533905,0.571684,0.619739,0.663641,0.689322,0.688529,0.661969,0.619051,0.574518,0.543193,0.533071,0.547198,0.585622,0.644209,0.710289,0.760054,0.770906,0.732997,0.654316,0.556094,0.462084,0.388739,0.339942,0.313233,0.304379,0.308229
0.342164,0.349122,0.352641,0.347582,0.332436,0.309487,0.283802,0.261688,0.249094,0.249608,0.265904,0.301142,0.359049,0.441954,0.546805,0.664251,0.778473,0.869939,0.921607,0.925652,0.886164,0.815223,0.728132,0.639342,0.560025,0.497665,0.456527,0.437277,0.439021,0.460299,0.498342,0.546719,0.593548,0.626442,0.636891,0.623423,0.592315,0.555448,0.525821,0.51111,0.514537,0.536602,0.575035,0.622843,0.666965,0.694396,0.696895,0.673904,0.63278,0.586166,0.547281,0.52369,0.518423,0.532033,0.563061,0.606845,0.654115,0.693694,0.714534,0.708178,0.671377,0.607374,0.524808,0.434558,0.346753,0.268725,0.204303
0.713516,0.591796,0.493807,0.419129,0.365308,0.329564,0.309717,0.304677,0.314633,0.340756,0.385028,0.44961,0.535192,0.63782,0.745562,0.841075,0.90647,0.929556,0.908802,0.853962,0.781214,0.70459,0.633505,0.573271,0.526321,0.493455,0.47468,0.469414,0.476695,0.495068,0.522063,0.553339,0.582476,0.603673,0.613399,0.611284,0.600345,0.586511,0.57702,0.576681,0.587584,0.609433,0.639153,0.669851,0.691077,0.694529,0.677188,0.642128,0.597397,0.553693,0.521286,0.50575,0.509234,0.531997,0.57229,0.624542,0.677617,0.718488,0.735529,0.721856,0.677788,0.610726,0.531876,0.45107,0.375104,0.30781,0.250688
0.497395,0.419164,0.353585,0.29971,0.256984,0.22503,0.203733,0.193623,0.196279,0.214118,0.251284,0.314266,0.411119,0.547167,0.71616,0.896131,1.05124,1.14359,1.15109,1.07897,0.954949,0.810941,0.672067,0.553392,0.461359,0.397213,0.359962,0.34734,0.357726,0.390562,0.444876,0.515556,0.589322,0.649099,0.680365,0.677614,0.647318,0.605312,0.569642,0.550867,0.553161,0.576815,0.618161,0.666848,0.70445,0.714471,0.689914,0.636211,0.568426,0.504937,0.460978,0.443002,0.452938,0.491395,0.556745,0.639757,0.717638,0.762643,0.754617,0.691921,0.592536,0.4837,0.387625,0.312314,0.256751,0.216569,0.186764
0.552979,0.503586,0.45697,0.411639,0.368581,0.33015,0.299248,0.279048,0.272899,0.28337,0.313366,0.366755,0.447274,0.554439,0.677186,0.79467,0.881485,0.917471,0.89742,0.833636,0.748433,0.660659,0.582006,0.518209,0.471236,0.441246,0.427819,0.430215,0.447507,0.478162,0.518937,0.563191,0.600361,0.620817,0.619586,0.598176,0.564106,0.528598,0.503055,0.494091,0.504676,0.535653,0.585336,0.646998,0.706729,0.749477,0.764467,0.749268,0.71091,0.663366,0.621979,0.595582,0.587312,0.596669,0.619823,0.648283,0.668701,0.669952,0.647285,0.603682,0.548434,0.493755,0.450563,0.423767,0.414173,0.420492,0.439513
0.423379,0.376026,0.332135,0.290044,0.250871,0.216971,0.19089,0.175148,0.17252,0.185822,0.219819,0.282806,0.386353,0.539553,0.734536,0.93823,1.09736,1.16305,1.12088,0.999496,0.84825,0.70386,0.584087,0.493656,0.430886,0.392143,0.374048,0.37423,0.391263,0.424008,0.470293,0.524849,0.577897,0.61878,0.639574,0.637954,0.618279,0.590346,0.565819,0.55229,0.553358,0.569885,0.600159,0.638792,0.676142,0.702905,0.712935,0.7049,0.682778,0.654892,0.631172,0.617873,0.61747,0.629493,0.650462,0.672994,0.686194,0.68162,0.656326,0.61349,0.561106,0.509422,0.467716,0.440298,0.427854,0.429027,0.440663
0.400729,0.320884,0.259484,0.215584,0.186537,0.169776,0.163563,0.167246,0.18133,0.207517,0.248646,0.308298,0.389572,0.492317,0.609354,0.726424,0.8249,0.887499,0.904948,0.879773,0.824222,0.752613,0.677229,0.606978,0.547491,0.501994,0.472124,0.457932,0.458593,0.472693,0.497785,0.529357,0.560343,0.584036,0.595924,0.594836,0.58338,0.567478,0.554603,0.54993,0.55608,0.573642,0.601097,0.634059,0.665092,0.687181,0.69567,0.689308,0.670611,0.645324,0.620615,0.601441,0.590248,0.587548,0.592206,0.601354,0.610529,0.615297,0.611894,0.597602,0.571149,0.532926,0.484963,0.430667,0.374105,0.319196,0.269085
0.47795,0.409705,0.349477,0.295235,0.247737,0.208686,0.179726,0.162411,0.158667,0.170773,0.203333,0.264996,0.368548,0.525477,0.730648,0.951563,1.13117,1.2136,1.17891,1.05547,0.896614,0.743016,0.614723,0.517284,0.449001,0.405844,0.383923,0.380435,0.393627,0.422186,0.464109,0.514933,0.566471,0.609622,0.637046,0.645489,0.637097,0.61904,0.600938,0.589521,0.588085,0.597196,0.61482,0.635771,0.652002,0.65703,0.647996,0.626243,0.596901,0.567711,0.546929,0.539432,0.54707,0.569407,0.60329,0.641326,0.671415,0.68233,0.667653,0.627848,0.569938,0.504806,0.44293,0.389758,0.346571,0.312296,0.284648
0.491136,0.471667,0.449412,0.420364,0.384891,0.346663,0.311045,0.283754,0.269885,0.272452,0.29415,0.338724,0.410665,0.512151,0.637225,0.770576,0.888816,0.966783,0.987685,0.950897,0.87115,0.768668,0.662058,0.564903,0.485253,0.427029,0.391682,0.378534,0.386572,0.41506,0.462484,0.523702,0.587154,0.639008,0.667915,0.669473,0.648405,0.617061,0.590383,0.577811,0.583573,0.608365,0.649206,0.697316,0.737124,0.754347,0.741764,0.701868,0.645741,0.588953,0.546059,0.524148,0.525135,0.548101,0.588872,0.637053,0.674479,0.684919,0.661637,0.610283,0.545993,0.487069,0.448803,0.438214,0.458663,0.513331,0.604263
0.630168,0.504106,0.404254,0.327087,0.269382,0.228351,0.201932,0.189248,0.190997,0.209199,0.248032,0.314231,0.415593,0.554822,0.718209,0.873503,0.979278,1.0053,0.950536,0.843062,0.721175,0.610384,0.521651,0.457032,0.414594,0.391263,0.384139,0.391228,0.411133,0.442366,0.482399,0.526475,0.567172,0.597227,0.611835,0.610152,0.595727,0.575726,0.558734,0.55051,0.55385,0.569269,0.594999,0.626187,0.654724,0.673156,0.676852,0.665105,0.641336,0.612266,0.585792,0.567035,0.558244,0.559559,0.56925,0.583444,0.596284,0.602669,0.59942,0.58574,0.563293,0.535791,0.507798,0.482403,0.461013,0.443746,0.429713
