"ro","h","m","rbar","rinit","rho","vartheta","bo","sbo","SSB","Age.3to10","rt3.p.","rt3.a.","rt3.g.","Age.4","Poor","Average","Good","q1","q2","f","harvestRate","availHarvestHCR","sel_gear1","sel_sd1","sel_gear2","sel_sd2","sel_gear3","sel_sd3","sel_gear4","sel_sd4","sel_gear5","sel_sd5"
1444.77661947808,0.775145,0.449408951791526,1018.23905740613,267.310258330215,0.273773,1.64064,0,132.18,109.294,125.769,14.8541,28.3854,45.4406,68.8085,83.6627,97.194,114.249,1.00777346773224,0.999001453879308,-1421.41,0.2,25.1537,2.66057,0.299508,2.90484,0.336636,4.67662,0.404053,2.055,0.05,2.055,0.05
1384.5078326772,0.731746,0.5016462946314,1279.40448172553,130.619693765098,0.295949,1.49147,0,133.688,133.232,148.785,14.6884,27.9521,46.5982,87.2523,101.941,115.204,133.85,1.03857169601387,0.993420639399653,-1310.81,0.2,29.757,2.64397,0.287931,2.93103,0.349454,4.72279,0.417713,2.055,0.05,2.055,0.05
1844.73331258047,0.828657,0.638008291270503,1830.94956639556,160.369415368908,0.290708,1.38773,0,157.556,151.128,168.611,16.2682,29.859,49.9853,101.918,118.186,131.777,151.903,0.960645907932163,0.997113972607162,-1282.66,0.2,33.7222,2.62175,0.268941,2.97757,0.360557,4.71013,0.398157,2.055,0.05,2.055,0.05
1754.50141233224,0.721976,0.422075952041412,1194.54423701729,102.405456774594,0.235459,1.50518,0,162.66,128.765,148.915,13.7592,27.7569,45.5768,79.0448,92.8039,106.802,124.622,1.03073423726805,0.979653148566226,-1284.44,0.2,29.783,2.56507,0.278422,2.94605,0.351972,4.69391,0.407129,2.055,0.05,2.055,0.05
1888.86235830451,0.621717,0.463814310380502,1375.16637117599,279.044146364126,0.263379,1.6452,0,175.239,98.5794,106.263,13.139,25.1981,43.2554,56.6469,69.7859,81.845,99.9022,1.08791117013054,0.983484304599239,-1297.97,0.2,21.2526,2.59978,0.286755,2.92618,0.348379,4.65677,0.399327,2.055,0.05,2.055,0.05
2152.83315463965,0.693337,0.30907231510469,1497.46656121391,99.8830498412547,0.172128,1.28009,0,224.413,101.81,103.175,14.8663,25.1605,42.6382,65.5061,80.3724,90.6667,108.144,0.999796482712453,0.997225316569561,-1260.25,0.2,20.635,2.62946,0.322421,2.88391,0.340034,4.59867,0.393194,2.055,0.05,2.055,0.05
1182.32722529036,0.69605,0.547757833158478,1044.69473279941,161.486250045334,0.247327,1.40871,0,114.51,83.3136,90.6799,13.9631,26.2854,41.7044,49.3971,63.3601,75.6825,91.1015,0.969759283133465,1.02037244213799,-1296.17,0.2,18.136,2.66874,0.306536,2.87706,0.326703,4.59842,0.394097,2.055,0.05,2.055,0.05
1697.2082936797,0.663564,0.574004524666149,974.953716875661,652.544933221107,0.304592,1.52082,0,165.84,76.3744,97.4823,14.1475,28.9306,48.4809,48.6211,62.7685,77.5517,97.102,1.02469919374224,1.01056906209081,-1272.57,0.2,19.4965,2.65124,0.295227,2.89988,0.335291,4.66723,0.409909,2.055,0.05,2.055,0.05
2023.89671709082,0.617652,0.312856706492721,867.720796589139,42.1426376935815,0.277377,1.78507,0,185.411,129.042,167.742,15.488,30.8483,49.971,82.2893,97.7773,113.138,132.26,0.956558721434839,1.00538549994793,-1298.4,0.2,33.5483,2.63649,0.291668,2.90195,0.326306,4.70957,0.4089,2.055,0.05,2.055,0.05
1594.04485682699,0.710421,0.57403092948159,1123.79878778221,522.878958302988,0.326589,1.47828,0,145.173,165.304,196.462,15.0743,29.3422,48.6095,109.658,124.733,139.001,158.268,1.02722839841145,0.999829096605649,-1305,0.2,39.2924,2.66431,0.295273,2.90367,0.329331,4.6691,0.39901,2.055,0.05,2.055,0.05
1563.2308245937,0.811774,0.445535210179101,863.833463805303,93.7301585202097,0.300077,1.4381,0,134.931,89.9773,106.351,14.8426,28.125,46.333,51.7173,66.56,79.8423,98.0503,0.954568665206406,0.992633873875647,-1311.21,0.2,21.2702,2.70898,0.31478,2.87663,0.32376,4.66648,0.397962,2.055,0.05,2.055,0.05
1660.34385256593,0.695117,0.260915155296571,1426.40133147523,45.4185222081533,0.325612,1.42179,0,156.695,152.534,180.754,15.5344,29.0126,48.3001,104.095,119.63,133.108,152.396,1.01067537954835,1.00972339802079,-1306.19,0.2,36.1509,2.72333,0.32641,2.89811,0.329749,4.79803,0.430901,2.055,0.05,2.055,0.05
1547.32049335733,0.632155,0.34446940580662,953.205008865084,220.337398260048,0.329768,1.66996,0,139.03,77.5054,80.6668,14.2959,26.9471,46.2463,50.6003,64.8962,77.5473,96.8465,1.00988232079447,0.999924128178412,-1300.67,0.2,16.1334,2.68051,0.308939,2.87345,0.33388,4.68079,0.412056,2.055,0.05,2.055,0.05
