"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
1067.18,1134.05,1657.64,1363.98,722.898,502.984,576.644,1081.84,1044.75,602.051,1344.58,1284.41,1761.27,895.041,656.191,779.038,845.857,378.011,1000.21,1063.84,796.529,711.312,772.672,993.701,609.5,1000.71,789.167,409.225,713.393,573.348,600.758,490.079,411.863,738.925,1350.89,717.616,1721.47,545.631,1417.91,818.424,1963.79,1467.48,1982.77,890.777,1726.77,2386.22,2353.65,994.303,1408.72,1616.72,1910.31,1976.78,1227.87,1296.46,1191.73,2076.04,535.573,1867.73,343.273,2055.03,1215.02,681.127,1266.75,1293.68,1280.77,1485.78,1806.93,1018.23
1272.16,1035.33,2328.25,1659.46,855.259,604.973,537.051,1047.74,951.199,503.623,1149.21,1079.12,1317.12,787.994,556.119,890.554,450.433,227.252,829.828,922.048,713.996,609.176,754.463,921.535,587.853,941.235,753.871,394.257,667.241,582.1,589.071,554.879,449.922,876.923,1393.58,785.389,1813.59,526.387,1407.33,811.803,1922.42,1499.62,2038.69,895.719,1804.25,2345.74,2169.86,1037.18,1503.91,1674.51,1688.53,1797.84,1108.85,1032.81,864.667,1806.61,476.198,1713.65,304.906,1895.59,1233.95,657.89,1475.9,1438.15,1424.65,1592.43,1820.63,1279.41
1910.5,1937.55,2381.37,1664.61,768.124,629.506,576.787,990.456,1006.38,472.303,1250.55,1111.23,1790.44,985.783,650.784,584.482,1545.55,322.977,998.358,1227.38,864.381,838.22,960.464,1180.52,807.852,1262.9,1092.46,574.886,938.188,777.758,695.262,524.969,458.238,814.74,1218.11,679.441,1558.12,578.473,1398.91,890.452,2246,1784.1,2569.76,1067.62,1905.35,2732.04,2334.91,1002.4,1003.71,1167.05,1385.93,1693.84,929.608,1125.59,982.032,1978.91,466.384,1987.64,369.036,2046.49,1172.5,601.236,1324.58,1279.93,1366.94,1894.64,1903.83,1830.95
1121.08,1594.41,1722.77,1908.86,601.336,361.922,651.902,1004.39,893.066,564.746,1261.82,1239.63,1236.31,1008.64,545.84,622.543,1408.45,567.359,1664.86,1393.32,949.784,807.821,578.546,843.957,483.02,787.54,639.713,293.475,598.78,425.861,489.36,396.883,409.139,530.933,1331.29,604.957,1403.5,542.398,1169.67,718.546,1619.73,1281.9,2020.45,950.508,1583.49,2529.84,2409.53,941.839,1505,1729.34,1985.4,2063.31,1177.71,1254.38,1301.93,1927.13,553.036,1787.07,340.645,2328.54,1564.77,789.71,1445.36,1300.26,1370.09,1400.99,2034.17,1194.54
985.072,1016.89,1676.17,1216.64,699.308,427.836,579.819,1000.86,963.105,654.188,1613.41,1375.22,1678.31,638.456,576.297,410.328,1029.17,186.616,785.802,933.756,782.522,654.203,580.849,811.938,488.303,747.843,674.467,342.685,758.987,592.763,712.26,618.354,593.062,967.773,1783.16,815.023,1719.17,534.99,1208.35,733.794,1752.35,1440.07,2178.45,1023.46,1767.88,2504.97,2361.34,885.445,1224.74,1453.15,1484.85,1621.89,1028.12,1179.34,1097.58,2156.69,569.324,2656.49,431.468,2568.24,1676.89,966.37,1778.55,1559.42,1523.2,1698.87,1955.35,1375.17
768.325,846.96,1048.32,1254.51,582.792,486.894,514.789,828.822,1107.49,587.317,1056.16,1197.92,1368.17,682.956,615.378,700.81,425.346,696.608,1183.25,1139.33,996.221,711.139,652.694,852.092,481.541,783.779,619.863,289.42,637.931,452.094,522.912,546.915,534.995,905.436,1811.2,1013.4,2062.21,607.099,1549.31,782.845,1821.37,1237.16,1738.23,827.789,1401.42,2329.26,1882.4,709.47,1175.35,1186.09,1660.03,1436.14,1061.09,1174.41,1098.58,2318.43,658.456,2084.48,468.61,2641.5,1451.44,846.505,1319.48,1576.36,1255.13,1403.34,1244.31,1497.47
1075.79,1062.34,1407.09,1043.72,527.347,396.565,435.834,994.421,786.339,633.803,1082.31,1083.78,1569.99,859.365,575.264,1173.29,447.546,314.032,1045.26,964.642,698.415,645.803,687.218,826.353,531.038,937.36,792.828,421.286,742.327,559.712,589.945,594.514,482.123,1008.56,1913.72,921.362,2293.58,722.637,1683.11,855.474,1781.75,1078.81,1481.18,625.463,1145.4,1661.79,1980.76,871.647,1246.65,1569.99,2269.67,1849.51,1394.84,1311.92,1145.12,2006.49,590.757,1872.18,369.426,2292.48,1550.97,847.296,1508.78,1448.75,1277.68,1286.95,1467.74,1044.7
1181.64,1246.64,1575.15,1268.05,662.454,486.608,588.357,785.47,1033.48,655.861,990.123,1081.91,1316.8,1006.57,516.898,1125.06,517.847,181.312,902.075,767.479,647.933,556.543,611.185,705.088,456.19,829.473,570.992,361.471,619.099,460.318,579.608,495.86,377.32,925.484,1580.51,799.355,1671.26,593.984,1466.53,866.838,2441.61,1937.02,2656.58,1121.73,2035.3,2832.9,3022.19,982.222,1620.7,1738.08,2417.69,1885.12,1482.8,1659.17,1254.55,2013.67,500.171,1641.91,273.909,1405.77,826.097,425.464,916.099,1007.81,987.672,1209.49,1653.09,974.949
862.325,1055.94,1940.04,1798.89,783.978,534.051,612.803,1015.75,1095.11,917.757,1239.4,1164.13,1917.62,1129.3,529.718,1553.51,498.349,679.747,1018.1,742.505,692.33,539.986,608.293,773.773,508.189,959.61,817.28,402.465,858.518,696.834,713.467,552.352,519.751,890.224,1668.15,723.298,1951.29,611.848,1619.67,791.068,2025.85,1919.31,2292.02,965.392,2042.93,2570.57,2208.4,963.434,1252.5,1438.58,1743.61,1747.4,1293.78,1212.95,1282.57,2314.27,589.952,1918.45,333.534,1632.06,845.328,513.812,1017.61,1083.04,1310.1,1625.58,2550.89,867.725
1113.13,1157.52,1865.46,1780.73,706.219,491.302,642.767,1033.05,1028.39,506.575,1188.69,1300.34,1472.35,979.468,608.092,718.436,691.054,370.388,848.7,1148.37,795.2,686.158,844.54,1137.96,633.564,1128.74,796.579,412.789,640.499,600.688,598.354,511.805,427.72,660.428,1145.81,751.642,1711.18,549.791,1405.84,806.757,2073.2,1513.8,1983.57,789.374,1424.39,2457.94,2370.69,968.095,1364.93,1594.81,1934.03,1956.08,1332,1217.14,1068.21,1777.46,485.136,1784.06,348.971,1851.42,1168.39,650.415,1247.22,1469.39,1458.04,1956.69,2451.73,1123.8
1140.4,1584.07,2414.72,1486.91,776.626,503.142,629.539,1111.31,899.92,633.877,1335.36,1301.78,1685.12,667.319,781.53,869.127,734.474,892.132,1466.55,1467.99,1105.7,917.079,872.315,997.62,556.983,901.559,659.155,303.635,689.273,477.311,520.643,449.816,431.109,673.366,1560.57,848.367,2004.85,576.767,1514.07,955.905,2156.05,1473.61,1912.6,907.198,1531.71,2166.55,2365.44,1045.56,1530.38,1614.55,2360.66,2065.98,1514.14,1307.68,1225.73,2025.65,485.789,1738.3,293.348,1526.68,1105.97,660.754,1520.58,1743.88,1778.59,1888.1,2583.68,863.831
603.366,868.067,1385.29,1108.75,762.555,398.908,738.271,1243.17,1095.76,579.164,1540.86,1436.4,2181.73,1005.28,856.599,1285.13,869.841,313.328,828.366,1050.11,766.188,683.021,832.418,1027.44,608.228,1018.03,768.459,399.629,606.82,519.179,512.291,363.98,339.414,686.97,1196.17,720.664,2049.64,734.718,1658.08,1002.11,2174.89,1632.93,1875.59,895.044,1502.51,1830.02,1946.94,714.384,1085.88,1329.7,1624.5,1815.44,1216.53,1370.04,1343.36,2358.55,577.79,1959.32,400.542,1956.75,1034.14,606.534,1115.57,1253.42,1141.4,1746.88,2066.34,1426.4
841.335,1005.79,1404.36,1246.87,610.147,293.415,928.986,1583.21,1327.38,707.627,1416.55,2111.52,2382.63,938.546,660.262,942.153,877.168,254.693,1082.44,1107.24,737.487,754.944,807.818,904.398,516.308,807.939,567.202,325.894,592.664,485.361,528.736,461.331,396.704,742.607,1645.86,857.278,1922.51,609.595,1627.73,910.824,2149.93,1713.94,2252.48,1062.32,1715.42,2542.66,2406.91,981.557,1475.05,1325.12,1686.72,1623.27,1164.94,1183.71,1196.07,1921.51,540.711,2012.59,484.452,2115.86,1250.45,656.431,1258.54,1108.48,1050.51,1151.83,956.121,953.201
899.041,830.066,1545.09,1122.54,531.934,396.638,736.759,1308.58,1403.26,827.63,2019.26,1850.88,2216.14,1135.5,922.643,1266.64,1180.74,202.509,1152.27,1491.31,823.027,847.04,826.688,969.178,583.606,859.038,746.829,379.016,512.714,575.11,564.123,461.218,394.231,789.004,1515.14,999.457,2195.19,774.128,2002.52,939.176,2246.2,1662.11,2268.63,779.409,1631.44,2222.76,2062.68,865.006,1294.61,1624.69,2019.67,1878.16,1299.25,1213.25,1210.78,2143.12,600.832,1686.02,325.907,1718.66,1173.73,638.201,1024.22,1183.47,1213.98,1490.12,1596.3,975.597
1142.9,1353.47,2009.02,1930.27,816.466,583.208,682.003,1373.27,1472.28,655.715,2458.26,1420.78,1901.67,914.499,573.115,817.287,521.472,177.413,631.139,888.163,814.552,831.276,917.914,1176.81,603.111,1052.9,857.797,439.625,689.039,577.945,575.674,475.211,411.373,662.751,1324.9,699,1776.16,592.385,1418.08,957.072,2114.91,1451.06,1891.79,748.583,1678.09,2271.05,2100.86,1043.33,1498.81,1602.91,1974.7,2219.31,1230.25,1303.87,1248.69,2130.32,618.854,1907.87,390.226,2226.88,1389.5,636.184,1322.19,1246.58,1365.73,1418.9,1497.01,1000.23
864.784,936.824,1693.45,1319.1,753.862,611.069,639.742,1444.76,1243.68,672.179,1399.12,1708.18,1879.59,1014.78,479.262,677.967,544.827,204.35,587.163,724.332,647.925,631.13,796.179,979.516,674.282,1038.09,800.441,462.988,786.996,712.67,730.447,640.13,488.826,886.355,1618.5,887.538,2147.69,621.547,1536.86,978.126,2095.44,1299.12,1881.44,870.994,1873.96,2216.75,2236.88,909.337,1434.17,1628.59,1765.83,1815.69,981.557,1125.48,986.714,1615.93,433.805,1437.31,295.647,1879.6,1121.78,657.63,1294.5,1431.56,1442.64,1827.69,2528.1,1576.18
1165.2,1116.54,2224.54,2270.22,787.557,839.876,625.161,1425.25,1479.06,709.824,1472.19,1294.27,1805.02,727.07,669.749,529.264,621.825,146.607,624.328,711.135,494.161,629.704,767.723,912.915,622.484,1162.37,923.573,512.77,725.829,629.977,626.675,554.264,345.86,669.791,1206.16,611.282,1552.27,487.887,1108.6,870.909,2110.65,1633.13,2304.53,1084.55,1956.18,2850.51,2718.27,949.877,1217.88,1449.11,1526.75,1503.36,840.292,940.517,872.899,1593.06,492.128,1515.6,293.143,1920.46,1100.98,686.09,1275.57,1261.1,1359.08,1663,1852.23,946.41
1074.08,1329.57,2263.3,1486.44,719.168,363.315,600.326,867.586,1047.35,527.529,1217.23,981.987,1517.58,1022.74,930.513,632.455,872.571,350.675,885.049,679.964,558.217,598.492,789.459,914.998,758.064,1128.66,930.904,466.429,900.912,533.992,517.906,494.814,275.741,631.272,1255.54,720.48,1792.56,576.987,1765.88,1039.97,2567.68,1946.38,2570.91,964.453,1805.82,2850.66,2481.78,1022.18,1330.79,1825.94,1805.99,1889.29,1063.04,1207.75,921.285,1633.74,474.719,1873.24,285.706,1810.72,1050.58,648.821,1061.83,995.159,1024.42,1001.86,1380.27,1321.6
