"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
47.0397,44.7094,67.7441,84.7937,80.3482,45.6862,23.6207,36.8724,51.4069,49.3585,47.3701,50.6971,45.8005,41.1294,25.4305,12.9317,7.13159,12.2941,16.2288,25.2794,30.6524,29.094,34.0475,43.4904,51.0041,60.9631,70.2177,60.4284,56.3587,56.9234,55.8178,48.4728,32.5971,28.4029,38.2623,53.0481,55.5826,66.6101,64.4753,71.0656,80.6546,97.2588,101.425,86.6074,80.1663,84.6285,88.329,81.0924,72.9783,71.08,90.2004,93.9308,92.0494,77.931,68.3284,58.3884,60.7656,40.9834,42.9637,38.8268,57.7896,62.0321,61.7289,73.0545,76.2353,91.9341,109.294
55.8652,44.8376,61.0185,86.1427,75.4233,46.5312,24.7001,35.5776,50.82,40.7681,38.7707,46.3515,38.6597,35.4708,24.3743,16.2361,8.30807,9.59131,12.6128,21.3701,26.9997,26.1496,31.5912,41.9063,50.3619,61.2882,69.8952,60.5306,55.2988,56.4208,55.7538,49.3082,34.645,31.7271,41.9369,55.5534,57.5672,67.4537,63.8979,69.1557,78.5683,95.9388,102.883,90.1146,84.8661,90.4113,92.3563,81.9242,74.2709,73.7089,90.0653,88.1271,84.2204,70.2669,58.2204,48.7972,55.0365,39.2231,43.8834,39.4437,57.5683,62.4462,64.5028,80.408,87.6861,108.799,133.232
48.2377,55.2417,79.4188,93.5599,82.5666,45.8504,23.5675,35.1642,50.3302,43.0786,39.9039,44.1121,38.4868,41.7973,29.842,11.5334,9.34663,16.94,16.6966,24.5484,31.1533,31.2468,39.3603,51.2985,60.8629,73.7808,85.1979,76.1759,71.1392,67.5877,61.5333,49.1142,31.037,26.8889,34.8634,47.1919,50.058,62.814,65.0572,74.5406,90.6543,114.493,122.003,103.59,88.2559,86.6635,84.737,73.408,63.4213,56.7745,69.8125,75.6686,80.9406,72.2293,65.6033,56.4067,60.0901,40.5454,43.8745,38.9432,56.397,58.8529,59.8572,75.7085,83.6187,113.068,151.128
47.2236,51.5462,79.8567,93.7663,89.6006,46.2993,24.8659,37.5059,48.4924,41.1925,43.2539,52.4846,42.9309,36.6341,26.8352,11.735,8.73461,15.7081,19.9663,28.8968,31.12,28.4463,31.1368,36.9494,43.3487,52.2567,61.2154,51.6897,48.8125,52.1023,52.1131,45.8138,29.6116,25.6972,34.1017,49.8335,50.0875,58.8805,57.8319,64.4747,73.1041,88.4105,98.4822,90.8742,86.0923,90.5047,95.3191,84.6278,74.1898,72.3331,91.5516,95.2619,92.9106,77.906,70.0566,61.9773,65.367,45.0122,45.9212,41.8685,61.974,66.4007,63.4643,72.5132,75.3042,97.4957,128.765
43.2662,39.0585,64.0596,92.1394,82.2564,44.9759,25.2958,38.9352,46.8675,44.1654,45.2711,48.504,41.6688,30.6869,14.6692,3.98381,4.93158,12.0988,14.79,23.5088,28.7833,26.9848,29.3056,36.2275,43.1802,52.7369,62.9013,57.7447,59.1479,66.9132,70.166,62.2709,41.6147,34.4988,41.7478,52.6897,51.1967,59.7645,58.6357,66.0837,78.7216,99.2755,109.548,98.339,88.8853,87.8291,86.0256,74.9437,64.7282,62.591,80.5986,85.8826,87.4813,77.1558,69.3008,60.8752,63.0558,44.0905,49.741,44.0897,64.2577,70.4012,72.0056,86.319,85.0359,93.9226,98.5794
40.1705,35.5839,57.8033,68.2832,75.8213,46.6168,21.6589,33.4496,45.3714,49.7943,50.1184,48.3499,48.8237,39.985,29.8334,19.2859,9.12043,14.3961,23.8077,31.8538,33.6659,29.1008,29.8289,35.9086,41.6709,50.5998,60.2134,52.6832,51.4684,57.0656,57.0705,51.2249,37.8185,33.822,44.687,59.6495,61.1526,69.6221,65.8365,72.1704,79.4699,92.8211,92.4736,78.1189,71.386,76.3015,81.6725,72.6044,63.8384,62.1815,79.6378,85.1789,83.2669,75.8186,68.8936,63.6191,70.3029,48.4157,49.7475,45.5939,67.9231,71.4542,68.8972,78.7158,83.0415,95.71,101.81
55.9825,45.5385,66.4687,83.9521,73.3008,40.4221,20.7522,33.8835,47.7213,43.2634,41.6983,47.7871,45.0598,46.291,29.6812,21.0919,12.7666,11.8083,15.1056,24.0433,28.3964,26.8772,31.7373,40.3182,47.1929,57.1124,68.625,61.534,59.5831,61.9452,61.2807,54.0866,38.292,35.5644,49.809,65.519,65.2296,72.783,66.6034,68.5722,71.5529,79.7177,78.8915,69.4968,67.1146,73.2973,81.8571,81.7131,75.6665,71.8865,91.1478,93.6174,85.2302,72.4186,64.0818,56.1698,63.5334,46.7805,51.3064,47.9876,69.9251,74.7913,70.7304,76.9442,72.2157,79.2853,83.3136
47.418,42.4566,64.2277,76.7829,69.3402,38.3584,21.1692,35.1733,45.7087,54.4339,53.9872,52.1271,44.835,41.3321,31.571,19.7047,13.8077,13.4721,14.8252,22.7228,26.1616,24.7137,28.4694,36.0758,42.2849,51.0388,60.8965,52.2288,49.6391,52.0952,51.95,47.1524,32.5643,29.8947,44.0928,60.4755,60.0046,68.7747,66.5999,73.445,87.7272,114.104,124.303,108.521,96.1943,96.0988,97.0803,89.5036,78.1246,76.9437,102.052,108.88,102.382,88.2551,76.0967,58.3399,53.8183,33.6037,34.1707,30.1371,45.3639,50.8691,50.7715,62.0045,64.0675,72.3387,76.3744
44.4039,46.002,70.8222,91.8241,89.6007,47.7062,23.5133,35.5209,47.862,51.4102,58.7981,57.0124,48.9113,47.7388,31.3294,19.527,10.8103,11.9935,17.3671,23.0752,25.5887,24.9862,29.3949,38.3309,46.054,57.1904,69.5312,62.8559,61.1547,63.9143,63.8064,54.494,36.0049,32.137,43.3759,58.0558,59.8472,72.8571,72.3742,80.4568,86.2628,105.088,113.841,93.6548,82.3645,83.5511,81.2967,71.7467,64.4627,64.5574,85.4834,92.4778,94.5066,83.7567,72.4131,61.8958,62.7024,40.2387,40.8171,34.634,48.2743,51.2984,52.3671,65.7149,73.9869,97.9879,129.042
64.5006,51.237,66.7456,84.443,88.0614,43.391,20.4009,35.4204,49.8441,46.2792,44.9005,46.2192,44.0813,37.8924,25.884,14.552,4.70584,9.21603,13.6314,23.2873,31.1312,30.3022,35.2366,47.0695,56.2023,65.9295,74.4287,61.5704,54.863,53.0867,52.3311,46.5047,33.0108,29.1815,37.0734,51.3145,55.4828,67.2407,64.4843,68.6671,77.4719,94.8086,98.4087,83.0157,73.0933,77.9125,87.3118,82.634,75.3219,73.3156,92.8463,96.318,94.1356,79.7623,64.945,51.568,51.5757,34.4099,38.115,34.9759,54.0813,60.1237,62.2414,78.7478,92.4994,122.736,165.304
56.0677,57.5311,87.0821,114.24,98.2995,47.7487,26.3265,36.4382,49.5264,41.5549,42.3172,45.4736,43.8941,42.9481,24.9384,16.9903,8.29197,15.0363,23.5082,31.8286,34.6422,31.6971,34.598,41.4497,46.522,54.0116,61.315,51.5036,48.7653,53.2339,54.3234,48.9065,34.3908,31.1372,41.947,59.6235,62.6256,72.605,66.4237,71.2895,80.6872,96.747,98.5679,82.8558,77.2512,79.534,84.2525,81.9195,76.4206,75.4944,96.5504,101.632,96.0732,78.7328,62.4388,51.2957,52.4966,34.9751,38.9639,35.6067,54.6316,65.5633,72.811,96.4459,102.412,106.44,89.9773
