"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
757.009,453.895,1498.97,753.263,1157.22,1543.48,1151.32,1726.48,1113.07,789.557,1506.46,756.171,858.478,457.57,255.703,580.649,531.704,560.112,1598.16,2682.67,2330.56,2434.95,3075.69,4209.91,1747.24,1262.41,1834.57,550.821,1253.93,735.915,473.067,381.062,584.846,1332.48,1558.03,606.737,2504.25,631.226,600.294,404.825,929.778,488.852,398.43,184.019,234.737,845.322,252.514,119.744,100.199,172.801,235.802,242.218,88.8018,104.269,63.9558,125.874,51.6185,165.692,127.491,408.381,131.943,179.191,618.374,437.473,1486.63,382.749,467.846,556.513
799.693,278.977,1577.83,716.976,1360.15,1428.46,1517.25,1807.98,1041.83,719.429,1634.83,678.409,1016.84,546.242,372.035,1099.92,311.688,604.455,1948.44,2832.55,2270.39,2396.21,2787.53,3762.76,1684.59,1146.16,1521.99,549.677,1302.13,596.408,389.492,379.507,489.531,1387.28,1495.76,548.61,2233.16,597.488,652.929,410.073,957.864,471.03,415.49,220.491,234.061,943.979,211.241,131.421,103.867,160.947,219.325,234.203,94.4031,100.332,63.4323,107.183,59.0501,151.978,108.596,410.187,122.006,159.4,527.117,439.127,1184.59,539.93,728.763,541.606
801.393,369.036,1350.59,784.976,1053.05,1717.5,984.138,2088.85,1048.42,684.757,1692.42,597.786,1057.75,401.832,230.676,809.46,213.628,573.61,1833.47,2361.99,2069.67,2742.22,3171.53,3967.67,1736.04,1199.6,1939.25,495.504,1068.51,692.432,461.849,384.877,434.445,1433.06,1372.38,550.742,2287.64,719.159,617.562,411.781,816.651,416.426,469.816,192.048,268.476,824.479,230.817,115.989,81.7789,146.212,261.382,218.478,90.1854,90.0537,60.1211,121.73,53.5994,124.639,125.171,377.237,126.645,228.363,734.655,561.644,1695.51,492.871,921.172,617.009
832.805,431.738,1133.24,577.18,820.349,1004.89,949.39,1676.58,1185.63,874.797,1194.84,634.088,845.419,372.58,373.096,147.871,709.893,638.928,1463.68,2232.14,2076.15,2824.56,2946.1,3509.22,1790,1385.58,1826.36,641.814,1505.71,846.379,610.732,432.309,642.846,1283.26,1301.94,603.726,2444.3,533.538,598.028,377.939,891.232,460.663,470.056,154.72,198.206,812.825,267.273,105.893,91.8402,145.053,214.497,222.074,93.9386,103.512,73.2728,110.529,62.3576,200.155,142.291,427.498,132.166,195.876,596.255,364.614,1459.95,349.231,289.619,451.922
688.015,541.16,1611.49,800.826,1485.57,1096.11,1181.11,2073.86,922.771,951.354,1382.63,923.391,854.054,660.341,493.998,234.742,1041.17,470.129,1399.48,3271.72,2848.71,2507.54,3136.94,4432.16,1864.88,1425.87,2119.4,561.044,1453.64,874.668,495.922,367.415,595.805,1222.12,1550.37,586.331,2939.6,595.196,608.042,429.591,874.201,496.794,347.316,158.974,213.669,862.138,263.98,128.751,106.519,169.787,223.97,219.78,94.3912,115.976,64.8278,111.283,48.9179,181.974,121.833,443.075,130.853,174.8,634.737,357.507,1321.46,221.195,696.801,639.421
846.844,375.972,1746.43,1015.66,1579.13,1365.56,1508.59,1591.43,1091.89,816.51,1562.3,970.106,1257.25,642.663,552.797,160.772,724.268,815.25,1742.87,2533.84,2548.29,1958.71,3540.16,3929.43,1882.21,1461.22,1893.62,596.333,1208.43,695.798,526.982,366.156,691.625,1488.97,1494.13,665.719,2852.3,623.743,524.641,365.983,865.532,447.061,372.069,191.492,239.631,876.192,269.822,99.7351,110.369,172.808,243.813,201.259,100.588,117.496,82.5427,134.725,53.3103,173.025,149.193,383.933,158.542,192.673,629.208,383.891,1369.21,296.573,446.711,811.047
849.732,606.501,1837.83,815.261,1709.88,2350.32,1141.14,1516.33,1296.41,959.058,1767.35,1189.82,1185.22,599.488,677.29,168.511,586.686,583.102,2015.6,4003.35,2874.1,2670.43,4345.3,4629.3,2409.51,1593.38,2199.22,679.683,1696.1,978.539,645.615,526.989,703.569,1604.08,2172.5,701.851,3128.53,726.222,749.05,453.021,1072.97,545.043,410.628,189.208,242.06,997.357,296.93,129.037,125.406,212.404,250.155,299.812,82.2697,115.618,76.4203,140.003,52.588,149.527,149.442,363.696,152.088,172.112,449.085,306.883,1334.56,250.639,192.425,473.122
708.504,595.172,1503.59,848.665,1840.42,1887.95,1074.06,2167.73,1169.18,1228.44,1653.53,1197.15,1044.17,681.085,404.777,97.9759,594.989,679.26,1461.13,3031.21,2364.92,2092.97,3156.7,4398.33,1795.87,1496.78,1647.19,636.726,1148.68,638.624,431.73,406.08,538.631,1327.38,1293.32,605.438,2722.49,655.246,542.336,367.041,764.248,469.694,375.524,170.309,259.864,847.733,257.569,104.144,99.3436,188.722,255.852,303.043,70.7087,125.437,69.6288,168.834,60.2501,228.03,148.44,452.339,121.893,195.179,480.855,324.649,1356.84,334.267,369.495,390.047
787.988,608.14,1949.21,788.627,1379.26,2148.21,1079.36,1356.17,1140.99,833.954,1495.36,765.017,962.999,481.058,263.493,51.7841,888.982,522.839,1811.33,3124.56,2459.06,2459.66,3208.63,3909.28,1911.39,1348.99,1690.72,573.028,1195.01,855.99,509.362,440.278,609.653,1396.18,1616.8,584.735,2276.96,680.269,659.974,420.126,897.125,520.97,397.237,175.134,208.132,960.13,218.846,124.92,100.738,190.523,212.701,271.528,82.3231,124.755,57.8,140.897,49.994,171.205,117.338,391.761,142.744,217.547,733.974,399.04,1295.49,480.111,542.862,474.135
986.382,487.167,1350.07,518.072,955.66,1605.52,1043.44,1886.95,879.442,929.105,1319.07,706.3,844.048,380.911,209.043,49.6893,948.939,328.341,1260.01,2677.33,2263.96,2170.53,3293.7,3874.88,1553.96,1309.73,1739.52,563.416,1136.76,713.403,372.868,405.448,542.919,1362.54,1512.65,535.749,1899.5,616.975,590.386,332.791,798.718,454.892,395.511,148.999,183.46,802.03,251.901,115.64,93.701,140.146,214.481,242.507,81.7221,83.1517,58.4582,158.13,53.9346,166.118,142.712,392.676,121.625,187.021,788.783,501.849,2040.15,500.796,478.662,372.349
1154.63,582.603,1458.47,759.447,1795.14,1674.89,1784.19,1621.01,1269.64,1258.42,1673.71,532.273,1187.58,693.369,550.867,397.513,547.798,851.956,1603.87,2548.74,2756.65,2444.38,3409.24,5081.28,1699.19,1375.84,1922.72,605.891,1262.38,820.874,434.269,418.556,678.875,1268.7,1485.59,571.341,2386.91,649.359,570.639,360.723,873.941,506.405,350.911,193.242,232.599,931.384,258.968,147.181,99.857,167.703,284.223,224.762,103.006,130.934,103.159,152.161,66.8693,198.682,149.707,326.645,116.447,157.38,403.789,433.767,1366.22,179.568,377.246,509.182
833.348,509.583,1335.3,432.357,1007.28,1648.34,1034.42,1179.24,1189.5,725.003,1538.29,664.646,960.371,559.715,234.39,701.772,275.139,525.772,1673.34,2653.68,2191.62,2539.98,3258.09,3926.44,2103.11,1215.41,1776.93,463.156,1479.13,661.134,496.68,358.019,653.106,1211.2,1723.06,582.057,2018.5,543.974,503.459,314.66,865.007,443.869,403.218,173.72,218.084,941.328,259.446,135.91,110.282,135.216,226.678,269.96,81.4869,118.604,96.0269,118.864,70.4241,177.156,138.893,446.321,120.849,185.393,587.3,369.507,860.371,259.618,624.144,533.17
754.957,496.431,2031.93,985.338,1135.38,1522.24,1971.7,1466.59,1136.25,1023.24,1700.74,1003.19,908.501,586.714,347.132,333.011,1121.07,635.892,2335.35,3889.97,3563.41,3650.48,3911.87,5304.93,2385.7,1528.85,2490.25,696.258,1567.88,947.07,602.756,464.538,744.891,1755.38,2037.57,742.444,3113.32,821.726,627.86,533.246,1090.35,651.824,455.933,205.119,278.133,1204.41,308.948,143.673,114.774,201.867,225.342,287.915,105.491,121.419,80.4305,141.12,62.3492,188.516,136.736,394.56,103.814,133.714,530.928,355.845,1221.79,340.457,342.505,559.804
742.648,454.113,1681.27,716.535,1689.07,1551.46,1128.11,2019.23,984.968,666.847,1647.52,922.891,833.464,662.359,342.159,162.228,466.809,475.332,1489.25,2652.52,2499.03,2625.97,3375.59,4600.92,2039.73,1399.55,1962.14,515.255,1570.49,816.935,439.759,364.916,569.287,1479.23,1555.22,706.672,2687.82,813.022,728.854,462.305,1001.05,463.5,453.535,199.27,180.169,909.064,256.396,113.507,89.4842,180.444,249.943,225.435,86.9789,122.363,50.2922,122.329,53.7043,148.388,119.548,374.892,161.172,209.449,733.359,506.312,1563.6,486.774,301.575,523.356
