"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
25.4221,15.4715,25.7848,27.2485,36.0572,44.2331,59.9936,62.8814,32.841,16.2536,22.2484,30.102,27.9391,23.6318,18.2532,13.6713,14.682,24.395,41.3664,81.9667,125.088,155.441,166.551,177.614,194.515,140.766,109.892,79.349,63.3063,60.6798,51.5058,39.23,32.0856,42.199,68.9104,80.905,83.6571,98.1697,71.5742,54.3822,42.8124,46.6597,37.9074,27.246,22.2006,25.1703,26.5657,15.8007,9.44491,8.33247,10.3089,11.5665,9.90152,5.1221,2.05802,3.08707,3.89176,4.58262,5.91889,8.12721,10.5732,10.9313,15.0419,22.732,32.6545,42.671,38.7565
23.281,14.4209,23.5254,25.9977,36.7324,46.0301,63.1919,70.121,37.1914,17.0804,24.2053,33.3733,30.9533,29.9853,25.7815,24.9499,28.1501,30.2522,48.7796,95.5992,137.622,163.804,169.13,172.098,185.205,132.823,98.9661,68.8495,56.9612,56.9196,46.9318,35.6547,28.5204,39.0859,67.6353,79.3509,77.7393,90.6576,66.262,52.7157,43.1242,47.7846,39.1459,28.6704,23.7852,27.421,29.1647,17.1574,10.1813,8.76703,10.2906,11.3164,9.72271,5.19981,2.10185,2.97336,3.68753,4.41761,5.56676,7.74727,10.4096,10.6108,13.8427,20.8902,28.9261,38.5091,40.9374
23.8842,15.1905,23.5319,24.8492,33.8859,43.1147,60.5412,64.7571,37.8352,16.1527,23.2335,33.338,30.0082,28.4089,19.6074,15.2478,17.0084,20.6285,40.9134,83.8438,118.675,148.976,168.492,178.646,192.496,140.104,111.113,80.0234,61.4364,56.7476,47.8423,36.9012,29.0764,38.8893,66.4137,76.0243,77.9888,92.6907,70.8903,55.9181,43.2295,44.3338,36.0065,26.9283,22.6508,25.798,26.2279,15.5461,9.04414,7.47656,9.64028,11.3263,9.46352,5.07062,1.80563,2.85838,3.73932,4.14342,5.13538,7.40745,9.78305,10.7543,16.7383,26.7656,38.8076,50.3837,50.3184
33.766,23.4564,28.1924,21.5385,27.1091,29.2472,41.2476,49.8206,28.1513,16.6092,20.4827,24.8333,24.1742,19.755,15.9502,11.5527,7.75248,23.5342,42.3801,77.7335,113.637,148.855,172.207,176.508,187.577,140.682,114.794,83.254,70.3886,71.0004,63.0073,49.7397,41.5315,49.6067,71.403,78.9585,82.174,97.4721,70.5373,53.9873,42.2563,46.3439,38.5413,28.6724,22.5962,24.8593,26.4468,16.1043,9.40834,8.04807,9.62315,10.8238,9.49509,4.95735,1.9707,3.04955,3.86091,5.04888,6.91291,9.24941,11.7027,12.0575,16.0487,22.8686,31.9724,42.4285,36.8868
29.0279,17.2172,28.6356,30.318,41.1632,48.5822,56.8083,63.0748,33.4541,12.8128,21.4166,28.6847,30.6281,26.9134,26.2269,21.7795,17.4704,33.9945,44.6213,84.826,141.988,177.997,182.649,190.037,205.689,152.188,120.948,90.0891,73.2365,70.4401,60.2546,44.5686,35.058,42.9903,67.1782,78.8586,86.6855,107.118,77.3489,58.5598,44.853,46.7502,37.0734,25.7738,20.4585,23.9104,25.9424,15.9072,9.58261,8.35252,10.1403,11.0314,9.29784,5.19167,2.22413,3.06649,3.65944,4.53524,6.03332,8.36726,11.096,11.2446,15.2855,22.3125,29.7256,36.9865,35.0893
28.9778,17.2759,27.5417,33.9238,48.1608,56.2757,68.9185,70.709,33.9355,12.4883,22.1288,32.852,37.5834,39.8083,36.7907,27.8077,16.1499,30.6723,51.9576,90.813,130.125,158.467,165.787,180.87,196.45,146.234,118.41,86.1478,67.4966,62.4341,52.6118,40.1403,33.593,47.0033,74.6546,84.7296,91.1216,109.178,78.3424,57.4905,42.5309,44.8955,35.7825,25.7731,21.3321,25.2323,27.8945,16.3522,9.22909,8.29632,10.4266,11.4066,9.26727,5.10592,2.51237,3.66755,4.39263,5.01704,6.45577,8.58578,10.7891,11.5773,15.818,22.9955,31.0624,39.4485,35.3194
30.9491,20.8802,32.1296,32.9507,43.9579,61.5389,79.6812,70.3578,32.3627,17.1888,26.4259,37.5885,41.2149,38.3787,34.3489,27.5728,14.4862,23.7899,43.4968,99.029,159.378,186.657,196.417,209.422,222.629,164.489,130.393,92.7861,74.7333,73.2702,62.9775,48.6471,40.4642,50.7728,82.693,97.8338,100.525,115.83,82.7453,62.5305,47.7756,50.5611,39.458,27.6622,21.7873,25.7996,28.755,17.6894,10.0845,9.18006,11.1839,12.4557,10.7991,5.41067,2.26622,3.34452,4.05892,4.40566,5.5286,7.54814,9.42006,9.94526,12.3613,16.6828,25.0861,33.3015,26.9749
32.447,18.8541,29.5141,29.9258,45.1217,61.8919,76.1551,74.4867,43.2338,23.0495,34.692,42.8622,43.742,39.0289,34.2102,23.3029,11.697,23.9395,41.9774,82.6037,131.649,157.12,162.402,177.543,197.444,145.241,115.051,79.7273,61.462,56.7488,46.8618,35.7127,29.3797,39.5743,63.7952,72.5471,80.516,100.389,72.6065,53.1803,39.456,40.6777,33.5444,23.9798,20.2439,24.2769,26.358,15.7111,9.04128,8.22601,10.6588,12.6109,11.1756,5.35292,2.38271,3.71716,4.85538,5.85124,7.62101,9.71196,11.8815,11.7673,14.463,19.2907,27.7171,37.336,33.3729
23.8823,15.3089,30.5825,34.8212,42.8292,58.2012,76.8529,68.5431,32.1388,15.4177,21.5177,30.426,29.1369,26.9576,21.2421,12.4302,7.59975,24.0227,42.6639,89.9921,138.704,166.537,174.445,178.935,190.138,137.943,106.351,75.3795,59.6399,58.2545,51.3962,40.325,34.1034,44.4522,71.4567,82.5306,81.2475,91.7417,68.1709,52.935,41.4747,45.1929,37.4837,27.0935,21.5833,25.4736,28.1032,16.1853,9.5803,8.50773,10.3508,11.4965,9.789,5.01685,2.32694,3.30217,4.13324,4.74149,5.94376,7.81791,10.1622,10.9894,16.5212,24.6917,31.258,39.7898,38.4145
27.1428,19.9464,28.4927,24.4729,28.7173,37.7982,56.6242,62.3395,33.715,16.9279,24.0114,29.4038,26.6854,21.046,15.7535,6.51106,7.31774,22.7593,34.1162,71.733,120.095,151.221,163.992,179.473,193.103,138.287,109.77,80.4621,64.3298,60.5379,50.3894,37.6239,31.2038,42.2577,70.2065,81.7915,77.5026,84.3601,63.0666,49.158,38.0242,41.8109,35.0204,26.1084,20.7017,23.3756,25.4968,15.1971,9.01686,7.66129,9.32067,10.7833,9.62256,4.83186,1.8976,3.25646,4.50555,5.10414,6.48469,8.68064,10.8332,11.1835,17.1048,27.5601,42.3126,57.9567,51.6555
