ro,h,m,rbar,rinit,rho,vartheta,bo,sbo,SSB,Age.3to10,rt3.p.,rt3.a.,rt3.g.,Age.4,Poor,Average,Good,q1,q2,f,harvestRate,availHarvestHCR,sel_gear1,sel_sd1,sel_gear2,sel_sd2,sel_gear3,sel_sd3,sel_gear4,sel_sd4,sel_gear5,sel_sd5
1439.239316,0.548193,0.656254243,556.5127046,247.8812994,0.299858,1.40124,0,97.9618,38.7565,29.2125,4.30044,12.5362,37.2842,19.5492,23.8496,32.0854,56.8334,0.480001044,1.000234758,-597.286,0.2,5.8425,2.75021,0.229442,3.03717,0.318285,4.74206,0.411204,2.055,0.05,2.055,0.05
1667.348635,0.591439,0.649260017,541.60665,82.3418925,0.338316,1.33973,0,115.992,40.9374,34.7858,4.1323,12.8405,37.3244,19.5212,23.6535,32.3617,56.8456,0.456344624,1.008354435,-509.956,0.2,6.95715,2.72183,0.220613,3.05002,0.312263,4.82587,0.432924,2.055,0.05,2.055,0.05
1786.511295,0.554529,0.653123526,617.0067723,121.6611839,0.313555,1.43597,0,122.791,50.3184,42.7242,4.03266,12.4718,37.4085,23.578,27.6106,36.0498,60.9865,0.483389274,1.007947898,-510.426,0.2,8.54483,2.84129,0.266079,3.06248,0.323791,4.69443,0.39956,2.055,0.05,2.055,0.05
1282.709607,0.617717,0.641645056,451.9221814,182.6734258,0.319166,1.29161,0,91.3967,36.8868,25.9458,4.12229,13.1508,35.4866,19.7864,23.9087,32.9372,55.273,0.498951192,0.990213027,-509.278,0.2,5.18916,2.68153,0.211797,3.00715,0.322501,4.66883,0.399881,2.055,0.05,2.055,0.05
2204.751317,0.622698,0.658071297,639.419031,291.2552411,0.367829,1.5373,0,149.222,35.0893,30.2808,3.99643,13.4258,39.3509,15.9406,19.9371,29.3664,55.2916,0.437435943,1.008675728,-516.461,0.2,6.05616,2.68228,0.214473,3.02473,0.320314,4.72928,0.403637,2.055,0.05,2.055,0.05
1801.148867,0.574202,0.65314312,811.0502397,193.4617851,0.306165,1.25178,0,123.789,35.3194,26.9768,4.15128,13.9969,39.0882,17.6924,21.8437,31.6893,56.7806,0.421294569,0.977709977,-498.596,0.2,5.39535,2.59127,0.1807,2.98616,0.317869,4.68903,0.409957,2.055,0.05,2.055,0.05
1603.156857,0.609477,0.686994495,473.1204466,993.5257697,0.387461,1.19806,0,99.3206,26.9749,17.6929,4.02451,14.1496,43.4617,13.9554,17.9799,28.1049,57.4171,0.388854905,1.006919158,-516.974,0.2,3.53858,2.61855,0.200835,3.05222,0.328148,4.84754,0.424366,2.055,0.05,2.055,0.05
1142.106907,0.580489,0.660026034,390.0480747,213.4985412,0.306725,1.10989,0,76.8331,33.3729,24.5524,4.19533,13.3925,38.8117,16.9779,21.1733,30.3705,55.7896,0.425956948,0.986966383,-494.642,0.2,4.91049,2.63753,0.201805,3.06289,0.326564,4.67233,0.383942,2.055,0.05,2.055,0.05
1216.982849,0.542767,0.663830788,474.1340085,249.9747718,0.275184,1.12466,0,80.9132,38.4145,29.9357,3.98812,13.4046,37.9022,18.8916,22.8797,32.2962,56.7938,0.468839869,0.996557728,-504.284,0.2,5.98714,2.76968,0.236682,3.03152,0.314215,4.68159,0.391781,2.055,0.05,2.055,0.05
1022.923517,0.675515,0.642673153,372.3484093,360.1029634,0.309216,1.08328,0,72.6502,51.6555,37.396,3.73072,12.6073,36.5955,27.237,30.9678,39.8443,63.8326,0.511769475,0.991502281,-509.728,0.2,7.47919,2.68742,0.217289,3.0405,0.312031,4.83665,0.430224,2.055,0.05,2.055,0.05
1393.480704,0.657524,0.660068277,509.1842829,395.0964846,0.329571,1.07651,0,93.7313,30.8403,23.0699,4.26217,13.6249,39.9349,15.3371,19.5993,28.962,55.272,0.411188719,0.99772154,-489.713,0.2,4.61398,2.97325,0.280343,2.98076,0.303806,4.73927,0.434864,2.055,0.05,2.055,0.05
1339.524528,0.472598,0.653619435,533.169828,125.0582964,0.300904,1.28841,0,91.9261,29.3364,26.1736,3.99153,11.9713,36.201,13.2139,17.2054,25.1852,49.4149,0.49235366,1.016091902,-500.286,0.2,5.23473,2.83602,0.242379,3.031,0.319169,4.74286,0.404183,2.055,0.05,2.055,0.05
1946.211614,0.475253,0.704631717,559.8058348,378.9786989,0.335881,1.10017,0,114.384,27.8842,19.912,4.10895,13.9209,43.225,13.49,17.5989,27.4109,56.715,0.42106629,1.008655524,-514.964,0.2,3.98239,2.83652,0.247294,3.10417,0.329769,4.7129,0.40086,2.055,0.05,2.055,0.05
1350.499766,0.578645,0.661553779,523.3549947,544.1962851,0.311298,1.21463,0,90.4238,40.5164,27.686,4.14667,13.0354,39.9159,21.5227,25.6693,34.5581,61.4385,0.4547493,0.979530308,-510.535,0.2,5.5372,2.83944,0.25821,3.00963,0.31058,4.80014,0.446458,2.055,0.05,2.055,0.05
1700.453059,0.490358,0.676952616,621.6019897,200.4289861,0.278261,1.28958,0,108.602,38.9209,32.7098,4.18915,13.6923,40.5029,17.6748,21.864,31.3671,58.1778,0.430630873,0.995370917,-519.791,0.2,6.54196,2.73298,0.222106,3.0693,0.321466,4.7024,0.395161,2.055,0.05,2.055,0.05
1433.866614,0.466129,0.656641547,458.3440028,135.3846519,0.33628,1.56382,0,97.4794,37.7932,28.0755,4.27658,12.3789,38.409,19.1827,23.4593,31.5616,57.5917,0.463146898,0.999434668,-506.005,0.2,5.61511,2.77473,0.234139,2.97174,0.293793,4.7569,0.416823,2.055,0.05,2.055,0.05
1955.439001,0.485485,0.680893754,527.2685493,494.8526295,0.235977,1.32824,0,123.4,26.2988,19.9798,4.28758,13.1328,38.9756,12.7457,17.0333,25.8786,51.7213,0.448479189,0.972698803,-504.473,0.2,3.99597,2.8081,0.230476,3.05405,0.331663,4.69835,0.405425,2.055,0.05,2.055,0.05
2078.704205,0.434806,0.657810094,539.449945,131.5556558,0.295902,1.25905,0,140.805,34.1728,23.4232,3.99794,12.8632,36.2505,18.2056,22.2035,31.0688,54.4561,0.47183827,1.014228373,-511.92,0.2,4.68464,2.76999,0.244255,2.99352,0.303257,4.80697,0.427442,2.055,0.05,2.055,0.05
1127.118889,0.593633,0.683171058,728.8733604,324.777392,0.331946,1.18957,0,70.6391,32.3586,23.2945,4.17572,14.0333,40.9632,16.0002,20.1759,30.0335,56.9634,0.409866001,1.017841797,-500.582,0.2,4.65889,2.68736,0.203469,3.0325,0.313274,4.81713,0.410135,2.055,0.05,2.055,0.05
1160.167883,0.644353,0.631624631,431.816185,450.7306803,0.402785,1.68791,0,85.3372,48.0319,36.3387,4.17064,11.7399,35.7283,25.168,29.3387,36.9079,60.8963,0.514536903,1.019247286,-505.021,0.2,7.26775,2.6992,0.213166,3.0021,0.313459,4.7429,0.426637,2.055,0.05,2.055,0.05
949.8366287,0.559213,0.652061758,941.740727,146.5021347,0.30883,1.27664,0,65.5012,48.2528,38.906,4.2659,11.8464,36.6092,23.6327,27.8986,35.4791,60.2419,0.481927785,1.000951364,-508.44,0.2,7.78119,2.78316,0.226807,3.03629,0.317905,4.72029,0.403157,2.055,0.05,2.055,0.05
1977.621225,0.472779,0.673375605,507.4762948,423.845923,0.249605,1.21242,0,127.689,33.1643,26.6528,4.39224,13.7084,40.8999,15.7492,20.1415,29.4577,56.6492,0.407018761,1.004950101,-511.607,0.2,5.33056,2.62641,0.21153,3.05575,0.317526,4.68908,0.383926,2.055,0.05,2.055,0.05
1061.151587,0.710597,0.668489894,617.4079571,139.1955808,0.351394,1.23763,0,69.5478,38.786,30.907,4.24164,13.8366,40.1109,18.5715,22.8131,32.4081,58.6824,0.409516125,0.99673565,-515.304,0.2,6.1814,2.63195,0.211405,3.06231,0.322229,4.73126,0.391789,2.055,0.05,2.055,0.05
