"M_1951","M_1952","M_1953","M_1954","M_1955","M_1956","M_1957","M_1958","M_1959","M_1960","M_1961","M_1962","M_1963","M_1964","M_1965","M_1966","M_1967","M_1968","M_1969","M_1970","M_1971","M_1972","M_1973","M_1974","M_1975","M_1976","M_1977","M_1978","M_1979","M_1980","M_1981","M_1982","M_1983","M_1984","M_1985","M_1986","M_1987","M_1988","M_1989","M_1990","M_1991","M_1992","M_1993","M_1994","M_1995","M_1996","M_1997","M_1998","M_1999","M_2000","M_2001","M_2002","M_2003","M_2004","M_2005","M_2006","M_2007","M_2008","M_2009","M_2010","M_2011","M_2012","M_2013","M_2014","M_2015","M_2016","M_2017"
0.57965,0.549736,0.518536,0.483076,0.444013,0.404579,0.369384,0.343568,0.332084,0.337933,0.363338,0.410334,0.479357,0.5651,0.651737,0.717569,0.743147,0.720273,0.656348,0.570429,0.48329,0.407618,0.348426,0.306355,0.280356,0.269371,0.273158,0.292318,0.3282,0.382146,0.453518,0.536048,0.614687,0.670904,0.690529,0.670534,0.620616,0.558567,0.502159,0.460968,0.438266,0.434345,0.448101,0.476863,0.515711,0.5596,0.604058,0.645787,0.683594,0.719286,0.757416,0.801645,0.853314,0.910666,0.967735,1.01322,1.03213,1.01504,0.962643,0.885197,0.798794,0.720673,0.664916,0.637599,0.640008,0.671215,0.727508
0.425996,0.450926,0.471544,0.478784,0.468821,0.44437,0.413563,0.387395,0.376833,0.388926,0.429198,0.503368,0.615076,0.757138,0.899633,0.99825,1.01525,0.942288,0.806161,0.651446,0.515027,0.411187,0.339784,0.295768,0.274063,0.27127,0.285918,0.318395,0.370111,0.441828,0.530648,0.625499,0.704743,0.74558,0.735816,0.680595,0.599464,0.516631,0.451003,0.409768,0.393679,0.40178,0.432693,0.482985,0.544442,0.606648,0.659126,0.694236,0.710212,0.71257,0.711974,0.717044,0.732783,0.760868,0.799393,0.841774,0.876807,0.894694,0.890353,0.864746,0.824598,0.780691,0.744639,0.723416,0.719734,0.733308,0.760927
0.844256,0.71073,0.598139,0.503997,0.427197,0.367147,0.323509,0.296467,0.286978,0.296021,0.325417,0.377976,0.45591,0.556407,0.665657,0.76124,0.819245,0.824658,0.779094,0.699823,0.609996,0.526083,0.456356,0.403541,0.367539,0.347321,0.341952,0.350882,0.37391,0.410697,0.459684,0.516306,0.571739,0.615936,0.640778,0.642813,0.624626,0.594091,0.561299,0.533432,0.514347,0.505581,0.50706,0.517311,0.533704,0.554091,0.577218,0.602832,0.631885,0.666848,0.711494,0.768494,0.838191,0.917323,0.997154,1.06165,1.08983,1.069,1.00176,0.904626,0.801077,0.714162,0.66146,0.650744,0.686275,0.77289,0.914083
0.504111,0.453829,0.410449,0.375995,0.351192,0.336174,0.330964,0.335794,0.351187,0.377652,0.415297,0.463097,0.517699,0.571911,0.614559,0.63532,0.62888,0.59702,0.547895,0.49304,0.44327,0.404476,0.378706,0.366055,0.365749,0.376423,0.396076,0.422712,0.454168,0.487782,0.520218,0.547517,0.565642,0.572072,0.566638,0.551609,0.53125,0.511125,0.496974,0.492441,0.499225,0.517532,0.545919,0.580484,0.614598,0.642156,0.659424,0.666052,0.665471,0.664668,0.672676,0.695984,0.737952,0.798565,0.872644,0.946621,0.998221,1.00892,0.972894,0.899443,0.808784,0.724471,0.666046,0.642217,0.655911,0.708235,0.797549
0.729086,0.521512,0.379114,0.287761,0.23245,0.202063,0.189615,0.19116,0.20467,0.229645,0.26631,0.314614,0.373019,0.437022,0.498311,0.546782,0.5736,0.574281,0.550391,0.508899,0.459286,0.40952,0.364961,0.328723,0.302448,0.28716,0.283851,0.293325,0.31644,0.353912,0.405259,0.466622,0.528767,0.580074,0.610347,0.614613,0.595272,0.561278,0.524233,0.492346,0.469986,0.458981,0.459597,0.470944,0.491175,0.518674,0.552185,0.590708,0.633506,0.6802,0.73069,0.784272,0.839161,0.892193,0.938601,0.972002,0.985523,0.975607,0.943499,0.8949,0.838565,0.784601,0.742313,0.716611,0.708803,0.71772,0.739724
0.505459,0.436492,0.377762,0.329368,0.2912,0.2631,0.245131,0.237962,0.24314,0.262586,0.2988,0.354493,0.430696,0.522499,0.614333,0.684196,0.712381,0.691097,0.628699,0.545064,0.461143,0.389221,0.333766,0.294993,0.271559,0.262108,0.265968,0.283284,0.314823,0.361308,0.421961,0.492007,0.560617,0.614487,0.642678,0.641098,0.614399,0.574181,0.534006,0.502572,0.483845,0.478872,0.486783,0.504775,0.528092,0.552557,0.575471,0.596052,0.615906,0.639412,0.673218,0.722554,0.789953,0.873925,0.966185,1.04804,1.09167,1.07718,1.00391,0.890533,0.765824,0.65725,0.583293,0.549155,0.554783,0.599805,0.682443
0.533274,0.486232,0.440638,0.394104,0.348143,0.306363,0.272985,0.252315,0.24881,0.266263,0.30989,0.387282,0.505568,0.660708,0.820741,0.932022,0.947763,0.861055,0.710229,0.550496,0.420587,0.33006,0.274041,0.245099,0.237655,0.248527,0.276145,0.320451,0.381588,0.457938,0.543736,0.626836,0.689267,0.715237,0.698918,0.647333,0.576886,0.506495,0.451082,0.416835,0.404929,0.414978,0.445936,0.494693,0.553939,0.614699,0.668188,0.70808,0.732951,0.747634,0.761712,0.782933,0.815488,0.859764,0.911386,0.959535,0.987728,0.983607,0.944351,0.877458,0.79778,0.722803,0.667599,0.639061,0.638844,0.666028,0.716771
0.798025,0.728207,0.664149,0.605322,0.552011,0.504978,0.465237,0.433969,0.412327,0.400704,0.398937,0.406525,0.422549,0.445328,0.472112,0.499599,0.524084,0.541646,0.548582,0.541995,0.520699,0.486661,0.44461,0.400646,0.360862,0.330631,0.31428,0.31408,0.331586,0.368443,0.42565,0.500765,0.584235,0.661568,0.717162,0.739783,0.727422,0.688303,0.636535,0.583868,0.537744,0.502165,0.478947,0.468793,0.472014,0.488978,0.52017,0.565927,0.625826,0.697624,0.776274,0.854754,0.924771,0.977823,1.00673,1.00722,0.979075,0.926905,0.859032,0.785513,0.716258,0.660001,0.623587,0.610014,0.619907,0.652452,0.704589
0.546714,0.609433,0.666114,0.693238,0.677155,0.621205,0.543627,0.467919,0.412566,0.384322,0.384444,0.413618,0.472409,0.557113,0.652996,0.737082,0.784813,0.780505,0.725716,0.638368,0.542243,0.454017,0.381713,0.327578,0.291092,0.271145,0.267239,0.279627,0.309551,0.358832,0.428179,0.513507,0.601817,0.674589,0.714397,0.712598,0.673667,0.612971,0.548931,0.493486,0.452054,0.426218,0.415767,0.419741,0.436891,0.466526,0.508357,0.562031,0.626594,0.699862,0.7779,0.855252,0.925289,0.98086,1.01531,1.02363,1.00378,0.95825,0.893643,0.819062,0.744171,0.677773,0.626562,0.593031,0.576746,0.575498,0.585342
0.92441,0.804916,0.69799,0.600104,0.512173,0.436936,0.377305,0.335869,0.314824,0.314917,0.337111,0.383206,0.454173,0.545256,0.639807,0.713666,0.744597,0.723377,0.659046,0.573749,0.490582,0.422194,0.372543,0.341337,0.326916,0.327543,0.341779,0.368905,0.408423,0.459153,0.518045,0.578821,0.631653,0.666736,0.677711,0.663923,0.630712,0.587674,0.545273,0.510302,0.48603,0.473511,0.472452,0.481503,0.498437,0.521413,0.549187,0.581097,0.617173,0.658341,0.706225,0.761227,0.8214,0.88148,0.931957,0.958896,0.947734,0.895062,0.811469,0.716522,0.631394,0.574575,0.56173,0.605813,0.727156,0.962914,1.37013
