"ro","h","m","rbar","rinit","rho","vartheta","bo","sbo","SSB","Age.3to10","rt3.p.","rt3.a.","rt3.g.","Age.4","Poor","Average","Good","q1","q2","f","harvestRate","availHarvestHCR","sel_gear1","sel_sd1","sel_gear2","sel_sd2","sel_gear3","sel_sd3","sel_gear4","sel_sd4","sel_gear5","sel_sd5"
535.869145641471,0.732047,0.579649887470079,359.092494446013,255.606716616384,0.299858,1.40124,0,46.4293,16.7119,11.918,3.83562,8.0494,17.0908,8.18068,12.0163,16.2301,25.2715,0.82402204153067,0.999039068990187,-740.161,0.2,2.3836,2.63149,0.227168,2.98627,0.318686,4.80066,0.465835,2.055,0.05,2.055,0.05
457.72107864156,0.718566,0.425996563349501,296.764827932356,135.533656916011,0.338316,1.33973,0,36.8273,15.5017,10.1804,3.51493,7.87581,17.0064,7.22247,10.7374,15.0983,24.2288,0.785994094452789,0.996127178790959,-660.38,0.2,2.03608,2.54327,0.211455,2.98547,0.322449,4.72042,0.438008,2.055,0.05,2.055,0.05
628.986629677528,0.706321,0.844255588714119,368.669286637285,214.802714523217,0.313555,1.43597,0,49.2028,11.6679,7.99933,3.91965,8.20977,18.1815,5.41193,9.33158,13.6217,23.5935,0.75388156417726,0.977707728231363,-638.118,0.2,1.59987,2.65125,0.253664,3.0189,0.322621,4.71593,0.42989,2.055,0.05,2.055,0.05
601.393823320286,0.780439,0.504110897697932,423.151385346233,69.4279830346707,0.319166,1.29161,0,53.5774,17.7398,12.4665,3.79188,7.63677,17.9149,8.50079,12.2927,16.1376,26.4157,0.80334581816667,0.981172592128563,-658.066,0.2,2.49329,2.57096,0.217284,3.01831,0.326719,4.80351,0.44566,2.055,0.05,2.055,0.05
436.025182627046,0.692684,0.729085696780266,378.10804949557,104.647755397523,0.367829,1.5373,0,43.7921,17.1761,11.3552,3.45974,6.71246,15.1409,8.02499,11.4847,14.7375,23.1659,0.889727538181615,1.01221601333529,-639.402,0.2,2.27104,2.59416,0.220748,2.98866,0.31394,4.81363,0.49855,2.055,0.05,2.055,0.05
524.025318027398,0.736471,0.505459177732089,381.004048098232,50.2308811543458,0.306165,1.25178,0,51.575,18.7898,14.2001,3.82924,7.92627,17.2272,9.91509,13.7443,17.8414,27.1423,0.884346787251901,1.00353681983882,-642.059,0.2,2.84003,2.65046,0.218639,2.92518,0.309026,4.82784,0.46369,2.055,0.05,2.055,0.05
499.201588928564,0.798751,0.533274488271825,325.235651134572,31.2744040182394,0.387461,1.19806,0,43.5963,21.0034,14.1002,3.8576,7.73431,16.8264,10.627,14.4846,18.3614,27.4534,0.891077388057179,0.986994511849781,-639.32,0.2,2.82004,2.69387,0.241404,2.99677,0.317186,4.77236,0.443725,2.055,0.05,2.055,0.05
811.610057448749,0.73101,0.798024484238403,478.267404637477,152.609138137034,0.306725,1.10989,0,68.3327,20.568,15.4134,4.1794,9.91739,21.7224,10.4526,14.632,20.37,32.175,0.622842874418784,1.00641990984433,-644.233,0.2,3.08269,2.51982,0.17754,2.99351,0.322751,4.82969,0.46256,2.055,0.05,2.055,0.05
759.81881230836,0.630692,0.546713707625328,373.004319497867,387.164628803882,0.275184,1.12466,0,62.9447,25.6777,19.8436,4.09376,9.60483,21.0081,13.3096,17.4033,22.9144,34.3176,0.653958097943708,0.981347747068372,-664.412,0.2,3.96872,2.46765,0.16994,2.96244,0.313376,4.916,0.480526,2.055,0.05,2.055,0.05
595.237210972699,0.58314,0.924409614347916,500.966884450982,1919.59594967881,0.309216,1.08328,0,48.5942,9.9695,6.61472,3.32158,7.92013,17.2258,4.46391,7.78549,12.384,21.6897,0.793004010486541,1.00021800175893,-630.558,0.2,1.32294,2.41507,0.162577,3.04282,0.331197,4.81079,0.450556,2.055,0.05,2.055,0.05
682.955702349729,0.750267,0.301049673382506,528.905617967591,30.4988811703138,0.329571,1.07651,0,61.9739,30.4942,24.038,4.22509,9.08649,20.1804,16.6524,20.8775,25.7389,36.8327,0.818308396986636,0.993664583915868,-631.52,0.2,4.80761,2.47732,0.172104,3.03036,0.325855,4.72714,0.442892,2.055,0.05,2.055,0.05
703.114674409016,0.793019,0.670195378101554,209.819995739953,330.772226156139,0.300904,1.28841,0,54.4089,21.453,17.3647,3.78453,8.73356,18.7867,9.58388,13.3684,18.3174,28.3705,0.789954444795162,0.988391998803602,-641.536,0.2,3.47295,2.68145,0.219729,3.04025,0.334589,4.7204,0.439005,2.055,0.05,2.055,0.05
536.287286628856,0.83252,0.604958753081638,280.31388691873,213.962336100127,0.335881,1.10017,0,47.7143,14.6561,10.2896,3.2383,6.87848,14.5734,6.2041,9.44241,13.0826,20.7775,0.912462856098014,1.01562115430669,-632.733,0.2,2.05791,2.70658,0.24663,3.00845,0.327667,4.69791,0.45689,2.055,0.05,2.055,0.05
528.207923131771,0.683903,0.699817984425265,260.830298882184,1321.64175956325,0.311298,1.21463,0,50.7989,22.7216,16.7526,3.45829,7.87702,17.1672,11.3676,14.8259,19.2446,28.5348,0.859810726003081,0.995180620656323,-644.236,0.2,3.35053,2.5902,0.209275,2.94591,0.317043,4.71928,0.44715,2.055,0.05,2.055,0.05
570.549539063859,0.826227,0.706886615544429,412.048062871223,327.598901893548,0.278261,1.28958,0,51.2182,33.7389,26.7797,3.86265,8.79128,19.0903,18.5034,22.366,27.2947,37.5937,0.890434262379309,1.01080849426124,-643.746,0.2,5.35593,2.74352,0.251952,2.96727,0.313661,4.90932,0.487022,2.055,0.05,2.055,0.05
547.838206641397,0.809141,0.746072871927631,337.322686863524,87.1656211229903,0.33628,1.56382,0,45.889,16.8044,11.1683,3.66102,8.00973,17.0578,8.44197,12.103,16.4517,25.4998,0.832363528745726,1.00434573544011,-646.251,0.2,2.23365,2.71785,0.24526,2.97084,0.310634,4.85895,0.483552,2.055,0.05,2.055,0.05
631.065714158088,0.814152,0.948956423273748,493.715776304822,2229.80630068013,0.235977,1.32824,0,47.1272,10.9845,7.60554,3.70367,9.09864,18.3175,5.03953,8.7432,14.1382,23.3571,0.686646963644428,0.994446995246897,-665.886,0.2,1.52111,2.67777,0.248455,2.95824,0.314119,4.71783,0.456262,2.055,0.05,2.055,0.05
547.246860762477,0.659278,0.501483286075969,482.166745863474,20.9265774617985,0.295902,1.25905,0,44.212,15.3481,10.159,3.47859,7.97896,17.9353,7.07943,10.558,15.0584,25.0147,0.770364114446838,1.00559121281005,-643.403,0.2,2.03179,2.74435,0.273432,2.99855,0.319175,4.79253,0.442784,2.055,0.05,2.055,0.05
570.378399874302,0.775625,0.799561361347759,656.504796575341,555.345254214027,0.331946,1.18957,0,43.8578,8.45051,5.29546,3.16104,7.13389,17.1514,3.60239,6.76343,10.7363,20.7537,0.728489548538172,0.994880320462588,-625.136,0.2,1.05909,2.61253,0.222405,3.02148,0.322142,4.70964,0.448888,2.055,0.05,2.055,0.05
591.351147990569,0.590086,0.557276919567772,299.540609695045,190.907687558103,0.402785,1.68791,0,43.0716,8.69503,5.50643,3.41845,8.03949,17.2987,3.5897,7.00815,11.6292,20.8884,0.686800102991723,1.00081424531788,-632.276,0.2,1.10129,2.71807,0.241087,3.01652,0.310348,4.84877,0.484181,2.055,0.05,2.055,0.05
598.741528510762,0.615403,0.670481612634727,371.184780773452,119.20205566568,0.30883,1.27664,0,59.1863,24.3108,19.369,3.68824,7.68139,16.8162,11.7192,15.4075,19.4006,28.5354,0.886072059872288,0.994987833038817,-646.943,0.2,3.87381,2.58379,0.215538,2.94499,0.311367,4.61749,0.427255,2.055,0.05,2.055,0.05
624.130823849406,0.734578,0.852890593978184,230.013959371265,45.4098935086861,0.249605,1.21242,0,61.6451,21.8434,15.9376,3.76742,8.04028,16.8169,11.5477,15.3151,19.5879,28.3646,0.872378403704041,1.01027361489354,-645.871,0.2,3.18752,2.58417,0.204296,2.96234,0.314616,4.73932,0.460687,2.055,0.05,2.055,0.05
499.531170727286,0.691742,0.640839655999502,341.053719477229,19.6251125758291,0.351394,1.23763,0,48.1079,9.50828,6.77343,3.36778,6.59745,13.295,3.98458,7.35235,10.582,17.2796,1.00788942881855,0.995086162594861,-642.161,0.2,1.35469,2.43778,0.169682,2.94344,0.300951,4.73113,0.460636,2.055,0.05,2.055,0.05
690.931025219258,0.742804,0.400013492977232,417.715258231821,6.3490170141472,0.230261,1.27201,0,56.8623,19.4975,14.0892,4.10854,9.3319,21.3154,10.4971,14.6056,19.829,31.8125,0.715653620018701,0.999841639540342,-636.687,0.2,2.81784,2.42477,0.146055,2.99553,0.325914,4.6252,0.406757,2.055,0.05,2.055,0.05
438.513237720144,0.683617,0.524901842782201,358.349941789656,46.4418039118638,0.245593,1.10545,0,39.3951,13.6853,9.9878,3.47414,7.81001,16.8326,6.69218,10.1663,14.5022,23.5248,0.918500527519461,1.00000033821606,-647.448,0.2,1.99756,2.54237,0.198237,3.03312,0.333658,4.81437,0.470181,2.055,0.05,2.055,0.05
388.506538584731,0.780249,0.54439347170585,358.521991050235,15.5426832912754,0.347135,1.54007,0,36.2052,11.7193,8.6565,3.46964,7.46608,15.3064,5.46066,8.9303,12.9267,20.767,0.949312063870653,0.989940538280743,-650.186,0.2,1.7313,2.6692,0.241983,2.9482,0.306016,4.86795,0.474009,2.055,0.05,2.055,0.05
438.574633871055,0.753482,0.641822816592201,428.868351983548,30.1640253275028,0.381464,1.44375,0,39.5838,15.0678,11.2517,3.33064,7.41242,16.0143,7.25796,10.5886,14.6704,23.2723,0.969917851738888,1.02197629827414,-626.551,0.2,2.25034,2.71426,0.240965,2.96356,0.314081,4.84914,0.501576,2.055,0.05,2.055,0.05
431.281064769783,0.836023,0.581355984370684,358.532746871303,20.3888870506593,0.323838,1.09027,0,40.4797,22.568,15.9881,3.43314,7.35859,17.0357,11.495,14.9282,18.8536,28.5307,0.901059487221485,1.00564482230655,-663.99,0.2,3.19762,2.62039,0.227863,2.9274,0.30621,4.76924,0.454,2.055,0.05,2.055,0.05
463.19123343989,0.632665,0.802949063339006,425.642588506233,86.8246007248564,0.345381,1.59053,0,43.0215,18.0301,13.0888,3.5487,7.76931,16.9893,9.59027,13.139,17.3596,26.5796,0.961662616816099,1.00748310956659,-627.604,0.2,2.61775,2.58225,0.220322,2.98821,0.327671,4.77904,0.468906,2.055,0.05,2.055,0.05
474.845743136527,0.747674,0.473559838250259,307.043674597065,28.5572258885546,0.351388,1.21904,0,38.8994,16.1487,10.4892,3.58477,7.95878,17.5134,8.4051,11.9899,16.3639,25.9185,0.842627746800643,1.01246120174484,-641.373,0.2,2.09784,2.43161,0.147165,2.97904,0.328412,4.59417,0.407642,2.055,0.05,2.055,0.05
548.4960070907,0.677697,0.577510878230978,351.922154798517,96.6967700361353,0.292695,1.40201,0,42.8896,13.8325,9.54185,3.72169,8.57975,18.5532,7.10392,10.8256,15.6837,25.6572,0.763353539875274,1.01412675268019,-635.17,0.2,1.90837,2.37899,0.148192,2.95507,0.314629,5.02595,0.51922,2.055,0.05,2.055,0.05
529.503619122915,0.759074,0.607621575202138,217.95094183277,340.699207986901,0.349693,1.40827,0,47.2581,9.81032,6.77347,3.44336,6.70544,15.3973,4.28389,7.72725,10.9893,19.6811,0.876779275137797,1.00457708299085,-607.526,0.2,1.35469,2.39275,0.166277,2.94227,0.301086,4.86488,0.507887,2.055,0.05,2.055,0.05
486.234005102073,0.758058,0.753210908071378,297.391662797515,79.4676483623625,0.363261,1.24132,0,40.5929,16.1334,12.1999,3.72592,8.27245,18.1754,7.34957,11.0755,15.622,25.525,0.74804809870011,0.993344198622548,-635.952,0.2,2.43999,2.62426,0.231589,2.99306,0.318026,4.7007,0.414807,2.055,0.05,2.055,0.05
496.910535083227,0.844891,0.399933498278374,204.735724768042,7.50365323538611,0.346164,1.39067,0,45.2103,15.5386,11.2321,3.78439,7.75671,16.5491,7.52401,11.3084,15.2807,24.0731,0.842124006041555,0.979892801034667,-644.035,0.2,2.24642,2.63167,0.234934,2.93981,0.306361,4.85823,0.466564,2.055,0.05,2.055,0.05
501.578437021227,0.794014,0.676442385876173,280.950922203535,23.9213173326213,0.324396,1.45226,0,46.4094,20.6923,16.0573,3.80749,8.00659,17.3233,10.3946,14.2021,18.4012,27.7179,0.851744227233736,0.999048875605819,-641.738,0.2,3.21146,2.63885,0.223969,2.89901,0.306072,4.77324,0.461492,2.055,0.05,2.055,0.05
505.283672859675,0.68213,0.489962216516759,332.859340552208,33.2764520102234,0.293105,1.38332,0,42.6594,16.7794,12.1763,3.81609,8.27267,17.204,7.70109,11.5172,15.9738,24.9051,0.799546969372783,0.993814747916498,-634.561,0.2,2.43527,2.57239,0.211718,3.04907,0.332134,4.92495,0.480144,2.055,0.05,2.055,0.05
536.174678122971,0.651842,0.627561879555923,274.738572482951,17.2017306853722,0.366372,1.20961,0,51.8316,23.3815,17.5712,3.68961,8.87966,20.9544,12.7725,16.4621,21.6522,33.7269,0.801814495691809,1.01324028649881,-620.756,0.2,3.51425,2.62431,0.225659,2.95117,0.313593,4.78592,0.465971,2.055,0.05,2.055,0.05
546.787366414081,0.637659,0.502203933375699,241.075460840267,88.9940932898551,0.263333,1.17724,0,47.4194,26.6379,19.8804,3.67448,8.6951,18.8982,13.6505,17.3249,22.3456,32.5487,0.752516767662038,1.01700049114357,-644.268,0.2,3.97608,2.54374,0.200694,3.05341,0.334908,4.81356,0.462837,2.055,0.05,2.055,0.05
479.287199905756,0.813639,0.543796055715317,454.382793376073,54.2270575137751,0.415834,1.15331,0,40.9524,6.80056,4.11323,2.88256,6.26072,12.7879,2.52813,5.41069,8.78885,15.316,0.917406785866907,1.01963528537774,-625.36,0.2,0.822647,2.58251,0.225588,3.0794,0.33385,4.8723,0.483082,2.055,0.05,2.055,0.05
503.015004663624,0.665703,0.547129915103691,275.305117283061,45.5955443443716,0.260805,1.43319,0,45.43,19.5388,13.9123,3.7346,7.97226,16.5683,10.3469,14.0815,18.3192,26.9152,0.945119882259993,0.995076112275373,-650.55,0.2,2.78246,2.53582,0.20008,2.92237,0.303887,4.9243,0.491022,2.055,0.05,2.055,0.05
503.125680138506,0.676256,0.406073541128105,455.70241600484,22.2432813229777,0.336378,1.46221,0,47.6909,17.075,11.5341,3.72688,7.39227,16.4861,9.10105,12.8279,16.4933,25.5871,0.893077424764576,0.996282387495859,-654.19,0.2,2.30683,2.64309,0.231025,2.9542,0.31726,4.87726,0.496639,2.055,0.05,2.055,0.05
478.635812357818,0.789561,0.497426734781082,322.908822470455,14.3515794162612,0.310383,1.34944,0,43.1403,19.8879,14.5461,3.71246,7.99609,18.3372,9.6807,13.3932,17.6768,28.0179,0.821718828686492,1.00011173624203,-654.529,0.2,2.90922,2.59391,0.21658,3.01273,0.323953,4.79414,0.48062,2.055,0.05,2.055,0.05
550.347556743439,0.625014,0.844437123179948,453.320780679025,649.978964462093,0.315487,1.517,0,47.4906,21.425,15.5308,4.1293,8.82009,18.8155,11.1843,15.3136,20.0044,29.9998,0.818522821875081,1.00045235128,-647.562,0.2,3.10615,2.45743,0.162962,2.99161,0.313617,4.91078,0.510498,2.055,0.05,2.055,0.05
517.526121399528,0.70399,0.843122514488125,504.672649359283,84.8589104237582,0.348556,1.3422,0,51.3324,19.1817,13.9966,3.62567,8.0403,16.9082,10.1513,13.777,18.1916,27.0595,0.967485443180169,1.00198348450811,-642.836,0.2,2.79932,2.6391,0.228796,3.00378,0.335327,4.96312,0.521578,2.055,0.05,2.055,0.05
468.581478447911,0.899742,0.676874093818552,403.788004944329,795.913092812475,0.390935,1.26413,0,49.0135,32.6116,23.6806,3.69599,8.22611,17.0999,18.2112,21.9072,26.4373,35.3111,0.933755828985353,0.997368209249507,-649.652,0.2,4.73612,2.65147,0.215417,2.93362,0.320482,4.58062,0.437741,2.055,0.05,2.055,0.05
547.641020382662,0.726192,0.432324852477831,239.650113688635,88.8500395737402,0.415609,1.32063,0,50.2677,28.8939,23.4642,3.7815,8.18386,18.3751,14.7347,18.5162,22.9185,33.1098,0.983925201062077,0.99955759189134,-638.76,0.2,4.69285,2.61756,0.223086,2.99058,0.314641,4.66313,0.446341,2.055,0.05,2.055,0.05
382.343722059449,0.80794,0.797277882785144,394.125741797066,190.514822511661,0.368059,1.24739,0,36.2964,20.3921,13.1312,3.24012,6.88509,14.8068,9.59674,12.8369,16.4818,24.4035,0.942241187021392,0.996391944730534,-645.933,0.2,2.62624,2.6933,0.262848,2.96048,0.31265,4.80852,0.453748,2.055,0.05,2.055,0.05
475.021468568688,0.716514,0.713427114036556,352.873628527987,120.773875536787,0.32039,1.18676,0,43.7403,15.3423,10.4584,3.55703,7.58446,16.8781,7.43929,10.9963,15.0238,24.3174,0.835245153680798,0.985143660718225,-640.782,0.2,2.09168,2.65129,0.24667,3.00067,0.313992,4.91685,0.493547,2.055,0.05,2.055,0.05
559.738662110533,0.757863,0.370856901879245,301.795609948404,14.0778128316166,0.316688,1.08199,0,50.762,12.8824,8.68502,3.40707,7.40025,15.3234,5.67806,9.08513,13.0783,21.0015,0.819687589281141,0.998376858720979,-631.931,0.2,1.737,2.57395,0.211038,3.04771,0.333968,4.90471,0.475445,2.055,0.05,2.055,0.05
