"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
440.432,403.598,770.424,347.771,481.329,588.323,501.059,911.016,657.182,419.595,850.701,395.044,753.479,289.43,125.5,431.903,339.589,126.538,400.318,672.997,555.19,550.697,665.616,905.644,384.794,268.898,462.868,169.164,458.843,365.951,254.926,240.404,444.022,954.546,1049.31,338.212,1415.15,261.731,289.959,183.552,502.642,342.245,287.413,154.975,236.02,1092.41,406.578,227.907,256.096,382.698,515.75,512.355,231.838,265.389,184.067,303.916,136.507,255.991,143.118,368.301,93.7265,110.282,296.056,206.708,705.47,164.069,201.857,359.091
316.765,370.055,735.011,409.85,533.735,816.78,485.408,1079.06,579.286,515.514,1096.79,490.054,1254.66,386.424,161.689,442.356,867.503,76.1452,505.152,664.477,541.471,566.671,758.997,869.856,440.997,305.809,527.33,243.719,651.535,529.579,380.617,271.149,527.69,950.938,1019.03,298.282,1362.07,233.719,270.781,186.66,450.888,333.707,267.445,198.199,236.674,1062.56,399.664,186.301,190.784,257.15,383.059,413.04,131.664,167.319,139.482,250.081,118.158,259.056,179.84,472.113,108.248,180.812,305.46,271.046,807.343,166.302,175.57,296.765
559.345,453.97,827.96,309.177,616.076,541.781,417.347,975.606,514.424,537.563,679.435,528.117,684.326,261.742,162.333,375.049,512.19,236.7,969.315,1255.87,957.555,741.38,962.734,1285.84,433.522,337.839,611.714,194.052,477.986,321.837,269.048,241.437,365.341,833.941,1106.85,393.911,1758.94,323.848,358.9,242,602.599,354.91,364.608,201.192,255.836,961.562,378.408,201.706,237.427,415.299,505.477,600.967,287.322,269.016,286.796,506.821,156.815,257.615,132.398,297.803,73.5792,110.91,249.14,238.449,672.776,157.091,176.795,368.669
423.422,332.769,567.269,283.722,462.715,578.418,453.937,976.082,641.645,502.792,919.431,460.408,735.217,296.645,113.212,307.106,391.13,83.031,311.068,727.795,622.253,774.512,895.617,1287.28,528.774,424.993,618.055,225.294,620.204,330.893,228.583,216.541,276.143,724.957,771.144,285.193,1352.89,270.292,409.992,326.387,705.573,436.99,361.347,174.457,189.493,905.042,293.887,153.267,146.398,256.596,315.306,373.933,192.975,262.019,198.346,420.713,211.353,294.834,173.504,451.432,97.696,128.011,289.404,249.284,836.659,214.032,234.455,423.153
362.438,394.288,412.864,204.544,284.812,394.828,366.314,603.461,533.69,413.953,646.768,275.938,558.043,275.857,84.4409,215.573,372.622,88.4377,421.469,589.452,617.491,528.207,751.306,954.393,436.64,262.905,427.458,133.164,396.858,285.082,251.581,218.869,328.428,855.934,1027.96,295.541,1436.1,278.76,277.058,179.459,503.148,261.873,269.189,143.292,190.106,860.019,322.948,175.889,214.282,340.323,481.763,402.552,222.088,242.658,204.896,335.299,162.387,302.043,169.919,424.129,103.898,127.805,345.175,211.498,915.888,164.273,192.447,378.109
423.446,262.035,568.374,222.35,363.954,505.977,403.336,689.965,560.139,378.294,722.514,399.123,656.708,407.671,99.2112,274.599,383.492,68.2169,373.28,600.352,502.587,451.946,740.035,767.051,418.448,224.72,466.89,149.717,354.688,312.571,252.77,183.491,317.953,915.209,1078.48,338.093,1456.2,332.386,307.379,227.798,658.387,338.166,243.956,139.786,186.755,812.613,317.564,172.576,207.697,274.548,420.775,481.923,221.702,270.851,206.405,336.524,134.957,257.885,113.488,425.987,85.7362,114.276,240.658,201.796,603.115,174.138,206.929,381.003
450.279,287.235,634.461,258.883,390.944,448.541,557.076,746.992,567.465,406.942,899.091,412.848,889.371,293.462,163.863,494.592,567.269,135.503,397.973,510.67,414.835,531.531,555.558,894.565,346.17,280.631,545.648,202.832,603.282,410.656,339.976,216.065,335.797,864.159,824.562,299.323,1224.53,202.68,304.586,202.057,516.647,375.745,309.438,171.842,270.455,1153.36,354.034,227.136,204.372,285.909,376.304,424.524,212.02,245.066,121.518,262.868,148.178,290.037,166.26,448.024,90.8805,123.022,377.338,344.589,910.899,178.303,185.271,325.236
693.159,500.202,965.077,471.914,781.002,687.968,472.949,1119.8,742.946,524.272,1030.85,377.497,585.638,382.228,140.889,349.686,415.365,125.449,536.552,1066.59,826.926,838.613,839.495,1157.75,547.676,307.074,446.992,202.018,509.609,400.557,336.443,352.495,619.91,1565.86,1733.4,458.775,2178.85,354.93,392.271,216.49,558.808,298.316,308.335,120.706,221.202,812.579,415.41,240.25,296.879,465.569,555.187,591.845,238.022,233.972,126.045,228.068,94.4963,182.522,112.3,335.633,99.059,106.312,307.844,224.022,771.039,225.483,251.821,478.269
508.91,568.775,1450.08,918.548,844.125,906.994,596.468,1194.6,737.954,504.106,957.152,427.921,905.717,381.924,182.197,579.868,294.939,219.518,507.945,879.624,679.351,618.033,695.477,908.974,405.65,278.693,428.397,176.439,405.305,382.701,299.201,280.872,480.482,1191.16,1237.96,396.134,1667.37,230.029,265.545,165.532,419.671,265.517,214.127,128.871,215.617,929.385,369.617,220.646,236.672,371.206,632.605,469.551,251.39,292.325,176.552,282.313,102.883,225.663,109.125,427.405,101.523,114.467,263.488,227.997,853.641,159.162,285.787,373.004
831.197,619.114,856.782,414.535,416.653,483.417,463.357,974.753,608.877,349.519,930.103,290.703,678.249,261.146,63.283,185.623,640.269,101.314,452.629,675.933,619.612,625.282,879.646,1160.12,548.392,352.137,580.863,229.703,680.055,429.924,315.994,280.934,588.233,1024.95,1284.97,359.365,1513.8,241.191,345.124,207.689,411.394,311.319,231.322,114.936,203.78,716.083,359.445,191.554,220.46,378.868,454.026,478.643,161.89,203.06,172.082,243.969,93.7586,205.201,117.429,373.978,107.442,165.049,460.298,407.601,1120.46,229.897,239.73,500.967
236.716,416.522,421.669,304.984,389.697,384.902,518.251,888.097,789.191,427.176,657.593,388.142,613.028,244.096,144.797,253.525,367.36,161.818,631.866,962.927,686.437,711.192,932.266,1340.98,478.782,331.027,507.529,195.326,448.408,433.75,220.508,248.574,562.04,1161.76,1161.88,306.836,1540.92,229.616,319.162,216.253,516.388,300.92,328.732,175.671,293.206,964.936,479.103,218.53,226.289,375.326,532.574,620.827,193.059,324.768,192.338,279.376,111.231,251.25,130.044,346.955,79.4984,76.2128,246.908,181.316,752.704,228.07,285.27,528.904
725.569,548.408,780.818,443.586,559.782,713.926,620.519,1160.81,967.334,709.934,1056.18,624.287,886.967,415.627,139.601,334.303,455.285,166.991,534.12,838.898,581.427,656.313,779.524,990.437,398.061,237.248,425.502,169.892,400.538,332.22,189.394,250.609,380.596,875.732,964.72,369.282,1687.24,321.655,297.622,256.83,760.737,470.772,397.212,192.358,258.548,1215.42,434.835,198.589,300.763,385.316,446.158,502.139,187.518,238.227,156.422,220.517,109.805,268.806,107.1,358.275,119.513,92.8607,291.814,172.908,852.43,200.242,411.307,209.82
632.176,348.942,651.767,300.773,369.732,384.389,509.35,730.934,638.338,419.724,634.428,431.327,898.373,226.438,167.675,591.299,287.335,203.002,424.893,709.951,508.753,554.179,754.811,909.525,360.799,287.901,495.018,157.435,388.105,339.287,201.511,173.375,290.212,602.747,598.713,241.083,1171.69,221.875,270.48,152.631,495.967,322.352,267.308,132.597,186.885,862.628,300.935,133.317,181.923,228.862,373.599,303.394,164.607,286.178,207.227,369.78,136.435,250.543,209.435,566.336,131.992,155.633,403.962,214.262,964.966,121.07,278.265,280.313
458.936,884.271,874.162,523.247,489.113,787.009,490.743,809.543,639.837,457.059,715.148,356.61,650.192,170.032,108.509,350.575,165.297,118.695,304.346,696.85,592.822,566.427,689.081,993.667,451.957,235.633,439.228,176.122,329.706,333.195,160.247,129.326,277.648,514.906,547.985,203.355,1013.58,185.346,231.101,144.567,386.589,348.988,334.418,178.321,264.618,1178.85,466.988,236.824,304.273,348.549,391.627,363.387,207.716,193.896,146.774,232.945,98.6418,191.815,163.659,408.978,78.8009,123.308,313.091,188.097,745.667,215.374,245.989,260.831
517.283,512.941,768.198,282.545,482.502,433.451,416.243,1106.81,705.659,444.232,958.122,650.626,756.437,423.532,90.135,397.171,442.388,46.1653,289.51,600.267,426.629,493.042,685.677,958.576,429.293,342.769,529.496,184.115,430.806,344.168,214.868,207.141,332.634,650.153,768.285,230.623,1034.95,198.902,197.135,149.916,455.692,271.762,224.613,105.006,184.88,979.099,403.161,212.628,277.943,337.63,490.063,495.084,207.09,241.8,211.381,340.462,164.964,243.67,131.575,270.683,72.2223,85.5379,304.219,223.721,918.847,172.468,322.912,412.048
373.435,367.939,887.598,323.451,428.914,558.99,347.305,868.385,572.281,458.56,880.457,388.749,700.791,279.842,225.437,737.834,347.624,65.166,431.119,964.879,540.565,539.877,711.413,915.479,348.122,291.482,502.462,215.049,459.891,357.998,290.89,222.062,416.684,867.764,859.89,277.697,1044.56,175.091,223.971,141.027,400.733,332.379,255.364,147.915,262.026,1372.78,525.4,287.645,257.338,458.341,557.295,574.256,237.785,246.998,202.144,269.598,114.875,256.909,152.045,344.283,84.0251,100.507,313.247,176.843,853.118,156.531,152.947,337.323
962.572,660.416,785.853,369.363,541.972,627.072,522.438,931.563,843.167,438.675,1478.95,626.17,1411.96,463.99,267.741,432.969,911.213,34.7308,512.409,685.41,596.954,497.268,726.567,918.136,383.969,377.474,526.909,234.711,660.08,471.271,330.572,361.614,609.047,1268.98,1196.18,416.749,1316.44,281.649,312.537,193.977,568.382,398.381,362.828,191.622,263.019,1198.7,463.156,215.591,251.158,328.857,533.986,414.138,205.623,248.579,126.889,200.656,112.946,227.157,128.131,366.773,85.9529,104.112,371.521,230.495,759.55,146.549,193,493.716
278.507,276.66,604.541,275.955,415.719,501.218,486.95,750.71,678.571,363.365,1266.18,714.468,1423.81,576.401,182.609,697.254,424.154,67.1692,332.447,691.642,503.502,526.831,658.881,824.67,343.082,348.634,509.291,208.29,634.463,450.305,352.844,298.327,649.549,1383.24,1412.3,526.774,1853.33,360.563,396.702,213.169,748.356,517.029,360.448,198.896,227.169,1015.64,335.883,206.474,189.77,298.775,409.099,421.133,137.375,202.048,111.923,189.657,135.995,291.759,191.664,510.94,136.712,133.016,381.443,213.752,663.237,145.449,164.139,482.169
