"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
25.8465,12.9694,21.7414,14.7422,20.3482,23.0735,38.4252,51.4595,26.9102,12.1182,15.7632,22.5689,22.7321,21.3445,12.7134,6.12839,4.96706,9.07159,12.0647,23.4444,40.5037,55.5434,61.749,71.5272,88.9656,69.0186,55.4431,42.6566,37.1239,42.9868,41.2071,32.5975,25.5334,30.8467,47.0806,52.6827,49.2194,59.3353,44.3639,36.7274,31.4058,40.4699,39.3665,32.7177,29.5929,35.9382,42.3268,28.8929,19.9362,18.3271,20.2059,20.3943,16.4776,9.08905,4.64954,4.91858,4.6875,4.40433,4.51456,5.34995,6.32841,6.21183,8.00547,11.5916,16.185,20.3185,16.7119
23.0171,12.6031,22.2091,14.2974,20.9176,25.933,43.2917,54.4335,29.2111,12.1812,17.5477,28.2848,29.7663,27.0821,13.6455,4.33419,5.90409,10.797,11.3671,21.6518,36.4118,51.0991,58.3343,72.0621,91.4974,73.985,63.4651,50.1823,46.7325,53.5936,50.5421,38.0339,27.3141,30.092,43.0782,47.7285,44.6297,58.3957,46.1222,40.1515,35.1957,43.7177,42.4019,34.7563,30.9358,34.7316,37.5405,23.8299,15.2025,13.3995,15.2067,16.982,14.9836,7.75192,4.22371,5.08291,5.38177,5.35978,5.78895,7.06549,8.01196,7.56846,8.97423,11.6477,16.374,19.7359,15.5017
28.0596,11.5044,19.1588,15.1417,21.9891,27.4861,42.8213,56.3454,30.0084,13.6966,16.3449,21.7368,26.3486,21.8426,12.9035,5.98559,5.11641,10.5973,17.6009,37.6285,58.7924,74.0819,76.9927,85.9252,100.203,73.31,58.3596,45.7596,38.3171,42.15,39.2326,31.8603,25.3229,30.0927,48.2278,57.4306,58.1519,69.8301,50.9521,40.2338,33.8548,40.8798,37.8618,32.2029,29.8519,35.2251,40.2712,28.2421,19.8731,19.431,22.4529,23.3323,20.081,10.9316,5.88659,6.8805,6.34089,4.97431,4.45721,4.6974,5.22701,5.25101,7.01689,10.4358,14.9113,16.8975,11.6679
24.5148,11.7577,20.6765,13.257,20.156,25.2027,41.971,54.6919,31.3267,13.7081,18.0278,24.222,23.7469,19.4065,11.306,4.48402,4.49904,10.7962,13.3274,25.5019,47.2795,67.5107,81.7095,93.3679,112.073,85.4815,67.5891,47.6058,37.9395,40.8028,35.2027,27.0331,20.3188,24.5541,42.2244,51.7695,52.8385,66.3095,51.1867,45.4449,41.2262,50.202,44.5762,33.7208,27.0466,28.3612,29.6029,18.6555,12.1573,11.4139,14.1203,15.6685,14.0483,8.89189,5.39348,6.5887,6.93426,6.10165,5.69963,6.50166,7.48789,7.13986,8.73715,12.3515,18.1029,22.6579,17.7398
21.7433,9.91926,19.2734,9.46223,14.658,17.8986,35.5366,51.8741,23.4489,11.2582,13.6314,18.5747,18.2269,17.127,11.0651,4.6928,3.50952,10.0227,14.0426,26.9873,43.7694,60.4623,64.9284,74.1989,90.9517,72.325,57.4507,40.9248,32.7801,37.6265,36.1037,30.8277,25.7294,31.517,50.7394,58.8537,53.8687,63.0709,45.0799,35.8753,29.7767,36.767,33.187,27.4383,25.5906,31.1765,36.0304,25.6241,18.217,17.0949,19.2981,19.0591,14.635,8.29506,4.52802,5.4341,5.59684,5.48232,5.6594,6.38776,7.05504,6.47117,8.07873,11.0941,16.6489,21.5328,17.1761
21.2014,10.083,18.8309,10.0306,15.5391,20.6326,39.9725,55.1267,26.2728,11.3096,13.5561,20.1783,22.068,22.8333,16.938,6.94205,3.41075,8.318,10.7263,21.9257,38.2723,52.4162,58.6979,70.9638,88.1267,68.3915,54.2631,40.8712,32.7947,37.1319,36.4467,29.9324,22.4732,28.2056,47.9554,56.4543,52.0263,62.3591,46.8299,38.8535,34.3525,43.8505,39.6743,30.4117,26.2933,29.6291,33.0341,23.132,16.7077,16.1142,18.4296,20.0452,17.5459,10.3305,5.27353,5.31405,4.68397,4.10934,3.95463,5.11355,6.84016,6.99584,8.83997,12.7327,17.2988,21.942,18.7898
15.2278,6.44109,15.6456,10.961,16.514,19.0379,36.6243,55.5421,32.654,12.9266,17.2792,26.0326,26.8589,22.7303,10.9086,4.28152,4.35279,8.92899,11.272,21.2276,35.7573,50.7234,62.0083,73.9783,96.8623,76.0354,63.1638,49.5718,43.3496,47.5337,42.3188,31.1299,20.8138,23.3274,37.2162,42.9303,41.917,53.8327,42.6241,38.0666,34.3174,44.9724,44.557,36.289,31.7044,36.338,39.5433,24.7999,15.8879,13.7652,14.8706,15.5275,12.9458,7.81527,4.12696,4.36939,4.54689,4.78047,5.20619,6.39165,7.5307,7.08962,9.40855,14.9622,22.0235,26.7633,21.0034
40.6419,18.5823,23.6321,16.2411,23.1623,29.5114,40.7509,49.1167,23.7517,11.5875,18.5181,27.6985,25.2427,23.877,21.305,14.6494,11.9565,19.3954,22.7772,39.6749,63.561,80.982,85.1493,89.0405,102.273,77.3917,60.2851,43.657,39.2922,47.1484,48.3961,42.4143,37.7995,49.5547,74.9355,77.8801,69.9362,74.5374,50.8849,38.3209,29.7101,35.7109,32.8522,28.496,26.9364,32.9872,39.9253,30.6455,23.1173,22.3584,23.6546,22.054,16.6146,8.22381,3.07675,3.43325,3.55222,3.55123,3.96763,5.25435,6.87918,7.13617,9.10385,13.2191,18.3785,23.7206,20.568
45.2345,26.1471,32.9405,30.9429,36.3749,34.8136,44.7573,52.2635,29.344,16.2029,20.0424,27.1259,28.3661,31.152,22.4424,13.4475,9.4148,11.2797,14.6224,26.9576,45.3893,60.8512,65.9021,72.0139,87.2387,71.0688,55.7116,41.6122,36.061,42.2337,42.6892,36.3044,29.4771,36.6116,55.3108,59.0383,53.1943,61.2401,42.0471,32.2678,25.9123,33.0965,32.4287,27.545,27.1878,35.5896,44.3605,32.9369,23.5359,20.8202,22.06,20.9706,14.867,7.99057,4.00081,4.38298,4.23542,4.09933,4.35535,5.77215,7.73294,7.6977,9.1113,12.8208,19.826,27.6235,25.6777
40.3801,22.5755,25.1473,16.9844,20.034,18.7436,30.625,45.2363,24.3364,11.398,14.9392,22.1125,19.2862,19.0512,10.2779,2.75743,3.73396,10.1517,12.9841,25.0525,42.1686,58.9111,69.1916,83.1207,105.685,83.5879,67.569,49.7817,42.6043,48.4808,44.1629,34.4459,29.0127,36.6845,55.5835,63.0722,57.8167,63.6834,45.5665,36.9014,29.406,33.8611,31.4292,24.7766,22.5364,27.3311,32.0651,23.4056,17.5465,17.582,20.5385,20.7188,16.5086,7.95931,3.69795,4.33144,4.26984,4.21747,4.78257,6.45725,8.96996,10.1804,14.4399,21.589,26.331,23.2411,9.9695
