ro,h,m,rbar,rinit,rho,vartheta,bo,sbo,SSB,Age.3to10,rt3.p.,rt3.a.,rt3.g.,Age.4,Poor,Average,Good,q1,q2,f,harvestRate,availHarvestHCR,sel_gear1,sel_sd1,sel_gear2,sel_sd2,sel_gear3,sel_sd3,sel_gear4,sel_sd4,sel_gear5,sel_sd5
535.8691456,0.732047,0.579649887,359.0924944,255.6067166,0.338234,0.87365,0,46.4293,16.7119,11.918,3.83562,8.0494,17.0908,8.18068,12.0163,16.2301,25.2715,0.824022042,0.999039069,-740.161,0.2,2.3836,2.63149,0.227168,2.98627,0.318686,4.80066,0.465835,2.055,0.05,2.055,0.05
457.7210786,0.718566,0.425996563,296.7648279,135.5336569,0.398811,0.997181,0,36.8273,15.5017,10.1804,3.51493,7.87581,17.0064,7.22247,10.7374,15.0983,24.2288,0.785994094,0.996127179,-660.38,0.2,2.03608,2.54327,0.211455,2.98547,0.322449,4.72042,0.438008,2.055,0.05,2.055,0.05
628.9866297,0.706321,0.844255589,368.6692866,214.8027145,0.349799,0.655683,0,49.2028,11.6679,7.99933,3.91965,8.20977,18.1815,5.41193,9.33158,13.6217,23.5935,0.753881564,0.977707728,-638.118,0.2,1.59987,2.65125,0.253664,3.0189,0.322621,4.71593,0.42989,2.055,0.05,2.055,0.05
601.3938233,0.780439,0.504110898,423.1513853,69.42798303,0.367696,0.789143,0,53.5774,17.7398,12.4665,3.79188,7.63677,17.9149,8.50079,12.2927,16.1376,26.4157,0.803345818,0.981172592,-658.066,0.2,2.49329,2.57096,0.217284,3.01831,0.326719,4.80351,0.44566,2.055,0.05,2.055,0.05
436.0251826,0.692684,0.729085697,378.1080495,104.6477554,0.36719,0.690511,0,43.7921,17.1761,11.3552,3.45974,6.71246,15.1409,8.02499,11.4847,14.7375,23.1659,0.889727538,1.012216013,-639.402,0.2,2.27104,2.59416,0.220748,2.98866,0.31394,4.81363,0.49855,2.055,0.05,2.055,0.05
524.025318,0.736471,0.505459178,381.0040481,50.23088115,0.320467,0.752998,0,51.575,18.7898,14.2001,3.82924,7.92627,17.2272,9.91509,13.7443,17.8414,27.1423,0.884346787,1.00353682,-642.059,0.2,2.84003,2.65046,0.218639,2.92518,0.309026,4.82784,0.46369,2.055,0.05,2.055,0.05
499.2015889,0.798751,0.533274488,325.2356511,31.27440402,0.306517,1.01488,0,43.5963,21.0034,14.1002,3.8576,7.73431,16.8264,10.627,14.4846,18.3614,27.4534,0.891077388,0.986994512,-639.32,0.2,2.82004,2.69387,0.241404,2.99677,0.317186,4.77236,0.443725,2.055,0.05,2.055,0.05
811.6100574,0.73101,0.798024484,478.2674046,152.6091381,0.305895,0.926664,0,68.3327,20.568,15.4134,4.1794,9.91739,21.7224,10.4526,14.632,20.37,32.175,0.622842874,1.00641991,-644.233,0.2,3.08269,2.51982,0.17754,2.99351,0.322751,4.82969,0.46256,2.055,0.05,2.055,0.05
759.8188123,0.630692,0.546713708,373.0043195,387.1646288,0.248406,0.78983,0,62.9447,25.6777,19.8436,4.09376,9.60483,21.0081,13.3096,17.4033,22.9144,34.3176,0.653958098,0.981347747,-664.412,0.2,3.96872,2.46765,0.16994,2.96244,0.313376,4.916,0.480526,2.055,0.05,2.055,0.05
595.237211,0.58314,0.924409614,500.9668845,1919.59595,0.278036,0.701348,0,48.5942,9.9695,6.61472,3.32158,7.92013,17.2258,4.46391,7.78549,12.384,21.6897,0.79300401,1.000218002,-630.558,0.2,1.32294,2.41507,0.162577,3.04282,0.331197,4.81079,0.450556,2.055,0.05,2.055,0.05
