m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.454854,0.411044,0.370702,0.333189,0.299262,0.270416,0.24849,0.235679,0.23462,0.247758,0.27816,0.330021,0.407889,0.513407,0.63973,0.770698,0.883161,0.954015,0.969836,0.933066,0.859597,0.768246,0.674868,0.590438,0.521345,0.470834,0.440337,0.429617,0.437857,0.463967,0.505675,0.557419,0.608772,0.648515,0.668291,0.665487,0.644387,0.614966,0.589205,0.574801,0.575219,0.590941,0.619562,0.654625,0.685279,0.701815,0.698944,0.677303,0.643242,0.60704,0.579665,0.567478,0.572857,0.595397,0.631516,0.6726,0.704397,0.714106,0.695323,0.650253,0.58863,0.52391,0.468175,0.426822,0.400388,0.386884,0.382628
0.469707,0.451596,0.429782,0.399218,0.360267,0.317384,0.276879,0.244929,0.226319,0.223224,0.237416,0.271923,0.331104,0.418301,0.530683,0.657304,0.778727,0.871228,0.915769,0.906701,0.853446,0.772763,0.68213,0.595801,0.523455,0.470977,0.441762,0.436633,0.455676,0.498753,0.563744,0.642285,0.716047,0.764223,0.772455,0.739643,0.678583,0.610046,0.553741,0.519369,0.509789,0.52487,0.562265,0.615204,0.670057,0.711942,0.729499,0.718859,0.685295,0.641332,0.601534,0.574747,0.564587,0.571406,0.592885,0.623141,0.652189,0.670206,0.670102,0.649219,0.610029,0.559219,0.504983,0.452975,0.405996,0.364817,0.328921
0.684031,0.647012,0.604782,0.549589,0.48299,0.412869,0.349125,0.300309,0.272075,0.266194,0.284363,0.330686,0.411578,0.531535,0.68382,0.847168,0.9879,1.07172,1.08094,1.02426,0.929545,0.82351,0.724142,0.641045,0.578032,0.535841,0.514,0.511447,0.5269,0.558513,0.602719,0.65235,0.695927,0.722738,0.726687,0.708397,0.67512,0.63866,0.611606,0.601332,0.61072,0.639468,0.683481,0.732426,0.768993,0.77818,0.753831,0.70097,0.633452,0.568633,0.521473,0.498617,0.501729,0.530332,0.581291,0.64502,0.702288,0.733235,0.726205,0.683193,0.618803,0.553632,0.506005,0.484378,0.491541,0.528384,0.593529
0.567349,0.54533,0.516864,0.473682,0.416854,0.354299,0.296244,0.251385,0.225129,0.21892,0.234208,0.275056,0.348433,0.460697,0.608554,0.774057,0.924237,1.02146,1.04214,0.990098,0.891864,0.776294,0.664677,0.569261,0.495338,0.444285,0.415903,0.409091,0.422872,0.456415,0.507698,0.57071,0.63312,0.680932,0.703457,0.697495,0.668879,0.630486,0.597095,0.577763,0.576352,0.593404,0.626364,0.668041,0.705778,0.727657,0.726618,0.702677,0.662895,0.619106,0.58382,0.564313,0.563558,0.581976,0.617601,0.664593,0.711838,0.746568,0.757285,0.7368,0.684689,0.607577,0.516579,0.422955,0.33558,0.25995,0.198314
0.686556,0.624642,0.568068,0.516465,0.47017,0.42992,0.396668,0.371542,0.35574,0.350014,0.354944,0.371241,0.399833,0.441719,0.497522,0.566778,0.646685,0.730478,0.805979,0.855501,0.860443,0.814033,0.726139,0.618185,0.513365,0.429196,0.374946,0.351461,0.357655,0.393904,0.461194,0.555587,0.659918,0.747741,0.79335,0.784941,0.731725,0.6588,0.5932,0.54916,0.531163,0.539195,0.570407,0.617238,0.665204,0.699334,0.709164,0.692397,0.655895,0.613224,0.579342,0.563,0.56787,0.59463,0.640878,0.698695,0.752605,0.785795,0.785728,0.74864,0.681069,0.596987,0.511467,0.433658,0.367069,0.311754,0.266029
0.406829,0.384535,0.362087,0.338144,0.313247,0.289254,0.26879,0.254949,0.251026,0.259551,0.283009,0.324423,0.386937,0.471731,0.574514,0.685145,0.788241,0.866249,0.90498,0.898973,0.853242,0.779795,0.693281,0.607252,0.532038,0.474554,0.438903,0.426032,0.435794,0.467936,0.521168,0.590203,0.662684,0.723374,0.758998,0.76315,0.739164,0.699046,0.658154,0.62661,0.609004,0.606208,0.616229,0.633933,0.651173,0.660953,0.659215,0.64553,0.623138,0.598224,0.578109,0.567542,0.568665,0.58165,0.604699,0.633385,0.660378,0.678119,0.680405,0.663592,0.627477,0.575327,0.512781,0.445845,0.379769,0.318493,0.264482
0.538519,0.416977,0.325978,0.261699,0.218724,0.192301,0.179118,0.177424,0.186974,0.208915,0.245708,0.300804,0.377595,0.476898,0.593218,0.713937,0.820745,0.8943,0.921059,0.898671,0.836325,0.749387,0.654074,0.563775,0.487585,0.430828,0.396181,0.383727,0.39293,0.423468,0.474253,0.540473,0.610468,0.669596,0.704987,0.710468,0.689452,0.653849,0.618819,0.594242,0.584573,0.59063,0.610207,0.637338,0.662114,0.675649,0.672728,0.653041,0.621192,0.585391,0.554759,0.534901,0.528201,0.53494,0.553586,0.580242,0.608304,0.631012,0.642764,0.640071,0.622309,0.591832,0.552997,0.509944,0.465901,0.423147,0.38311
0.613744,0.453381,0.34054,0.267378,0.223722,0.201667,0.196325,0.205186,0.227277,0.263115,0.314082,0.381551,0.465759,0.56433,0.670907,0.775294,0.864845,0.927135,0.953277,0.940545,0.893113,0.820607,0.735277,0.649065,0.571651,0.509934,0.468131,0.447101,0.446146,0.464047,0.49862,0.544936,0.593782,0.635185,0.661245,0.668528,0.659462,0.641949,0.626571,0.620631,0.627653,0.648114,0.679282,0.714052,0.740991,0.750541,0.738505,0.70722,0.66473,0.622529,0.592133,0.57975,0.587294,0.61364,0.653857,0.696704,0.724179,0.721439,0.683682,0.617981,0.539697,0.466001,0.409791,0.375155,0.361384,0.366086,0.385389
0.347572,0.307535,0.271581,0.239221,0.211097,0.188356,0.172374,0.164921,0.16853,0.186269,0.222913,0.285841,0.384217,0.523543,0.694135,0.86671,0.998678,1.05352,1.02195,0.92693,0.807045,0.691204,0.594017,0.520122,0.468981,0.438107,0.42476,0.42683,0.442694,0.470604,0.507758,0.54907,0.586781,0.613646,0.625296,0.621625,0.607032,0.589546,0.578562,0.580177,0.597113,0.629215,0.67267,0.718018,0.749982,0.755959,0.731566,0.68221,0.620755,0.563007,0.52281,0.506651,0.516562,0.552481,0.611284,0.682443,0.744338,0.773661,0.755816,0.692127,0.599088,0.499776,0.412905,0.345237,0.29589,0.260968,0.235687
0.469991,0.450456,0.429336,0.404019,0.374895,0.344618,0.317151,0.297063,0.288908,0.295819,0.32061,0.366649,0.437308,0.533134,0.647188,0.765102,0.867061,0.933176,0.951043,0.921076,0.855421,0.770143,0.6801,0.596587,0.526924,0.475395,0.444309,0.433853,0.443397,0.471907,0.516913,0.572029,0.625109,0.663247,0.677433,0.665978,0.635378,0.598138,0.568082,0.553406,0.557445,0.580375,0.619024,0.664755,0.702489,0.718565,0.706322,0.66858,0.616398,0.565078,0.528993,0.515399,0.526844,0.563366,0.621485,0.689917,0.746538,0.769576,0.748301,0.68839,0.608778,0.532732,0.478836,0.454379,0.461176,0.49996,0.569858
