ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1513.44,0.775463,0.454854,1068.49,276.788,0.272596,1.64346, 184.859, 130.239,1.016,0.999002,108.263,2.66622,0.29989,2.91102,0.336883,4.67541,0.403085,2.055,0.05,2.055,0.05,-1429.38
1701.09,0.736104,0.469707,1088.08,190.218,0.313698,1.51651, 209.044, 147.635,0.932747,1.00405,106.082,2.67827,0.297722,2.93308,0.353438,4.74064,0.419592,2.055,0.05,2.055,0.05,-1325
1889.76,0.879497,0.684031,1265.83,422.156,0.239723,1.40391, 151.825, 132.186,0.917106,0.987937,84.859,2.61612,0.278647,2.95754,0.34798,4.75787,0.413152,2.055,0.05,2.055,0.05,-1281.68
1831.92,0.78706,0.567349,1111.17,324.441,0.244104,1.69707, 300.805, 149.666,0.976667,0.983333,97.1138,2.59373,0.286565,2.94367,0.34219,4.64902,0.396996,2.055,0.05,2.055,0.05,-1303.18
2101.32,0.541504,0.686556,1111.67,400.935,0.24573,1.55795, 298.709, 171.029,0.983963,0.984082,121.943,2.67641,0.313855,2.92491,0.337777,4.6485,0.394083,2.055,0.05,2.055,0.05,-1300.83
2229.83,0.684749,0.406829,1143.25,137.959,0.257367,1.34619, 308.252, 193.191,0.846871,0.98335,120.797,2.65041,0.307596,2.90674,0.33526,4.63617,0.393541,2.055,0.05,2.055,0.05,-1288.68
1411.58,0.645556,0.538519,1009.97,150.619,0.338453,1.64314, 138.63, 130.625,1.00454,1.00141,107.924,2.68151,0.303474,2.86539,0.325441,4.60269,0.394254,2.055,0.05,2.055,0.05,-1318.69
1606.82,0.739119,0.613744,1110.32,341.1,0.289989,1.47723, 226.824, 132.989,0.910509,1.00632,91.8708,2.64846,0.294572,2.89218,0.327056,4.62475,0.393105,2.055,0.05,2.055,0.05,-1302.01
1671.56,0.693522,0.347572,1007.74,79.8646,0.319249,1.67524, 328.645, 155.336,1.05282,1.01467,136.956,2.66219,0.309086,2.86721,0.320041,4.73144,0.414779,2.055,0.05,2.055,0.05,-1317.02
1462.89,0.832052,0.469991,1100.85,176.391,0.3522,1.39825, 130.22, 119.079,1.06094,0.985216,109.996,2.65842,0.297466,2.907,0.323833,4.65793,0.396618,2.055,0.05,2.055,0.05,-1308.39
1568.89,0.763172,0.480703,1105.53,138.628,0.356364,1.67606, 136.271, 129.123,0.981266,0.992366,97.8714,2.72013,0.306953,2.88019,0.322168,4.66869,0.396737,2.055,0.05,2.055,0.05,-1296.13
1604.34,0.799928,0.356357,1062.17,65.9711,0.287545,1.34788, 256.126, 142.063,0.985084,1.00506,150.377,2.75507,0.332932,2.89195,0.327773,4.75652,0.420032,2.055,0.05,2.055,0.05,-1307.58
1491.75,0.810473,0.709448,1154.52,459.95,0.329799,1.76858, 185.452, 116.294,0.925784,1.00648,79.0096,2.69835,0.304427,2.92204,0.335938,4.64174,0.401349,2.055,0.05,2.055,0.05,-1320.89
1635.13,0.817064,0.514708,1193.44,164.565,0.360447,1.54545, 283.806, 125.572,0.837331,1.00478,133.771,2.71418,0.325695,2.92592,0.337977,4.63509,0.404576,2.055,0.05,2.055,0.05,-1286.81
