rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.0281702,0.103219,0.480869,0.285268,-0.350582,-0.7081,-0.569835,0.0662692,0.022499,-0.536257,0.263039,0.22395,0.543097,-0.126964,-0.436752,-0.203274,-0.283321,-0.958716,-0.0156838,0.0419593,-0.245994,-0.352449,-0.267217,-0.0201912,-0.513358,-0.0192705,-0.255194,-0.91007,-0.355874,-0.578226,-0.533789,-0.732301,-0.899731,-0.311483,0.288618,-0.347886,0.526268,-0.623505,0.328621,-0.220707,0.656685,0.365777,0.666554,-0.133741,0.527564,0.851768,0.839431,-0.0221644,0.324912,0.461979,0.62803,0.661897,0.186142,0.241151,0.157186,0.712846,-0.64201,0.607481,-1.08164,0.708878,0.182213,-0.396574,0.224848,0.247375,0.237674,0.383691,0.576929
-0.0388877,0.220459,0.570973,0.322568,-0.0914453,-0.43473,-0.649254,0.0167933,0.0354282,-0.632663,0.0513248,0.161916,0.322071,-0.303131,-0.4951,0.00439055,-0.615771,-1.36548,-0.120612,0.0113485,-0.254257,-0.331772,-0.0906676,0.111078,-0.428418,0.0405903,-0.0749819,-0.77646,-0.0595165,-0.27372,-0.282516,-0.331946,-0.628773,0.0228494,0.383361,-0.422012,0.437493,-0.843844,0.133707,-0.391698,0.481515,0.281362,0.683977,-0.061832,0.67513,0.960333,0.934915,0.109371,0.348549,0.497404,0.476896,0.521548,0.0116008,-0.0623915,-0.0848718,0.6955,-0.769673,0.592239,-1.11959,0.75592,0.208649,-0.407195,0.298872,0.26189,0.154169,0.225678,0.487515
0.594046,0.599679,0.731666,0.494767,-0.256969,-0.842747,-0.524737,-0.0734456,0.0271172,-0.981321,0.089923,-0.108441,0.476906,-0.24042,-0.676559,-0.54863,0.100916,-0.446242,0.0896187,0.210445,-0.0253805,-0.174852,-0.0459741,0.235191,-0.297617,0.20167,-0.0274303,-0.698888,-0.248377,-0.356918,-0.546717,-0.722352,-0.837566,-0.160227,0.327976,-0.364569,0.492675,-0.506159,0.401884,-0.134386,0.750842,0.449538,0.741485,-0.222965,0.370973,0.742106,0.572411,-0.281155,-0.177802,-0.0118158,0.152967,0.434888,-0.128465,0.0469775,-0.0957234,0.604888,-0.839722,0.556043,-1.07922,0.69426,0.118781,-0.397103,0.287477,0.236217,0.36905,0.381514,0.26451
0.467397,0.554763,0.688567,0.630108,-0.390368,-0.803482,-0.64262,-0.0847585,0.143701,-1.00583,0.197347,-0.0991541,0.149162,-0.0147383,-0.721465,-0.39764,0.162696,-0.848576,0.0979256,0.0203311,-0.239815,-0.336956,-0.477357,-0.185772,-0.578234,-0.100701,-0.257017,-0.960622,-0.25022,-0.492671,-0.491339,-0.648689,-0.627673,-0.339354,0.436347,-0.244735,0.494344,-0.410848,0.345804,-0.204764,0.595488,0.421552,0.841165,-0.0587604,0.580875,0.959273,0.860176,-0.053674,0.356297,0.462451,0.614746,0.619225,0.202614,0.305014,0.345891,0.797838,-0.529763,0.763207,-1.02218,0.807492,0.234343,-0.443888,0.0202576,-0.109355,-0.121505,-0.0844529,0.236439
0.420658,0.593112,1.09834,0.608008,-0.0726575,-0.698042,-0.270599,0.218214,0.0873186,-0.59045,0.394176,0.155301,0.500065,-0.452018,-0.583296,-0.404659,-1.4131,-1.05436,-0.0658764,-0.0105188,-0.197985,-0.365832,-0.352483,-0.17829,-0.631529,-0.267115,-0.4447,-1.06035,-0.419877,-0.667304,-0.460599,-0.592306,-0.587402,-0.0550501,0.522999,-0.168932,0.548501,-0.677314,0.0913506,-0.482989,0.480971,0.241403,0.661534,-0.132907,0.556967,0.838325,0.824001,-0.0976498,0.173802,0.379166,0.640055,0.532758,0.179358,0.346895,0.244912,0.861598,-0.517216,0.880131,-0.870114,0.882484,0.293971,-0.218875,0.317665,0.166843,0.145218,0.203747,0.217837
0.0737325,0.0945629,0.426419,0.325571,-0.373067,-0.697548,-0.381708,-0.0225876,0.161872,-0.497027,0.190578,-0.00812376,0.492711,-0.378881,-0.238398,-0.0730596,-0.920577,-0.544398,0.00979509,0.00937818,-0.0974041,-0.434092,-0.288722,-0.000296395,-0.449098,0.0472346,-0.271519,-0.878969,-0.245706,-0.525338,-0.377379,-0.561338,-0.551107,0.00372307,0.712301,0.0317181,0.749494,-0.370662,0.431432,-0.319641,0.609208,0.197152,0.312409,-0.266716,0.336737,0.809696,0.638346,-0.158578,0.300753,0.424175,0.587786,0.482902,0.0394626,0.162048,-0.0585156,0.682768,-0.727178,0.591577,-1.03287,0.805994,0.240992,-0.328485,0.0838248,0.19264,-0.0199887,0.297459,0.384085
0.0232445,0.0845053,0.354137,0.155468,-0.556148,-0.817772,-0.672358,0.0955123,-0.0419386,-0.598701,0.288255,0.20354,0.400903,-0.0985868,-0.331825,0.250568,-0.820171,-1.43628,-0.163652,-0.0713715,-0.339193,-0.404741,-0.443544,-0.148941,-0.657061,-0.125191,-0.256484,-0.876292,-0.304114,-0.580136,-0.523143,-0.506814,-0.727936,-0.0484199,0.523213,-0.109154,0.763472,-0.425966,0.406239,-0.170046,0.703306,0.320755,0.640717,-0.144104,0.355997,0.759932,0.716974,-0.094015,0.173935,0.295978,0.507946,0.359464,0.108425,0.0935554,-0.0224838,0.690428,-0.600182,0.776145,-0.864232,1.00294,0.50692,-0.0747266,0.439293,0.490602,0.342559,0.539997,0.497736
0.102997,0.126908,0.304438,0.0919,-0.36328,-0.809706,-0.715104,-0.220767,0.193545,-0.462626,0.0599409,0.322128,0.577752,0.0799396,-0.251242,0.382143,-0.762373,-1.35074,0.194762,0.260331,-0.0955588,-0.184345,-0.0563458,0.0476336,-0.479471,0.0225306,-0.3626,-0.893582,-0.383113,-0.659446,-0.584836,-0.767979,-0.978033,-0.191806,0.499878,-0.1104,0.645579,-0.48587,0.507894,0.0318114,0.986116,0.609213,0.839228,0.100449,0.563694,0.943872,1.01369,-0.0529155,0.288083,0.528338,0.766253,0.525064,0.198575,0.291465,-0.0170394,0.576711,-0.903041,0.51238,-1.2426,0.442746,-0.0406378,-0.823654,-0.0642212,-0.0116057,-0.0682919,0.330376,0.432884
-0.330342,-0.219841,0.409759,0.298313,-0.432766,-0.922718,-0.704197,-0.073457,-0.0246616,-0.504379,0.181387,0.244944,0.542341,0.108692,-0.479652,0.381504,-0.548135,-0.227099,-0.0621671,-0.124066,-0.440894,-0.5598,-0.449116,-0.12737,-0.58516,-0.04054,-0.177564,-0.963334,-0.250189,-0.597187,-0.495624,-0.781557,-0.921014,-0.312028,0.306177,-0.310028,0.666559,-0.451767,0.506048,-0.16371,0.832746,0.651784,0.847801,-0.00797845,0.627962,0.839765,0.817315,-0.118,0.181459,0.362735,0.596278,0.625182,0.26722,0.214415,0.221895,0.897303,-0.37508,0.893328,-0.994435,0.569796,-0.0242656,-0.560987,-0.00389217,-0.0111957,0.118526,0.454668,0.71637
-0.135486,-0.208052,0.668894,0.489641,-0.146519,-0.506865,-0.293022,0.205582,-0.0693364,-0.433561,0.374804,0.193997,0.490163,0.142147,-0.896832,-0.604181,-0.394713,-0.950371,-0.169137,0.0965988,-0.229571,-0.367904,-0.306455,-0.0746328,-0.506923,0.0786018,-0.298101,-0.92577,-0.411761,-0.417833,-0.502182,-0.605236,-0.827753,-0.30661,0.0862569,-0.465291,0.50504,-0.895347,0.179115,-0.357872,0.63419,0.338694,0.611894,-0.288247,0.396019,0.72839,0.728118,-0.265128,0.154707,0.27518,0.505215,0.543581,0.191814,0.266091,0.199611,0.714633,-0.592127,0.808612,-0.893608,0.875721,0.332697,-0.218649,0.350312,0.490289,0.514269,0.734585,0.758132
