rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
1728.27,1421.22,752.517,526.318,604.36,1141.7,1092.81,624.998,1389.98,1336.7,1839.23,941.092,690.388,871.95,804.873,409.644,1051.87,1114.28,835.484,751.113,817.94,1047.14,639.475,1048.1,827.833,430.064,748.545,599.31,626.543,513.733,434.534,782.522,1425.99,754.548,1808.54,572.779,1484.19,856.881,2060.47,1540.38,2080.91,934.736,1810.88,2504.32,2473.62,1045.07,1478.7,1695.93,2002.27,2071.24,1287.1,1359.89,1250.37,2179.5,562.277,1961.54,362.262,2170.87,1282.05,718.691,1337.9,1368.38,1355.17,1568.22,1902.52
1925.88,1502.27,992.992,704.464,568.45,1106.5,1127.32,577.96,1145.38,1279.32,1501.53,803.547,663.194,1092.87,587.806,277.742,964.447,1100.5,843.796,780.86,993.764,1215.91,708.925,1133.15,1009.47,500.55,1025.21,827.531,820.285,780.724,580.213,1113.23,1596.44,713.481,1685.24,467.932,1243.74,735.44,1761.08,1441.63,2156.29,1022.84,2137.3,2842.67,2771.33,1213.83,1541.82,1789.28,1752.96,1833.01,1100.77,1022.26,999.54,2181.28,503.959,1967.28,355.162,2317.14,1340.52,724.131,1467.1,1413.83,1269.45,1363.55,1771.68
2631.09,2076.12,978.987,544.975,749.009,1176.2,1300.63,474.455,1384.94,1135.75,2039.36,995.323,643.504,731.325,1400.25,810.171,1384.52,1562.33,1234.11,1062.77,1208.96,1601.47,939.991,1548.68,1231.58,629.295,987.434,885.869,732.725,614.7,547.806,1078.43,1757.18,879.117,2071.78,763.053,1891.96,1106.66,2682.03,1984.31,2657.05,1012.85,1834.38,2658.7,2243.74,955.593,1059.64,1250.97,1475.06,1955.45,1113.23,1326.72,1150.28,2317.8,546.626,2207.31,430.205,2534.49,1425.49,850.976,1687.43,1603.12,1830.85,1853.82,1649.12
2212.18,2086.56,752.045,497.543,584.377,1020.87,1282.88,406.397,1353.59,1006.28,1289.91,1094.91,540.071,746.597,1307.49,475.606,1225.48,1133.99,874.235,793.306,689.391,922.782,623.24,1004.72,859.325,425.193,865.186,678.914,679.819,580.84,593.176,791.406,1719.02,869.945,1821.67,736.801,1570.22,905.422,2015.56,1693.78,2576.87,1047.75,1986.32,2899.92,2626.32,1053.1,1586.78,1764.49,2054.75,2063.98,1360.73,1507.46,1570.35,2467.61,654.193,2383.61,399.809,2491.54,1404.6,712.854,1133.9,996.063,984.034,1021.18,1407.55
3334.09,2041.87,1033.76,553.119,848.114,1382.75,1213.1,615.95,1648.78,1298.44,1832.95,707.4,620.372,741.708,270.566,387.32,1040.79,1100.03,911.991,771.073,781.435,930.131,591.16,851.074,712.597,385.008,730.506,570.385,701.357,614.807,617.83,1052.12,1875.47,938.876,1923.91,564.704,1218,685.827,1798.28,1415.19,2154.14,973.315,1940.27,2570.72,2534.16,1008.24,1322.68,1624.22,2108.37,1893.86,1330.05,1572.64,1420.16,2631.25,662.75,2680.47,465.681,2686.78,1491.57,893.137,1527.34,1313.51,1285.41,1362.89,1382.23
1751.19,1583.2,787.265,569.116,780.492,1117.72,1344.13,695.482,1383.28,1134,1871.21,782.701,900.755,1062.7,455.345,663.304,1154.51,1154.02,1037.15,740.659,856.548,1142.91,729.628,1198.55,871.41,474.69,894.197,676.068,783.877,652.163,658.869,1147.52,2330.72,1180.09,2419.04,789.161,1759.99,830.469,2102.41,1392.4,1562.5,875.605,1600.98,2569.14,2164.57,975.601,1544.39,1747.26,2057.85,1852.95,1189.27,1344.37,1078.27,2262.9,552.501,2065.67,406.981,2559.65,1454.8,823.157,1243.22,1386.13,1120.63,1539.31,1678.6
1439.16,1179.85,579.132,445.816,515.594,1111.19,968.491,555.005,1347.4,1237.96,1508.06,915.153,724.769,1297.57,444.748,240.182,857.504,940.401,719.448,673.802,648.157,870.212,523.542,891.127,781.484,420.475,745.134,565.405,598.565,608.419,487.72,962.234,1704.27,905.533,2167.11,659.652,1516.13,852.039,2040.57,1391.91,1916.77,874.432,1441.84,2159.45,2068.65,919.346,1201.85,1357.85,1678.45,1446.85,1125.64,1109.02,987.518,2014.46,554.184,2194.75,425.577,2753.48,1676.73,937.251,1567.08,1649.59,1422.59,1733.11,1661.4
1505.44,1217.19,772.106,494.079,543.103,890.368,1347.42,699.088,1178.91,1532.31,1978.62,1202.72,863.644,1627.08,518.028,287.627,1349.06,1440.48,1009.13,923.395,1049.49,1164.49,687.41,1135.62,772.631,454.328,756.944,574.187,618.667,515.132,417.535,916.531,1830.38,994.263,2117.48,683.026,1845.11,1146.21,2976.54,2041.86,2569.92,1227.64,1951,2853.42,3059.76,1053.09,1481.02,1883.22,2389.06,1877.07,1354.21,1486.04,1091.56,1976.56,450.051,1853.41,320.474,1728.74,1066.1,487.236,1041.25,1097.51,1037.02,1545,1711.77
1518.11,1358.01,653.731,400.512,498.331,936.364,983.188,608.552,1208.15,1287.43,1733.34,1123.44,623.787,1475.82,582.499,803.006,946.996,890.155,648.439,575.743,643.13,887.219,561.326,967.7,843.785,384.571,784.678,554.615,613.903,461.234,401.195,737.624,1368.73,739.1,1962.59,641.426,1671.56,855.556,2317.41,1933.81,2352.57,999.728,1888.28,2333.74,2281.93,895.571,1208.24,1448.37,1829.39,1883.04,1316.43,1248.72,1258.1,2471.95,692.551,2462.15,372.794,1781.58,983.577,575.06,1003.82,996.517,1134.55,1587.84,2062.82
2148.95,1796.29,950.816,663.132,821.241,1352.11,1027.11,713.568,1601.41,1336.54,1797.23,1269,448.993,601.639,741.834,425.586,929.551,1212.5,875.039,761.991,810.283,1021.68,663.093,1190.87,817.08,436.186,729.294,724.88,666.244,601.005,481.105,810.157,1200.02,691.282,1824.17,449.66,1316.79,769.674,2075.65,1544.62,2029.88,825.171,1635.75,2280.68,2280.06,844.471,1285.04,1449.57,1824.49,1895.84,1333.62,1436.45,1344.06,2249.52,608.935,2471.18,450.442,2642.71,1535.38,884.648,1562.67,1797.46,1841.08,2294.85,2349.53
