sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
46.5169,44.4505,67.0181,84.264,80.0925,45.8785,23.2141,35.7847,50.4545,48.8732,44.9747,49.302,44,40.938,25.2739,13.5367,7.17781,12.1635,15.7046,24.8792,30.6214,28.9952,33.9543,42.8216,51.4391,60.6335,70.1061,61.3188,56.5643,57.3245,55.7945,48.3389,32.6957,28.1251,37.198,53.3346,54.1921,67.6745,63.7556,71.6156,79.1756,97.6281,101.499,88.0525,79.7879,82.9475,87.8348,82.0332,73.261,70.4573,88.9468,93.2968,92.7141,78.315,68.5347,57.4208,61.5342,40.9337,43.7715,37.7618,58.274,63.0171,61.5646,73.7766,76.7454,91.9918,108.263,141.873
53.7548,45.2539,66.6902,85.7498,77.3514,49.0926,26.7384,36.1572,52.4208,48.2677,42.4778,49.8172,42.8058,37.6623,24.8068,18.1894,12.4931,14.3603,15.9114,25.0389,31.1037,29.9506,36.4138,48.2077,59.4127,69.8804,80.2208,74.3088,69.9352,71.8282,69.3302,58.135,38.9415,32.2319,39.7539,51.0812,48.8339,60.4088,57.0479,65.9173,75.862,97.9575,108.429,98.6793,92.8767,97.5434,99.9131,88.6225,76.3846,70.3533,85.2812,84.2156,82.0144,68.4449,57.995,51.4354,62.467,43.2419,47.7291,40.7057,60.658,62.9159,59.8725,71.768,75.1634,88.4597,106.082,146.784
63.788,69.708,85.5765,93.1775,80.9259,43.7845,18.0319,32.2743,49.9703,49.7131,41.0098,42.9166,38.2445,40.5764,25.9219,10.1371,7.25198,16.0438,20.3121,28.907,36.1154,36.5981,44.4739,57.1277,69.2329,80.6728,92.4003,81.4716,73.5945,68.4593,61.923,49.6898,32.7489,29.6624,41.3736,58.5314,59.1268,74.4481,73.6517,84.3982,94.6114,116.521,118.013,97.1764,78.9544,76.4829,77.2195,69.3317,61.0116,55.6863,70.782,78.5796,89.5663,80.5179,72.9289,61.7937,66.1065,43.0365,46.4943,40.7103,63.352,67.3525,67.6049,81.9217,81.2504,90.6172,84.859,89.9142
58.2061,60.1734,81.5748,90.3422,88.0389,47.2421,23.2664,33.0345,45.1978,47.0934,43.4564,52.9571,40.5987,31.8333,25.311,11.9349,7.67441,15.1936,17.3041,25.2468,29.4264,28.3629,33.4685,40.558,48.9973,59.7878,71.4274,63.248,61.1088,64.1935,63.7159,54.7548,37.1378,32.2552,40.2623,57.9602,57.3167,69.5883,67.2908,75.8422,81.7751,99.2522,109.321,99.3017,88.3619,90.419,95.231,84.787,74.4929,71.581,91.3462,96.5912,96.9323,84.3248,78.6441,70.3268,73.8253,48.1163,49.2074,39.6535,56.1233,55.9863,49.8809,56.0017,57.1128,73.3451,97.1138,153.672
54.7778,47.6957,72.6291,101.709,83.1012,44.1752,25.2101,38.8358,52.0027,47.5972,41.9947,48.4602,40.9515,37.2436,22.6579,14.0908,7.96347,10.4744,18.0716,30.1812,34.8935,30.711,32.86,38.7409,45.6297,54.4509,63.3837,58.6468,58.57,63.8088,64.4819,57.1286,39.1161,33.143,40.9986,54.2018,51.8748,62.5297,57.5052,62.6585,70.2748,91.447,101.457,94.7622,88.7001,91.8339,92.2683,83.2856,71.2109,65.6128,83.7522,92.3208,91.688,79.95,73.6571,64.1561,67.8924,44.7517,48.4569,40.2248,59.049,61.4216,60.4234,75.4356,79.9041,99.8379,121.943,162.657
53.5948,54.9195,78.4109,95.5103,91.0536,50.5046,24.9498,40.9618,53.9055,59.0225,57.6599,57.6628,47.7744,42.7351,29.3332,23.8082,13.1946,15.3238,22.1691,31.4121,36.4422,34.5125,37.1318,45.5795,54.3337,64.9242,77.7424,69.8223,65.998,67.6531,65.0639,57.3626,40.223,36.6816,49.9547,69.4615,67.566,78.0228,70.713,74.6331,77.6946,93.1751,91.2692,73.8678,69.231,78.5923,89.4235,81.9547,73.921,72.3749,92.0654,93.9344,89.4418,75.7662,67.2143,58.8982,67.2397,46.2478,50.5641,43.6135,65.5244,68.0245,62.7055,69.2545,72.8438,91.411,120.797,171.986
48.5682,37.5463,60.3072,78.7132,75.3457,42.5607,21.9713,37.7246,53.5287,48.9022,45.0643,53.7144,43.2872,36.1283,22.7711,19.411,13.4782,12.6956,13.7865,21.9464,27.3903,26.2431,30.4214,37.4631,45.3475,54.074,65.0436,59.5273,58.1424,61.3716,60.8519,53.2934,37.8684,33.7789,43.5664,59.5212,59.9016,73.7013,67.3738,72.5398,77.6815,93.3347,95.1007,82.7953,74.4571,75.0901,79.2168,72.7781,64.7285,60.1961,74.5065,77.1497,73.7767,67.7883,62.5257,55.9602,67.7168,50.1642,57.7607,51.0365,74.6785,76.9731,70.4074,77.2739,76.789,91.2387,107.924,135.837
41.5449,38.0443,62.6645,78.2052,75.96,43.817,26.1765,37.1608,50.4566,64.6947,56.1847,51.5059,45.5407,45.193,32.6313,25.0301,19.695,16.4565,18.0815,30.6849,37.2874,34.4309,39.0333,46.8975,53.3417,60.7339,69.7135,58.0589,53.9626,55.4709,54.2587,48.2597,33.5804,30.3094,44.5134,66.7448,67.7048,80.7054,74.3112,82.4903,94.1656,120.43,120.519,101.317,87.8647,87.0322,91.6644,87.5126,75.8019,71.5745,94.7301,100.88,93.9609,78.3313,67.3042,52.1151,52.6109,33.5921,38.1723,33.028,50.8999,57.116,53.4176,62.1673,63.5083,75.2459,91.8708,124.553
36.8332,34.0351,55.8606,76.709,79.4679,41.8276,20.2275,31.9161,45.4291,47.0859,47.2501,50.8036,44.7281,41.6546,27.3281,16.4741,8.09071,10.9709,16.8048,22.9508,27.3412,26.1467,31.0071,40.3271,49.8513,59.9085,69.2033,61.1567,56.1004,56.4896,53.8216,46.3473,31.0938,27.3372,37.783,56.0434,60.1216,78.2669,74.8343,82.8707,86.3921,105.588,109.536,89.7602,76.421,74.6525,74.5879,69.7038,62.8164,62.389,82.8196,91.8855,96.3412,85.622,73.0294,61.4507,65.7182,43.1927,46.6182,36.1953,48.2243,50.0757,49.1647,60.2378,66.7144,92.9223,136.956,205.074
56.7648,44.6283,58.206,79.6377,82.2351,45.6876,22.2572,39.439,53.7559,44.2309,45.3484,48.1356,39.7072,36.3458,24.8823,9.19181,3.16429,8.68882,13.8529,23.717,31.547,30.2625,34.1785,42.3742,50.2805,61.7046,73.8559,63.55,58.1836,58.4641,59.2109,51.9662,35.887,30.5189,36.7082,48.6383,50.0481,65.7439,60.8638,67.4624,75.681,98.2619,102.71,85.8518,73.0137,73.1443,76.5238,71.9121,64.0992,63.8072,83.585,92.6132,97.0053,85.7243,75.2872,62.1425,61.7738,40.4201,45.5647,40.5984,65.9112,73.2346,73.4685,87.6493,93.0474,106.552,109.996,120.392
