m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.583934,0.557846,0.529895,0.496792,0.459041,0.419955,0.384422,0.357972,0.345932,0.35151,0.376978,0.424305,0.493739,0.579662,0.665898,0.730619,0.754553,0.729862,0.66428,0.577032,0.488901,0.412514,0.352821,0.310416,0.284222,0.273165,0.276984,0.296266,0.332328,0.386458,0.457941,0.54043,0.618853,0.674751,0.694076,0.673887,0.62388,0.561794,0.505347,0.464111,0.441368,0.437421,0.451166,0.479927,0.518782,0.562691,0.607205,0.649049,0.687059,0.723062,0.761623,0.806399,0.858697,0.916679,0.974237,1.01985,1.03828,1.0201,0.966216,0.887303,0.799861,0.721429,0.666276,0.640571,0.645764,0.68121,0.743473
0.71054,0.63224,0.563023,0.503106,0.45298,0.413274,0.384811,0.36887,0.367283,0.381478,0.412604,0.461171,0.525458,0.598496,0.66575,0.710253,0.718957,0.688219,0.625522,0.546035,0.465791,0.395055,0.33841,0.29696,0.270328,0.258115,0.260717,0.279202,0.315406,0.371259,0.44652,0.534207,0.616394,0.670842,0.681499,0.647149,0.582082,0.508503,0.446046,0.403596,0.383161,0.384365,0.406235,0.446585,0.500403,0.561534,0.62327,0.67932,0.725565,0.761795,0.791807,0.819567,0.847732,0.877249,0.907021,0.933556,0.951294,0.955117,0.941549,0.909306,0.859519,0.795492,0.721969,0.643985,0.566156,0.492246,0.424964
0.821935,0.733913,0.648742,0.560355,0.471862,0.390641,0.324082,0.27759,0.254481,0.25574,0.28379,0.344501,0.445757,0.589132,0.753773,0.89505,0.961809,0.927719,0.810351,0.657804,0.515877,0.404965,0.327248,0.277878,0.251216,0.243177,0.251716,0.276818,0.319828,0.382093,0.462378,0.55259,0.634564,0.68696,0.695426,0.660204,0.595963,0.524379,0.464477,0.42494,0.407854,0.412935,0.438999,0.482919,0.53774,0.595283,0.647769,0.689731,0.720187,0.744021,0.770799,0.808192,0.86003,0.925455,0.996926,1.05747,1.08257,1.05675,0.982301,0.877845,0.769713,0.683148,0.637222,0.641298,0.703701,0.837545,1.0588
0.925839,0.829012,0.739429,0.654324,0.575368,0.506402,0.451886,0.416464,0.404922,0.420584,0.467121,0.54888,0.667324,0.811548,0.947478,1.02958,1.02432,0.931165,0.783163,0.626063,0.493911,0.397383,0.334068,0.298084,0.284315,0.28945,0.311726,0.350917,0.407249,0.479637,0.563272,0.646862,0.712342,0.742841,0.730822,0.681777,0.611539,0.539538,0.481745,0.445095,0.431047,0.439112,0.467844,0.513505,0.568161,0.62265,0.668647,0.70086,0.719151,0.729465,0.742081,0.765022,0.802582,0.855099,0.917653,0.977688,1.01544,1.01538,0.973364,0.898066,0.807238,0.721426,0.657607,0.622898,0.61849,0.642978,0.692126
0.577816,0.550728,0.525665,0.50386,0.48627,0.47368,0.466807,0.466417,0.473312,0.48788,0.509936,0.538497,0.571385,0.604714,0.63287,0.650278,0.652647,0.63785,0.606435,0.561479,0.507903,0.45159,0.398198,0.352361,0.31755,0.296645,0.292554,0.307628,0.344647,0.406734,0.494613,0.599863,0.697789,0.756912,0.755715,0.695953,0.60146,0.503862,0.427042,0.378853,0.35912,0.366304,0.399465,0.456555,0.530827,0.612356,0.689381,0.751274,0.792807,0.817294,0.835379,0.856377,0.885539,0.923632,0.966116,1.00183,1.01445,0.993185,0.937677,0.857737,0.769433,0.690125,0.633883,0.606547,0.609236,0.641065,0.698533
0.432043,0.451385,0.462893,0.453722,0.420614,0.370785,0.317554,0.2743,0.250582,0.250319,0.27711,0.33769,0.441041,0.589133,0.757858,0.895821,0.947061,0.889131,0.750824,0.589241,0.450674,0.350332,0.285603,0.249299,0.235371,0.240239,0.2625,0.302789,0.362542,0.441794,0.535693,0.630071,0.700525,0.724382,0.693785,0.620372,0.528393,0.442692,0.379703,0.343811,0.33434,0.350454,0.39206,0.457276,0.537978,0.621474,0.693154,0.741347,0.762783,0.765123,0.763619,0.770458,0.792578,0.832214,0.886322,0.944405,0.988314,1.00276,0.981793,0.930862,0.864725,0.802868,0.763965,0.758601,0.792404,0.868944,0.988335
0.387237,0.39956,0.409312,0.412022,0.405877,0.392082,0.374502,0.358841,0.351312,0.356068,0.375734,0.412036,0.465209,0.531757,0.601891,0.662073,0.698434,0.701172,0.668431,0.607119,0.529833,0.449522,0.376224,0.316087,0.272052,0.245497,0.237759,0.250336,0.286489,0.351631,0.450771,0.580107,0.714594,0.813494,0.840995,0.78964,0.685439,0.569869,0.475905,0.414774,0.386233,0.387639,0.416801,0.470251,0.539443,0.612923,0.678269,0.725584,0.751756,0.762863,0.771891,0.789469,0.82169,0.87014,0.930867,0.991984,1.03375,1.03995,1.00503,0.936023,0.849596,0.766165,0.703417,0.669347,0.665748,0.691459,0.742172
0.746667,0.703998,0.660774,0.614026,0.564803,0.516916,0.475663,0.447087,0.437318,0.4504,0.48955,0.55758,0.654585,0.771831,0.885274,0.963402,0.980383,0.929039,0.824937,0.697853,0.576424,0.475728,0.399859,0.347513,0.315807,0.302288,0.305731,0.326157,0.364528,0.421795,0.496802,0.582671,0.66388,0.721707,0.741914,0.721302,0.669327,0.603722,0.542519,0.495708,0.466795,0.456004,0.461962,0.481828,0.511039,0.545521,0.582302,0.619892,0.658919,0.702882,0.75796,0.82912,0.918187,1.0218,1.12807,1.21313,1.24458,1.20359,1.09688,0.952879,0.807581,0.691449,0.623606,0.610063,0.65521,0.768501,0.962433
0.848055,0.799067,0.745425,0.679243,0.602286,0.522776,0.451193,0.397155,0.367809,0.365978,0.39394,0.455396,0.553399,0.682264,0.815967,0.914323,0.941011,0.88507,0.768296,0.630937,0.508021,0.413873,0.349178,0.309729,0.29086,0.288814,0.300795,0.325383,0.361898,0.40952,0.466371,0.528519,0.589476,0.641652,0.678136,0.694518,0.690194,0.668587,0.635874,0.598203,0.560635,0.526998,0.500066,0.481928,0.4743,0.478493,0.495709,0.527254,0.574524,0.63868,0.72001,0.817181,0.925935,1.03752,1.13752,1.20603,1.22247,1.17832,1.08229,0.956401,0.827119,0.717444,0.642428,0.606071,0.607667,0.645605,0.716271
0.894594,0.78392,0.679423,0.574146,0.471759,0.380238,0.306803,0.255848,0.229185,0.226334,0.248525,0.300716,0.390513,0.520894,0.67516,0.814095,0.889889,0.874743,0.78075,0.650345,0.526562,0.429594,0.362748,0.322646,0.304837,0.305685,0.32254,0.354127,0.39965,0.457438,0.523384,0.58933,0.64302,0.67293,0.672931,0.644804,0.597538,0.544043,0.496605,0.46199,0.442679,0.438967,0.449959,0.473457,0.505636,0.542807,0.58194,0.620988,0.659445,0.698968,0.743184,0.794714,0.853819,0.917438,0.977933,1.02207,1.0334,1.00318,0.935116,0.843549,0.747901,0.667013,0.615188,0.598304,0.618554,0.677525,0.774748
