ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
552.814,0.73723,0.583934,372.587,263.372,0.295789,1.41285, 29.5846, 45.6185,0.841236,0.999068,16.7297,2.63186,0.226835,2.98889,0.31881,4.79863,0.464826,2.055,0.05,2.055,0.05,-751.045
562.13,0.667906,0.71054,355.189,469.967,0.306359,1.20768, 42.1036, 48.8032,0.819951,0.989147,27.1914,2.55621,0.200925,2.96252,0.312979,4.79102,0.458005,2.055,0.05,2.055,0.05,-674.585
480.8,0.761596,0.821935,376.445,530.368,0.296376,1.29756, 19.3042, 37.036,0.80321,0.995377,10.5296,2.53494,0.217988,2.98844,0.32178,4.65779,0.440471,2.055,0.05,2.055,0.05,-671.95
551.723,0.706448,0.925839,424.121,806.156,0.260784,1.41, 32.2216, 37.8787,0.734564,1.00584,20.2606,2.69505,0.245455,3.00948,0.32101,4.79192,0.469389,2.055,0.05,2.055,0.05,-636.325
554.58,0.732106,0.577816,401.718,184.352,0.243752,1.31112, 33.3047, 43.8565,0.728005,1.01124,19.9475,2.69925,0.23941,3.05343,0.342749,4.88395,0.455834,2.055,0.05,2.055,0.05,-644.5
607.78,0.745788,0.432043,356.375,87.7324,0.326552,1.31007, 20.8572, 50.3851,0.908293,1.01209,8.70797,2.67742,0.237868,2.97149,0.316485,4.75994,0.470216,2.055,0.05,2.055,0.05,-659.117
590.947,0.820415,0.387237,386.192,61.4656,0.298917,1.51592, 29.8886, 49.2316,0.804412,0.99413,19.3148,2.72304,0.260882,3.05733,0.332988,4.80491,0.448056,2.055,0.05,2.055,0.05,-655.279
592.543,0.701968,0.746667,455.145,405.102,0.369506,1.6441, 27.5028, 38.3027,0.725234,0.988432,14.4915,2.4929,0.178024,3.04893,0.319374,4.77697,0.454852,2.055,0.05,2.055,0.05,-656.851
546.156,0.739898,0.848055,415.744,847.609,0.371211,1.74619, 32.2157, 37.9943,0.799317,0.979297,18.0752,2.63499,0.234661,3.03202,0.319475,4.77374,0.438417,2.055,0.05,2.055,0.05,-651.407
612.73,0.622653,0.894594,376.105,902.847,0.327275,1.28693, 34.6944, 49.5491,0.842781,1.00033,15.5696,2.61558,0.229161,2.94991,0.311999,4.75665,0.460648,2.055,0.05,2.055,0.05,-659.619
519.486,0.691172,0.945661,374.734,751.877,0.311585,1.43885, 27.2973, 40.0192,0.836625,1.01271,17.2296,2.71136,0.256343,3.00368,0.316321,4.72214,0.446762,2.055,0.05,2.055,0.05,-653.197
603.532,0.694673,0.926266,368.682,1114.35,0.248247,1.23819, 46.0304, 50.366,0.8579,1.00728,24.4684,2.7019,0.251208,3.0482,0.331093,4.84002,0.479693,2.055,0.05,2.055,0.05,-672.492
651.688,0.623837,0.848052,374.608,789.209,0.219913,1.28044, 42.9821, 51.7755,0.762639,1.00497,17.0174,2.70177,0.237445,2.97098,0.32802,4.71565,0.422215,2.055,0.05,2.055,0.05,-646.33
466.314,0.700882,0.747717,323.287,402.505,0.299567,1.48546, 51.118, 45.2856,0.930006,0.988391,28.8129,2.77339,0.255965,2.95038,0.317003,4.77171,0.471893,2.055,0.05,2.055,0.05,-654.008
511.168,0.769823,0.660451,342.571,139.827,0.398783,1.29668, 55.3738, 47.3528,0.868849,0.999374,33.3037,2.60676,0.223893,2.98337,0.317786,4.59002,0.413956,2.055,0.05,2.055,0.05,-657.234
607.406,0.755113,0.597602,346.915,295.794,0.323411,1.26638, 29.0778, 54.0746,0.859488,1.01792,18.6395,2.41419,0.154659,2.9293,0.310331,4.76383,0.471181,2.055,0.05,2.055,0.05,-656.347
408.894,0.735743,0.386687,339.882,88.2128,0.416404,1.46448, 17.4697, 36.0796,0.854682,0.997745,12.1573,2.4837,0.180207,2.98221,0.318616,4.76219,0.452318,2.055,0.05,2.055,0.05,-671.578
447.58,0.763676,0.53075,343.261,163.018,0.268572,1.47836, 19.2627, 40.686,0.889134,0.989057,13.7272,2.51529,0.190867,2.92836,0.309993,4.82919,0.481344,2.055,0.05,2.055,0.05,-666.67
644.55,0.71353,0.745336,350.256,356.136,0.327794,1.07534, 57.98, 56.5345,0.894466,0.992336,28.8227,2.81095,0.2691,2.95157,0.31633,4.83329,0.493685,2.055,0.05,2.055,0.05,-629.461
649.451,0.762561,0.742371,358.415,197.202,0.329086,0.943354, 50.6517, 55.7334,0.861381,1.00407,29.1239,2.5608,0.211177,2.99664,0.326922,4.83038,0.471405,2.055,0.05,2.055,0.05,-643.663
438.323,0.779071,0.624255,306.724,116.215,0.428102,1.64257, 30.7594, 45.0649,0.998455,0.987007,24.7814,2.62089,0.225182,2.9955,0.321459,4.73544,0.439458,2.055,0.05,2.055,0.05,-645.431
572.867,0.680373,0.488532,383.101,65.581,0.324064,1.58052, 43.6138, 48.5232,0.762495,1.01644,31.7224,2.695,0.249621,3.02141,0.332849,4.88665,0.497941,2.055,0.05,2.055,0.05,-674.534
433.415,0.847297,0.516565,349.905,73.5813,0.332874,1.58875, 16.5254, 37.6746,0.876319,0.991578,10.3886,2.66382,0.242021,3.005,0.318358,4.92855,0.489247,2.055,0.05,2.055,0.05,-654.474
502.518,0.677099,0.69523,361.697,202.797,0.356865,1.65747, 19.3511, 40.6979,0.889653,1.0163,9.45493,2.72818,0.246842,3.00823,0.322156,4.71097,0.461479,2.055,0.05,2.055,0.05,-627.473
724.125,0.743065,0.739656,401.32,287.817,0.282402,1.4643, 36.6523, 56.0096,0.782328,0.978049,20.059,2.67366,0.224688,3.01614,0.324665,4.75696,0.465013,2.055,0.05,2.055,0.05,-649.816
