rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.185615,0.111396,0.746403,-0.0211892,0.309491,0.506316,0.336451,0.928184,0.611092,0.166416,0.859933,0.0884434,0.741451,-0.218266,-1.05997,0.23062,-0.0838302,-1.03402,0.106368,0.616296,0.420055,0.41056,0.59839,0.900935,0.0457772,-0.307176,0.240008,-0.763127,0.235171,0.00878677,-0.353544,-0.412314,0.202152,0.96743,1.05901,-0.0733823,1.36008,-0.326885,-0.223281,-0.678332,0.330871,-0.0532008,-0.226506,-0.843734,-0.423594,1.1094,0.124081,-0.452538,-0.334134,0.0675777,0.365382,0.357488,-0.430379,-0.286445,-0.639505,-0.136831,-0.940799,-0.315222,-0.903641,0.0437925,-1.32779,-1.16294,-0.176648,-0.534803,0.693074,-0.769878,-0.5706
0.429927,0.324895,0.925745,-0.2231,0.308944,0.543332,0.554799,1.12237,0.686009,0.437463,0.847274,0.442068,1.03008,0.0504105,-0.860713,-0.325389,0.148729,-1.62472,-0.16644,0.550798,0.307613,0.359794,0.492932,0.999647,-0.00873993,-0.239058,0.235972,-0.567101,0.175955,0.016642,-0.319771,-0.377957,0.119816,0.849404,0.974263,-0.314015,1.20764,-0.473875,-0.388671,-0.832229,0.208539,-0.00214775,-0.0349784,-0.814782,-0.429195,1.31253,0.209522,-0.36209,-0.313349,0.207854,0.36394,0.274039,-0.461656,-0.56789,-0.981721,-0.265768,-0.804758,-0.363007,-0.746134,0.118737,-1.14854,-1.14515,0.0937833,-0.908259,0.71381,-0.724173,-0.882021
0.778656,0.527771,0.861814,-0.113894,0.0367441,0.13908,0.206956,0.604586,0.638053,-0.165758,0.869729,-0.118533,0.740101,0.28977,-0.666841,-0.202939,1.05409,-1.36694,0.269321,0.545992,0.395253,0.276014,0.386959,0.863688,-0.156566,-0.533391,0.24847,-0.788563,0.326652,-0.195,-0.43894,-0.59014,0.105283,0.893433,1.05266,-0.126099,1.20552,-0.333527,-0.362359,-0.65488,0.372297,0.00306714,-0.043046,-0.798411,-0.421433,1.20059,0.227466,-0.486233,-0.371309,0.105782,0.384075,0.243997,-0.41754,-0.160853,-0.603767,-0.188059,-0.68358,-0.107161,-0.93413,-0.0667699,-1.33421,-1.21501,-0.159569,-0.400298,0.726051,-0.697015,-0.808475
0.510826,0.75651,0.896554,0.192942,0.444192,0.698197,0.321574,0.835786,0.512271,0.384418,1.00835,0.616666,1.08558,0.195473,-1.23416,-0.275324,1.19354,-0.803345,0.00615048,0.357391,0.332819,0.292133,0.341903,0.871848,0.0869585,-0.0945546,0.452507,-0.436736,0.608888,0.141757,-0.279897,-0.245305,0.481928,0.840086,0.946802,-0.261077,1.2158,-0.438765,-0.468028,-0.72066,0.285033,-0.14369,-0.197676,-1.08095,-0.534552,1.05833,0.0445849,-0.809397,-0.507659,-0.188039,-0.0304322,-0.0995754,-0.857508,-0.641599,-0.786966,-0.364592,-1.11854,-0.33343,-1.01663,0.194062,-1.36161,-1.42024,-0.188214,-0.599461,0.510058,-0.425172,-0.834446
-0.0912885,0.570697,0.573866,0.234991,0.347471,0.891935,0.552423,0.883106,0.594503,0.49251,1.1675,0.317496,0.85908,-0.371253,-0.677945,-1.33035,0.38746,-1.21909,0.210616,0.686298,0.588455,0.597465,0.625596,1.04219,0.112422,-0.194617,0.381219,-0.623517,0.442035,0.172976,-0.0433454,-0.343517,0.358482,0.896336,0.844493,-0.289111,1.1204,-0.503772,-0.5227,-0.707772,0.201064,-0.127916,-0.0313158,-0.755747,-0.224649,1.17134,0.408966,-0.193743,-0.177934,0.259254,0.234622,0.308845,-0.625653,-0.638362,-0.735037,-0.63494,-1.19485,-0.631553,-1.26279,0.0100098,-1.65427,-1.44638,-0.410778,-0.67483,0.588266,-0.529767,-0.363189
-0.123438,-0.153596,0.650142,-0.166008,0.00777311,0.318054,0.293757,0.987051,0.397816,0.247436,0.792987,0.125266,0.983689,0.158132,-0.345577,-0.40418,0.110876,-0.964069,0.0405474,0.434791,0.304145,0.303269,0.509811,0.878641,-0.056097,-0.139,0.413211,-0.517397,0.320449,0.266635,-0.185235,-0.439694,-0.0523875,0.64718,0.765399,-0.463886,1.04786,-0.605725,-0.554633,-0.440751,0.179539,-0.0598706,-0.0708283,-0.493843,-0.0556397,1.42289,0.42136,-0.373669,0.0222644,-0.0384116,0.100212,0.152486,-0.650834,-0.498901,-0.585014,-0.163086,-0.753361,-0.0672995,-0.725731,0.46713,-1.14261,-0.883956,-0.153928,-0.574524,0.615663,-0.865472,-0.651797
-0.26753,-0.118857,0.796937,-0.345714,0.110417,0.486819,0.0934099,0.81811,0.792718,-0.0648596,0.762152,0.126269,0.689432,-0.0497622,-0.551522,-1.011,0.14434,-0.745629,0.0892452,0.658367,0.403714,0.364353,0.558846,0.881843,-0.0253191,-0.455741,0.295507,-0.782443,0.334194,0.199879,-0.13116,-0.0469915,0.584798,1.39306,1.15088,0.00348159,1.21191,-0.542624,-0.331892,-0.767937,0.299567,-0.0814879,-0.144489,-0.909978,-0.367017,1.15919,0.359473,-0.315972,-0.0632005,0.0384852,0.143013,0.242099,-0.596977,-0.481656,-0.592928,-0.264457,-0.734095,-0.138383,-0.920334,0.0782429,-1.07898,-1.26379,-0.111216,-0.339655,0.798417,-0.365818,-0.829858
0.657509,0.310392,1.03693,0.0302785,0.8101,0.438139,0.490078,0.84046,0.478483,0.102315,0.973416,0.276686,1.01091,-0.39523,-0.78586,-0.992379,0.758873,-0.583477,0.596097,0.779624,0.229195,0.353446,0.578595,0.830478,-0.0897194,-0.275747,0.304946,-0.882365,0.251689,0.273747,-0.39749,-0.32556,0.249335,1.18115,1.16915,0.0757536,1.28228,-0.447783,-0.249874,-0.715672,0.0537082,-0.232313,-0.344333,-0.899743,-0.542915,0.818543,-0.0995779,-0.717992,-0.579355,0.125516,0.336755,0.376433,-0.330289,-0.229941,-0.451134,0.192635,-0.860716,-0.368405,-1.18998,-0.286604,-1.55977,-1.50749,-0.250816,-0.743218,0.738957,-0.965082,-0.673153
0.772339,0.52959,1.11873,0.284778,0.572012,0.441816,0.497126,0.928843,0.244839,0.0392649,0.689849,0.178064,0.80748,0.152047,-1.3403,-0.949061,0.82055,-1.45944,0.0696428,0.566673,0.261396,0.312659,0.635832,0.855996,-0.101114,-0.249473,0.279287,-0.844737,-0.0272231,-0.126101,-0.447436,-0.439252,0.182924,1.17266,1.14529,0.254609,1.51916,-0.015847,-0.108558,-0.587002,0.159103,-0.220202,-0.642428,-1.26477,-0.840865,0.717249,-0.164262,-0.494606,-0.319461,0.297008,0.506744,0.704368,-0.0339744,0.204952,-0.114282,0.327163,-0.541208,-0.254249,-1.1483,-0.0609941,-1.40866,-1.48181,-0.619647,-0.803901,0.643909,-0.921912,-0.747558
0.887439,0.560943,0.951987,0.342238,0.351905,0.25243,0.0922414,0.526457,0.582793,-0.0332553,0.592593,-0.218394,0.738776,-0.299602,-1.30129,-0.517617,0.91189,-0.751925,0.367173,0.732679,0.686986,0.456425,0.552958,1.02171,0.182924,-0.108287,0.388723,-0.581785,0.363073,0.0917366,-0.35921,-0.513385,0.0945228,0.883879,0.856783,-0.0302246,1.26301,-0.475454,-0.28682,-0.625726,0.283082,-0.112929,-0.19837,-0.887408,-0.411376,0.99251,0.282219,-0.316051,-0.123339,0.128562,0.360314,0.509303,-0.474346,-0.393045,-0.439558,-0.147716,-0.795387,-0.5642,-1.14989,-0.244978,-1.41814,-1.30523,-0.585419,-0.73891,0.630233,-0.818748,-0.545791
