rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
785.935,364.775,507.736,618.185,521.611,942.612,686.47,440.049,880.424,407.041,782.052,299.527,129.089,469.229,342.626,132.483,414.403,690.052,567.094,561.736,677.806,917.273,390.039,274.046,473.655,173.702,471.369,375.875,261.629,246.696,456.059,980.341,1074.36,346.225,1451.79,268.697,298.029,189.074,518.708,353.283,297.069,160.25,243.929,1129.88,421.809,236.97,266.757,398.636,536.922,532.7,242.279,279.786,196.56,324.94,145.427,271.85,150.932,389.266,98.7587,116.458,312.256,218.256,745.12,172.534,210.581
896.407,284.163,483.762,611.54,618.593,1091.19,705.325,550.106,828.754,552.646,994.985,373.553,150.195,256.534,412.146,69.9602,300.729,616.123,483.118,508.997,581.483,965.162,352.098,279.665,449.718,201.451,423.521,361.149,257.979,243.397,400.4,830.521,940.971,259.468,1188.31,221.135,240.803,154.535,437.549,354.427,342.979,157.255,231.239,1319.72,437.979,247.289,259.641,437.249,511.112,467.168,223.854,201.293,133.077,272.294,158.839,247.063,168.429,399.969,112.63,113.013,390.111,143.221,725.208,172.169,147.029
891.216,335.922,390.535,432.617,463.001,689.081,712.532,318.944,898.298,334.367,789.085,502.976,193.24,307.303,1080.16,95.9503,492.795,649.865,558.931,496.105,554.314,892.888,321.889,220.827,482.627,171.093,521.873,309.752,242.702,208.645,418.24,919.845,1078.62,331.847,1256.76,269.683,262.018,195.565,546.247,377.602,360.585,169.417,246.988,1250.58,472.595,231.491,259.684,418.449,552.718,480.472,247.951,320.512,205.821,311.91,190.032,338.191,147.916,352.131,99.1425,111.694,320.924,252.264,778.076,187.496,167.72
1039.58,514.379,661.302,852.536,584.989,978.288,707.89,622.931,1162.55,785.786,1255.88,515.683,123.453,322.046,1399.06,189.933,426.737,606.321,591.604,568.017,597.003,1014.21,462.653,385.856,666.823,274.042,779.698,488.713,320.577,331.86,686.734,982.504,1093.15,326.667,1430.56,273.487,265.6,206.306,563.999,367.355,348.049,143.893,248.506,1222.12,443.458,188.787,255.28,351.419,411.408,383.923,179.92,223.278,193.07,294.543,138.584,303.866,153.452,514.956,108.68,102.491,351.358,232.888,706.326,277.23,184.117
713.096,508.132,568.625,980.131,697.969,971.516,727.966,657.379,1291.1,551.834,948.451,277.133,203.936,106.208,591.825,118.707,495.896,797.952,723.576,730.125,750.956,1139.04,449.517,330.674,588.143,215.343,625.021,477.578,384.678,284.927,574.921,984.454,934.717,300.858,1231.7,242.737,238.186,197.943,491.182,353.483,389.333,188.671,320.891,1296.07,604.69,330.963,336.237,520.612,507.945,547.081,214.884,212.17,192.619,212.898,121.62,213.62,113.631,405.76,76.8215,94.5729,266.393,204.572,723.44,236.508,279.377
682.749,301.864,359.156,489.82,478.062,956.265,530.489,456.423,787.585,403.933,953.056,417.43,252.247,237.889,398.163,135.899,371.122,550.472,483.055,482.631,593.356,858.019,336.934,310.128,538.72,212.425,490.995,465.271,296.115,229.589,338.186,680.729,766.154,224.101,1016.22,194.466,204.66,229.346,426.462,335.665,332.007,217.487,337.088,1478.64,543.128,245.259,364.399,342.946,393.939,415.08,185.889,216.39,198.536,302.747,167.775,333.181,172.475,568.565,113.679,147.235,305.533,200.63,659.609,149.982,185.71
856.858,273.314,431.277,628.385,424.005,875.193,853.25,361.939,827.565,438.169,769.52,367.445,222.475,140.518,446.159,183.223,422.243,745.982,578.275,555.955,675.316,932.788,376.537,244.837,518.968,176.601,539.438,471.639,338.72,368.464,693.071,1555.26,1220.75,387.539,1297.57,224.463,277.118,179.181,521.079,355.97,334.235,155.455,267.553,1230.93,553.249,281.565,362.54,401.344,445.567,491.978,212.588,238.574,213.451,296.45,185.349,336.283,153.854,417.622,131.283,109.131,345.544,274.975,858.127,267.874,168.423
1283.76,469.136,1023.23,705.392,742.998,1054.77,734.433,504.179,1204.75,600.223,1250.79,306.551,207.422,168.719,972.128,253.95,826.097,992.512,572.384,648.111,811.764,1044.29,416.088,345.457,617.427,188.34,585.405,598.462,305.859,328.67,584.029,1482.92,1465.22,490.963,1640.73,290.857,354.512,222.504,480.258,360.792,322.558,185.095,264.463,1031.9,412.006,221.988,254.999,516.012,637.383,663.181,327.12,361.649,289.884,551.836,192.462,314.886,138.468,341.727,95.664,100.799,354.178,216.458,952.96,173.388,232.168
1272.58,552.718,736.627,646.702,683.479,1052.49,531.078,432.393,828.75,496.773,932.202,484.015,108.828,160.936,944.466,96.6052,445.73,732.705,539.944,568.345,785.171,978.544,375.762,323.953,549.691,178.633,404.579,366.489,265.771,267.954,499.193,1343.09,1306.83,536.292,1899.28,409.208,372.975,231.15,487.443,333.575,218.687,117.366,179.326,851.772,352.767,253.525,302.055,559.519,690.084,840.87,401.857,510.312,370.846,576.648,241.982,322.409,131.864,391.144,101.637,94.4676,223.726,186.078,791.539,165.365,196.864
974.433,529.592,534.737,484.104,412.448,636.718,673.618,363.804,680.251,302.317,787.328,278.737,102.369,224.136,936.134,177.318,542.964,782.542,747.591,593.652,653.817,1044.8,451.599,337.506,554.792,210.205,540.742,412.24,262.607,225.086,413.39,910.277,885.943,364.908,1329.93,233.788,282.322,201.169,499.172,335.943,308.432,154.851,249.259,1014.73,498.742,274.189,332.464,427.704,539.252,625.889,234.047,253.87,242.333,324.457,169.776,213.934,119.102,294.386,91.0796,101.966,209.443,179.641,706.344,165.856,217.909
