sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
25.4355,12.6392,20.8401,14.7592,20.0468,22.6063,38.1564,50.0908,26.3521,11.5142,14.1884,22.1153,21.7457,21.1344,12.6973,5.94008,4.9446,9.11679,11.6444,22.5286,39.8072,54.7311,60.7141,69.6857,88.2165,68.5979,54.5478,42.7926,36.6569,42.7918,41.3278,32.5364,25.1477,29.4851,45.678,52.7189,47.0748,59.6095,44.6758,37.0707,30.9365,40.5024,39.6577,33.2409,29.8108,34.2753,42.5357,29.4318,20.2167,18.3003,19.8651,20.1264,16.5969,9.03668,4.70986,4.82842,4.76228,4.31136,4.57083,5.20528,6.50638,6.36479,7.88255,11.7324,15.5699,20.6738,16.7297,14.193
30.7335,15.1523,23.1506,15.0593,18.4493,21.0453,37.5863,52.6101,29.5581,13.6518,17.1288,22.7563,26.2881,29.1701,19.8905,9.04745,3.90478,9.41222,10.4499,19.3543,35.9903,48.9474,54.2233,63.5969,86.5028,67.6412,54.0665,43.1458,37.9136,43.2375,41.6459,33.0409,24.8136,26.9931,40.722,47.6008,40.7823,52.7019,40.8599,34.5526,29.7812,40.1418,41.9606,37.6418,33.9057,38.5694,47.9676,32.1482,20.8268,17.9519,19.1478,18.6082,15.0117,7.99884,3.70982,4.13714,4.75172,4.60079,4.86627,5.44417,6.32438,5.85271,7.5411,11.7048,15.6222,25.5815,27.1914,26.9545
33.5762,19.2311,24.9693,16.806,18.8958,18.736,31.4989,44.9652,22.45,11.7847,15.0787,26.2406,26.8733,27.171,19.0734,7.78612,6.65893,14.2009,12.9338,21.3387,35.4784,49.2403,54.9134,63.8214,85.0883,65.5196,52.6782,43.5621,38.5944,45.4048,41.561,31.1353,23.1141,26.2932,42.2722,51.1139,45.5122,57.0666,45.03,39.0373,34.0504,45.6601,45.2625,38.3425,33.3049,36.3499,43.725,28.6019,18.7844,16.9981,19.2557,19.5877,15.7869,8.91952,5.02177,4.75787,4.58185,4.56024,4.98955,5.27035,6.43964,6.54715,8.29201,12.5271,15.8257,17.7937,10.5296,7.18243
25.0601,11.5938,21.5439,16.137,21.6881,26.4813,43.2712,52.1689,27.9554,13.2704,18.9675,31.2923,35.1223,30.9344,16.2932,4.48526,6.88069,16.9272,15.8345,22.6856,36.7518,52.9042,61.4052,70.0897,94.4869,82.1228,69.38,57.5436,50.8316,56.8319,50.2946,35.5183,27.3204,31.5634,44.747,50.9712,46.2174,59.6251,45.8164,37.998,33.0755,44.0211,42.0086,34.3167,28.6652,32.2908,39.8175,25.772,16.5957,15.285,16.9176,16.8513,13.502,7.30124,4.12831,4.67771,4.6723,4.43736,4.83595,5.86153,7.87353,7.35813,8.66681,13.2385,16.8179,22.8273,20.2606,17.2417
24.892,14.4414,27.1447,19.1737,26.3819,29.6533,49.3385,55.9646,27.0384,12.5048,19.2221,29.5872,27.2415,24.5471,16.2225,7.68296,3.33085,11.8806,15.2175,28.6388,47.9955,65.0319,70.761,78.6934,98.0583,75.8968,63.3404,51.7244,45.7697,54.0026,52.3147,40.4318,29.1286,30.4763,41.2438,44.679,40.0958,53.5348,42.0155,37.1509,34.2475,46.793,48.2655,43.5818,38.8038,40.8691,46.4253,30.9706,20.5704,18.2203,19.2581,18.3161,15.0648,7.44553,3.66645,3.87439,3.67054,3.49116,3.76834,4.7576,6.61581,6.29601,7.4675,11.1713,15.4847,22.0989,19.9475,17.9559
22.4953,9.009,17.4058,13.7654,17.1585,17.0738,32.5453,49.6753,29.3869,10.226,14.3248,24.8197,26.5656,30.1331,21.652,9.54277,2.673,6.16616,8.35172,17.3824,32.7066,48.4878,56.6981,69.4266,92.088,74.4122,62.2356,51.0554,42.2778,45.5389,41.5042,29.7398,19.3517,19.1433,30.3092,37.8229,33.8734,48.4671,39.5489,36.1704,34.9223,46.5113,47.1735,41.4025,37.5591,41.7913,48.5605,30.9332,20.1092,18.1041,17.7528,17.0883,14.2348,7.93933,4.39035,5.06648,5.24962,5.08447,5.41668,6.31089,7.95274,7.07599,7.74319,9.76966,11.3812,12.9708,8.70797,7.04003
20.7382,10.2942,21.8208,18.8169,22.1753,22.7007,38.5386,47.6679,22.7975,10.8517,11.8464,19.2322,20.6387,21.6577,17.4128,9.69511,3.79665,10.57,13.8022,23.9334,40.0833,51.887,56.1952,65.5456,84.8671,68.3543,57.7626,49.0695,44.9938,54.9088,54.675,42.4354,32.2023,37.2328,50.6591,50.123,40.2392,49.5796,37.3221,32.5929,30.2028,42.9527,44.3454,37.8417,32.8737,35.6349,42.0563,28.7966,19.7251,18.4691,19.0373,18.5466,15.7645,8.42141,4.45952,4.87632,4.88439,4.78965,5.02853,5.28752,6.45898,6.30493,7.64971,11.9629,16.9882,23.3811,19.3148,15.2751
32.9227,20.5976,27.8782,21.6567,28.6242,35.1853,47.6758,55.9818,28.5716,10.4007,14.693,25.0625,27.0277,25.6121,12.3044,2.78853,4.08375,11.5104,15.2625,29.9746,46.5102,56.6001,60.4476,71.6254,91.17,72.512,61.4269,51.1565,44.3798,51.7977,52.266,40.1742,31.1584,38.2495,59.4964,66.0665,56.7605,66.1293,47.5284,39.1069,31.544,39.1227,37.6923,32.2178,30.2507,34.7507,41.8407,29.8125,20.6222,19.6547,23.2598,23.5537,19.1988,10.121,5.19322,5.34415,4.90862,3.88096,3.73421,4.07491,5.27862,5.5516,7.84015,12.9223,17.8725,22.6705,14.4915,10.6613
42.621,24.773,27.9967,21.1114,25.5766,26.0535,39.2262,52.0433,28.6433,11.6282,12.7661,20.909,22.5219,21.5586,12.9501,2.24503,4.00303,10.879,11.2093,21.0042,37.8232,50.8871,58.3681,72.3664,93.7062,69.1867,56.7323,45.0466,35.8086,38.7179,37.3981,30.4806,25.2554,35.4885,59.8342,67.4247,60.819,69.6145,47.6545,34.3482,25.6162,30.8543,28.6988,22.6384,21.1553,27.2513,37.6468,30.1815,24.7295,25.5009,29.2237,29.1305,24.1825,13.3863,7.1949,6.53891,5.75312,4.52522,4.12004,4.41197,5.75036,5.74621,6.72242,9.79678,14.9582,22.1325,18.0752,15.5296
29.2519,16.5414,23.0402,15.9877,23.3739,24.2527,38.5218,50.3587,20.9173,9.49632,10.5279,17.0907,18.5038,22.4767,13.9318,4.26605,5.04514,13.4093,14.4001,24.7235,42.3053,59.9291,66.6079,73.9966,94.0013,74.3327,58.6926,45.2903,37.6697,41.6566,38.0554,28.2443,20.4678,24.9354,40.7476,48.0958,44.1495,56.5324,42.1338,34.8009,29.1103,38.3179,37.6182,32.4676,29.8451,34.0127,42.2614,31.848,23.7995,22.4344,23.2016,22.9401,19.2633,9.81714,5.19295,5.27383,5.09879,4.35974,4.21593,4.55876,5.71812,5.99243,7.14475,9.98443,14.1082,19.5975,15.5696,13.1801
