"","SimFolder","Scenario","Procedure","Period","t1","t2","medProbStatArea23","Q1ProbStatArea23","Q2ProbStatArea23","medProbStatArea24","Q1ProbStatArea24","Q2ProbStatArea24","medProbStatArea25","Q1ProbStatArea25","Q2ProbStatArea25","medProbStatAreaAll","Q1ProbStatAreaAll","Q2ProbStatAreaAll"
"1","sim0405201814164313","WCVI_PulseM_1.5x16","NoFish","2Gen",68,77,0.8,0.4475,1,0.4,0.2,0.7,0.7,0.3,0.952499999999999,0.1,0,0.3
"2","sim0405201815250526","WCVI_Mbar10","NoFish","2Gen",68,77,0.7,0.4475,1,0.4,0.2,0.752499999999999,0.7,0.4,0.9,0.1,0,0.3
"3","sim0505201807321716","WCVI_Mbar10","minE.5B0_HR.2","2Gen",68,77,0.7,0.5,1,0.4,0.1475,0.752499999999999,0.7,0.4,0.9,0.1,0,0.3
"4","sim0505201807341617","WCVI_Mbar10","minE.5B0_HR.1","2Gen",68,77,0.7,0.4475,1,0.5,0.1,0.7,0.6,0.4475,0.9,0.1,0,0.3
"5","sim0505201807384319","WCVI_Mbar10","HS30-60_HR.1","2Gen",68,77,0.8,0.4,1,0.4,0.1,0.752499999999999,0.7,0.4,0.952499999999999,0.1,0,0.3
"6","sim050520180742043","WCVI_PulseM_1.5x16","minE.5B0_HR.2","2Gen",68,77,0.7,0.5,0.9,0.4,0.1,0.7,0.7,0.3475,0.9,0.1,0,0.3
"7","sim050520180745184","WCVI_PulseM_1.5x16","minE.5B0_HR.1","2Gen",68,77,0.8,0.4,1,0.45,0.1,0.8,0.7,0.4,0.9,0.1,0,0.3
"8","sim050520180751106","WCVI_PulseM_1.5x16","HS30-60_HR.1","2Gen",68,77,0.7,0.5,1,0.4,0.2,0.752499999999999,0.7,0.3,0.9,0.1,0,0.3
"9","sim050520180753581","WCVI_PulseM_1.5x16","minE18.8_HR.2","2Gen",68,77,0.7,0.3475,0.9,0.5,0.2,0.752499999999999,0.7,0.3475,0.9,0.1,0,0.3
"10","sim050520180757245","WCVI_PulseM_1.5x16","HS30-60_HR.2","2Gen",68,77,0.75,0.4,1,0.4,0.1,0.7,0.7,0.4,0.952499999999999,0.1,0,0.3
"11","sim0505201807582215","WCVI_Mbar10","minE18.8_HR.1","2Gen",68,77,0.7,0.4,0.9,0.4,0.1475,0.7,0.7,0.4,0.9,0.1,0,0.3
"12","sim0505201808002218","WCVI_Mbar10","HS30-60_HR.2","2Gen",68,77,0.8,0.4,0.952499999999999,0.4,0.1,0.7,0.7,0.4,1,0.1,0,0.3
"13","sim0505201808292914","WCVI_Mbar10","minE18.8_HR.2","2Gen",68,77,0.75,0.5,0.952499999999999,0.4,0.2,0.6,0.7,0.4,0.952499999999999,0.1,0,0.3
"14","sim050520182310202","WCVI_PulseM_1.5x16","minE18.8_HR.1","2Gen",68,77,0.7,0.5,1,0.4,0.1,0.7,0.7,0.4,0.952499999999999,0.1,0,0.3
"15","sim080520181912413","WCVI_PulseM_1.5x16","PerfectInfo_minE18.8_HR.2_cap5","2Gen",68,77,0.8,0.5,0.952499999999999,0.4,0.2,0.7,0.6,0.4,0.9,0.1,0,0.3
"16","sim0805201819124816","WCVI_Mbar10","PerfectInfo_minE18.8_HR.1_cap5","2Gen",68,77,0.7,0.4475,1,0.4,0.1,0.8,0.7,0.4,0.952499999999999,0.1,0,0.352499999999999
"17","sim080520181912495","WCVI_PulseM_1.5x16","PerfectInfo_minE.5B0_HR.2","2Gen",68,77,0.8,0.4475,1,0.5,0.1475,0.752499999999999,0.65,0.4,1,0.1,0,0.3
"18","sim080520181912501","WCVI_PulseM_1.5x16","PerfectInfo_minE18.8_HR.2","2Gen",68,77,0.8,0.5,1,0.5,0.2,0.8,0.6,0.4,0.9,0.1,0,0.3
"19","sim080520181912524","WCVI_PulseM_1.5x16","PerfectInfo_minE18.8_HR.1_cap5","2Gen",68,77,0.7,0.5,1,0.4,0.2,0.7,0.7,0.3475,0.9,0.1,0,0.3
"20","sim0805201819125517","WCVI_Mbar10","PerfectInfo_minE.5B0_HR.2","2Gen",68,77,0.7,0.4475,0.9,0.45,0.095,0.7,0.6,0.3,0.9,0.1,0,0.252499999999999
"21","sim0805201819125519","WCVI_Mbar10","PerfectInfo_minE.5B0_HR.2_cap5","2Gen",68,77,0.7,0.5,1,0.4,0.1,0.7,0.7,0.3,0.9,0.1,0,0.3
"22","sim0805201819125615","WCVI_Mbar10","PerfectInfo_minE18.8_HR.2_cap5","2Gen",68,77,0.7,0.5,1,0.4,0.2,0.752499999999999,0.6,0.4,0.9,0.1,0,0.3
"23","sim080520181912577","WCVI_PulseM_1.5x16","PerfectInfo_minE.5B0_HR.2_cap5","2Gen",68,77,0.8,0.4,1,0.4,0.2,0.7,0.6,0.3475,0.9,0.1,0,0.3
"24","sim080520181912588","WCVI_PulseM_1.5x16","PerfectInfo_minE.5B0_HR.1_cap5","2Gen",68,77,0.8,0.4,0.9,0.4,0.1,0.8,0.7,0.4,0.952499999999999,0.1,0,0.3
"25","sim080520181913002","WCVI_PulseM_1.5x16","PerfectInfo_minE18.8_HR.1","2Gen",68,77,0.7,0.4,0.9,0.5,0.2,0.8,0.7,0.3,0.952499999999999,0.1,0,0.3
"26","sim0805201819130120","WCVI_Mbar10","PerfectInfo_minE.5B0_HR.1_cap5","2Gen",68,77,0.7,0.4475,0.952499999999999,0.4,0.2,0.8,0.7,0.3,0.9,0.1,0,0.4
"27","sim0805201819130414","WCVI_Mbar10","PerfectInfo_minE18.8_HR.1","2Gen",68,77,0.8,0.5,1,0.4,0.1475,0.7,0.7,0.4,0.9,0.1,0,0.3
