,,,old method,min over years of rep prob,Unconditional,old method,min over years of rep prob,Unconditional
,,,med Prob_t(Bti > .3B0i),Min_t P(Bti > .3B0i),P(Bt > .3B0),med Prob_t(Bti > .6B0i),Min_t P(Bti > .6B0i),P(Bt > .6B0)
,Scenario,MP,ProbGt.3B0,minProbBtGt.3B0,totProbBtGt.3B0,ProbGt.6B0,minProbBtGt.6B0,totProbBtGt.6B0
1,SOG_DIM,NoFish,100%,85%,92%,87%,57%,70%
2,SOG_DIM,minE21.2_HR.2,60%,34%,61%,27%,15%,37%
3,SOG_DIM,minE21.2_HR.2_cap30,87%,50%,71%,47%,27%,49%
4,SOG_DIM,minE21.2_HR.1_cap30,93%,62%,78%,43%,33%,50%
5,SOG_DIM,minE.5B0_HR.2,80%,50%,69%,47%,15%,43%
6,SOG_DIM,minE.5B0_HR.2_cap30,80%,50%,69%,33%,28%,41%
7,SOG_DIM,minE.5B0_HR.1_cap30,100%,69%,81%,53%,33%,53%
8,SOG_DIM,HS30-60_HR.2,67%,42%,64%,27%,14%,38%
9,SOG_DIM,HS30-60_HR.2_cap30,73%,48%,65%,27%,23%,40%
10,SOG_DIM,HS30-60_HR.1_cap30,100%,68%,82%,60%,37%,59%
,,,,,,,,
,,,,,,,,
,,,old method,min over years of rep prob,Unconditional,old method,min over years of rep prob,Unconditional
,,,med Prob_t(Bti > .3B0i),Min_t P(Bti > .3B0i),P(Bt > .3B0),med Prob_t(Bti > .6B0i),Min_t P(Bti > .6B0i),P(Bt > .6B0)
11,SOG_DDM,NoFish,100%,85%,92%,100%,64%,74%
12,SOG_DDM,minE21.2_HR.2,67%,33%,57%,27%,12%,32%
13,SOG_DDM,minE21.2_HR.2_cap30,73%,47%,64%,37%,28%,42%
14,SOG_DDM,minE21.2_HR.1_cap30,93%,69%,79%,47%,35%,50%
15,SOG_DDM,minE.5B0_HR.2,73%,49%,68%,33%,19%,37%
16,SOG_DDM,minE.5B0_HR.2_cap30,73%,50%,66%,33%,26%,42%
17,SOG_DDM,minE.5B0_HR.1_cap30,100%,75%,84%,60%,40%,57%
18,SOG_DDM,HS30-60_HR.2,60%,43%,61%,20%,11%,31%
19,SOG_DDM,HS30-60_HR.2_cap30,80%,55%,70%,40%,29%,46%
20,SOG_DDM,HS30-60_HR.1_cap30,100%,66%,76%,53%,36%,52%
