"","Scenario","MP","Label","ProbBtGt.3B0","ProbBtGt.4B0","ProbBtGt.6B0","ProbBtGtBave","ProbBtGtBave-prod","NCN1_ProbGt.75B0","NCN2_ProbGtB90s","medAAV","medAveCatch","probClosure"
"1","WCVI_DDM","1","NoFish",0.88,0.81,0.61,0.61,0.4,0.46,0.42,6.81,0.13,1
"2","WCVI_DDM","2","minE.5B0_HR.1_cap2",0.87,0.76,0.55,0.55,0.34,0.39,0.38,16.49,1.72,0.25
"3","WCVI_DDM","3","minE18.8_HR.1_cap2",0.86,0.76,0.54,0.54,0.34,0.38,0.37,8.26,1.85,0.17
"4","WCVI_DDM","4","minE.5B0_HR.2",0.78,0.61,0.33,0.32,0.16,0.2,0.22,47.42,6.23,0.29
"5","WCVI_DDM","5","minE18.8_HR.2",0.75,0.58,0.3,0.3,0.15,0.19,0.21,41.28,6.66,0.21
"6","WCVI_DDM","6","HS30-60_HR.1_cap2",0.86,0.75,0.54,0.54,0.34,0.39,0.37,13.14,1.86,0.14
"7","WCVI_DDM","7","minE.5B0_HR.1",0.86,0.74,0.47,0.47,0.27,0.32,0.32,39.07,3.63,0.27
"8","WCVI_DDM","8","HS30-60_HR.1",0.84,0.72,0.46,0.46,0.26,0.31,0.31,36.33,3.78,0.14
"9","WCVI_DDM","9","HS30-60_HR.2",0.74,0.58,0.3,0.3,0.15,0.19,0.21,40.31,6.56,0.14
"10","WCVI_DDM","10","minE18.8_HR.1",0.84,0.72,0.46,0.46,0.27,0.31,0.31,34.32,3.79,0.18
"11","WCVI_DIM","1","NoFish",0.78,0.66,0.39,0.4,0.23,0.27,0.32,10.79,0.13,1
"12","WCVI_DIM","2","minE.5B0_HR.1_cap2",0.74,0.6,0.35,0.35,0.2,0.23,0.28,29.43,1.52,0.34
"13","WCVI_DIM","3","minE18.8_HR.1_cap2",0.73,0.59,0.34,0.34,0.19,0.22,0.28,21.35,1.74,0.26
"14","WCVI_DIM","4","minE.5B0_HR.2",0.6,0.42,0.19,0.2,0.08,0.11,0.17,60.48,4.48,0.39
"15","WCVI_DIM","5","minE18.8_HR.2",0.56,0.39,0.18,0.18,0.08,0.1,0.16,47.74,5.06,0.3
"16","WCVI_DIM","6","HS30-60_HR.1_cap2",0.73,0.59,0.34,0.34,0.19,0.23,0.28,18.63,1.73,0.21
"17","WCVI_DIM","7","minE.5B0_HR.1",0.69,0.54,0.28,0.28,0.14,0.17,0.23,49.49,2.69,0.37
"18","WCVI_DIM","8","HS30-60_HR.1",0.68,0.53,0.28,0.27,0.14,0.17,0.23,40.85,2.97,0.22
"19","WCVI_DIM","9","HS30-60_HR.2",0.56,0.39,0.18,0.18,0.08,0.1,0.16,47.27,5.06,0.2
"20","WCVI_DIM","10","minE18.8_HR.1",0.68,0.53,0.27,0.27,0.14,0.17,0.23,41.17,3.08,0.28
"21","WCVI_conM","1","NoFish",0.94,0.82,0.58,0.74,0.73,0.4,0.92,6.67,0.13,1
"22","WCVI_conM","2","minE.5B0_HR.1_cap2",0.91,0.8,0.53,0.7,0.68,0.36,0.88,7.12,1.98,0.08
"23","WCVI_conM","3","minE18.8_HR.1_cap2",0.91,0.79,0.53,0.7,0.68,0.36,0.88,7.12,1.98,0.07
"24","WCVI_conM","4","minE.5B0_HR.2",0.73,0.5,0.23,0.41,0.39,0.13,0.7,31.3,13.09,0.1
"25","WCVI_conM","5","minE18.8_HR.2",0.72,0.5,0.23,0.4,0.38,0.13,0.69,30.46,13.3,0.08
"26","WCVI_conM","6","HS30-60_HR.1_cap2",0.91,0.79,0.53,0.7,0.68,0.36,0.88,7.1,1.98,0.07
"27","WCVI_conM","7","minE.5B0_HR.1",0.87,0.7,0.38,0.59,0.57,0.25,0.83,29.47,7.68,0.09
"28","WCVI_conM","8","HS30-60_HR.1",0.86,0.7,0.38,0.58,0.57,0.24,0.83,29.4,7.71,0.07
"29","WCVI_conM","9","HS30-60_HR.2",0.72,0.5,0.23,0.4,0.38,0.13,0.69,30.7,13.23,0.07
"30","WCVI_conM","10","minE18.8_HR.1",0.86,0.7,0.38,0.59,0.56,0.24,0.83,28.89,7.73,0.07
