"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10","Sim11","Sim12"
"1","gui$mpLabel","""minE.5B0_HR.1_cap2_slowUp5""","""minE.5B0_HR.1_cap2_slowUp4""","""minE.5B0_HR.1_cap2_slowUp2""","""minE.5B0_HR.1_cap2_slowUp3""","""minE.5B0_HR.1_cap2_slowUp5""","""minE.5B0_HR.1_cap2_slowUp5""","""minE.5B0_HR.1_cap2_slowUp2""","""minE.5B0_HR.1_cap2_slowUp2""","""minE.5B0_HR.1_cap2_slowUp3""","""minE.5B0_HR.1_cap2_slowUp4""","""minE.5B0_HR.1_cap2_slowUp3""","""minE.5B0_HR.1_cap2_slowUp4"""
"2","gui$nReps","100","100","100","100","100","100","100","100","100","100","100","100"
"3","gui$quiet","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"4","gui$scenarioLabel","""WCVI_conM""","""WCVI_conM""","""WCVI_conM""","""WCVI_conM""","""WCVI_DIM""","""WCVI_DDM""","""WCVI_DIM""","""WCVI_DDM""","""WCVI_DIM""","""WCVI_DIM""","""WCVI_DDM""","""WCVI_DDM"""
"5","gui$simAnnotate","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"6","gui$simLegend","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"7","gui$simPlotType","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs""","""simSpecs"""
"8","gui$simSetXaxis","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"9","gui$simSetYaxis","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"10","mp$assess$avgPoints","3","3","3","3","3","3","3","3","3","3","3","3"
"11","mp$assess$caaAges","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"12","mp$assess$caaM","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08"
"13","mp$assess$caaPmM","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08"
"14","mp$assess$caaPmSteep","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75"
"15","mp$assess$caaPsdM","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"16","mp$assess$caaPsdSteep","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"17","mp$assess$caaRhoEiv","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"18","mp$assess$caaSigmaR","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7"
"19","mp$assess$chkMethod1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"20","mp$assess$chkMethod2","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21","mp$assess$idxMethod1","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)"""
"22","mp$assess$idxMethod2","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)""","""seq(68,54,1)"""
"23","mp$assess$t1Method","68","68","68","68","68","68","68","68","68","68","68","68"
"24","mp$assess$t2Method","82","82","82","82","82","82","82","82","82","82","82","82"
"25","mp$assess$ddAlphaG","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054","1.4054"
"26","mp$assess$ddB0","20","20","20","20","20","20","20","20","20","20","20","20"
"27","mp$assess$ddkAge","2","2","2","2","2","2","2","2","2","2","2","2"
"28","mp$assess$ddM","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56"
"29","mp$assess$ddPmM","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56","0.56"
"30","mp$assess$ddPmSteep","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53"
