"SimFolder","Scenario","Procedure","Period","t1","t2","medAvgDep","Q1AvgDep","Q2AvgDep","medFinalDep","Q1FinalDep","Q2FinalDep","medLowDep","Q1LowDep","Q2LowDep","medAAV","Q1AAV","Q2AAV","medAvgCatch","Q1AvgCatch","Q2AvgCatch","medLowCatch","Q1LowCatch","Q2LowCatch","medHighCatch","Q1HighCatch","Q2HighCatch","medAvgDiscard","Q1AvgDiscard","Q2AvgDiscard","criticalP","cautiousP","healthyP","yearAtTargetProb","probAtTargetYear","targetAtYearProb","probGteDepMSY","probGteLimit","pObj1","pObj3","pHealthy","t1Trend","trendPeriod","avgExpSlope","trendDec","trendInc","obsPdecline","pDecline","pGTlrp","pGTtarg","t1AvgCatch","t1AvgDep","pObj4","medProbGt.75B0","Q1ProbGt.75B0","Q2ProbGt.75B0","medProbGt.3B0","Q1ProbGt.3B0","Q2ProbGt.3B0","medProbGt.6B0","Q1ProbGt.6B0","Q2ProbGt.6B0","medProbGt.4B0","Q1ProbGt.4B0","Q2ProbGt.4B0","medProbGtBave","Q1ProbGtBave","Q2ProbGtBave","medProbGtBave-prod","Q1ProbGtBave-prod","Q2ProbGtBave-prod","medProbClosure","Q1ProbClosure","Q2ProbClosure","meanProbClosure","minProbBtGt.3B0","totProbGt.75B0","medProbGt.75NoFish","Q1ProbGt.75NoFish","Q2ProbGt.75NoFish","totProbGtB90s","medProbNCNGoal2NoFish","Q1ProbNCNGoal2NoFish","Q2ProbNCNGoal2NoFish","totProbBtGt.3B0","totProbBtGt.4B0","minProbBtGt.6B0","totProbBtGt.6B0","minProbBtGtBave","totProbBtGtBave","minProbBtGtBave-prod","totProbBtGtBave-prod"
"sim260720180100282","WCVI_DDM_obsCV.625_pulseM2.0x.75","minE.5B0_HR.1_cap2","Short",68,72,0.529041890134163,0.155625700718456,1.28972665622801,0.590304918715255,0.157502194361938,1.87861016966014,0.417986751742834,0.157419949320785,0.701468649463725,32.1151705147899,24.6385611667272,150.46923091015,1.31808694327552,0.0670627779166947,1.72053160590093,0.134030820126475,0.0321843682152842,0.134546190511634,2.11041778395634,0.421418609862635,2.11662637540816,-999,-999,-999,0.254,0.278,0.468,45,0,1,0.864,0.746,0.982,0.896,0.944,68,10,0.0738124410527212,20,80,0.2,0.147891557881902,1,0.1,0.109682294465262,0.451633179100009,-999,-999,-999,-999,1,0,1,0.2,0,1,1,0,1,0.3,0,1,0,0,0.809999999999999,0.4,0.2,1,0.492,0.71,0.264,1,1,1,0.298,1,1,1,0.746,0.652,0.19,0.376,0.2,0.396,0.07,0.218
"sim260720180100282","WCVI_DDM_obsCV.625_pulseM2.0x.75","minE.5B0_HR.1_cap2","Med",68,77,0.678640306895793,0.196110794383453,1.467081741456,0.723790897850483,0.191477900892121,1.82738674868352,0.417986751742834,0.147233278808019,0.701468649463725,14.2936749946424,11.0994977226192,120.739073137051,1.59148970203693,0.432562713954564,1.91771612231214,0.134030820126475,0.0298419412636715,0.134546190511634,2.11217464884893,2.06962227200165,2.11696360804374,-999,-999,-999,0.199,0.218,0.583,45,0,1,0.877,0.801,0.971,0.903,0.944,68,10,0.0477224816408878,9,91,0.09,0.147891557881902,1,0.4,0.109682294465262,0.451633179100009,-999,-999,-999,-999,1,0,1,0.55,0,1,1,0,1,0.6,0,1,0.2,0,0.905,0.2,0.1,0.8,0.332,0.71,0.378,1,1,1,0.407,1,1,1,0.801,0.733,0.19,0.504,0.2,0.515,0.07,0.319
"sim260720180100282","WCVI_DDM_obsCV.625_pulseM2.0x.75","minE.5B0_HR.1_cap2","Long",68,82,0.716098456621512,0.227037843781945,1.39599496114589,0.858609504169667,0.416067603051826,1.46562713141773,0.414046697099265,0.147233278808019,0.685445338000719,15.678859761141,7.19735908804125,99.3921364017707,1.7172076125171,0.579582060027132,1.98161886690048,0.134030820126475,0.0298419412636715,0.134507756653001,2.11364545282111,2.10952316611774,2.11696360804374,-999,-999,-999,0.154,0.183333333333333,0.662666666666667,45,0,1,0.902666666666667,0.846,0.968,0.922,0.949333333333333,68,10,0.0421197648086886,7,93,0.07,0.147891557881902,1,0.533333333333333,0.109682294465262,0.451633179100009,-999,-999,-999,-999,1,0.196666666666667,1,0.6,0,1,1,0.0666666666666667,1,0.666666666666667,0,1,0.3,0,0.933333333333333,0.2,0.0666666666666667,0.74,0.262666666666667,0.71,0.436666666666667,1,1,1,0.484666666666667,1,1,1,0.846,0.787333333333333,0.19,0.587333333333333,0.2,0.596666666666667,0.07,0.38
"sim260720180100404","WCVI_DIM_obsCV.625","minE.5B0_HR.1_cap2","Short",68,72,0.522909175003604,0.177922687196919,1.29209565160406,0.531862753900683,0.136841030114095,1.74425362070002,0.402192235150954,0.15385300755877,0.697095413151433,33.6689705743811,24.6538657266855,179.427187461755,1.30523654680208,0.0511023749441498,1.71845877482839,0.13397734721266,0.025180619560715,0.134525260294793,2.1085628985418,0.241536646012668,2.11572324730269,-999,-999,-999,0.252,0.308,0.44,45,0,1,0.866,0.748,1,0.886,0.946,68,10,0.0565799707374231,32,68,0.32,0.14371110687236,1,0,0.108151856167562,0.446809487891869,-999,-999,-999,-999,1,0,1,0.2,0,1,0.9,0,1,0.2,0,1,0,0,0.809999999999999,0.4,0.2,1,0.518,0.71,0.212,1,1,1,0.254,1,1,1,0.748,0.62,0.19,0.344,0.19,0.364,0.06,0.168
"sim260720180100404","WCVI_DIM_obsCV.625","minE.5B0_HR.1_cap2","Med",68,77,0.513547137734439,0.165463665427486,1.27456745027563,0.499227353090694,0.135050526690605,1.33759522287594,0.3485657128752,0.117406762328423,0.682342338838256,28.3365786917859,11.127496018463,161.372303860948,1.5084364776274,0.226010042428264,1.91445794747805,0.133797218866412,0.0217288025702934,0.134525260294793,2.10955933326219,2.02351095571644,2.11572324730269,-999,-999,-999,0.263,0.281,0.456,45,0,1,0.85,0.737,1,0.87,0.925,68,10,0.0162231110321953,39,61,0.39,0.14371110687236,1,0.1,0.108151856167562,0.446809487891869,-999,-999,-999,-999,1,0,1,0.3,0,1,0.8,0,1,0.25,0,1,0,0,0.905,0.3,0.1,0.9,0.373,0.7,0.26,1,1,1,0.283,1,1,1,0.737,0.621,0.19,0.379,0.19,0.382,0.06,0.216
"sim260720180100404","WCVI_DIM_obsCV.625","minE.5B0_HR.1_cap2","Long",68,82,0.496481316170974,0.192148102759334,1.11909718741787,0.404825661512228,0.151002429509431,0.755616438133058,0.300477721832807,0.113748331996928,0.520629984324915,27.0688893626305,7.22090567593073,124.403170028641,1.55825837052611,0.419928235854762,1.97921515246421,0.100540738654279,0.0200772632031154,0.134485215409573,2.10967208035065,2.07621964691268,2.11572324730269,-999,-999,-999,0.260666666666667,0.312666666666667,0.426666666666667,45,0,1,0.856666666666667,0.739333333333333,1,0.878,0.929333333333333,68,10,-0.0029116929254791,54,46,0.54,0.14371110687236,1,0.0666666666666667,0.108151856167562,0.446809487891869,-999,-999,-999,-999,0.966666666666667,0,1,0.2,0,0.933333333333333,0.8,0,1,0.2,0,1,0,0,0.866666666666667,0.266666666666667,0.0666666666666667,0.803333333333333,0.335333333333333,0.69,0.226666666666667,1,1,1,0.26,1,1,1,0.739333333333333,0.603333333333333,0.19,0.346666666666667,0.19,0.346666666666667,0.06,0.196
"sim260720180101553","WCVI_conM_obsCV.49","minE18.8_HR.2","Short",68,72,0.439108524570828,0.259135257233599,0.833795857670199,0.484786802827482,0.218818676465163,1.12081937872781,0.314927182432142,0.196055376041446,0.475591603986474,38.3938069151522,31.5290434732202,51.2520133835855,4.57275255736135,2.93476021120865,8.55255538135648,0.133961130038676,0.133901358000559,0.134023210934116,8.1722417429068,5.20506922210094,15.5948289060685,-999,-999,-999,0.212,0.478,0.31,45,0,1,0.944,0.788,1,1,1,68,10,0.0765666310458653,30,70,0.3,0.385267212173331,1,0.8,0.133961105797656,0.382287456775495,-999,-999,-999,-999,1,0.19,1,0,0,0.8,0.6,0,1,0.4,0,1,0.4,0,1,0.2,0.2,0.2,0.206,0.73,0.1,1,1,1,0.796,1,1,1,0.788,0.528,0.08,0.206,0.16,0.4,0.16,0.384
"sim260720180101553","WCVI_conM_obsCV.49","minE18.8_HR.2","Med",68,77,0.502088756989507,0.27970283259477,0.968328327776564,0.558773227596871,0.216027838363432,1.42240903677267,0.291848274254416,0.186342220795996,0.416941907991246,29.7084974640547,20.5769472488582,42.8579104131361,6.83168390317292,4.11363858816242,14.7176189427162,0.133961130038676,0.133901358000559,0.134023210934116,12.7391868003168,7.89156888148375,24.3566182671197,-999,-999,-999,0.172,0.434,0.394,45,0,1,0.944,0.828,1,1,1,68,10,0.0521320896164307,23,77,0.23,0.385267212173331,1,0.9,0.133961105797656,0.382287456775495,-999,-999,-999,-999,0.9,0.3,1,0.2,0,0.8,0.7,0,1,0.5,0,1,0.5,0,1,0.1,0.1,0.1,0.103,0.73,0.17,1,1,1,0.825,1,1,1,0.828,0.633,0.08,0.292,0.16,0.514,0.16,0.492
"sim260720180101553","WCVI_conM_obsCV.49","minE18.8_HR.2","Long",68,82,0.556253419437171,0.349379214951118,0.967300761034865,0.646820098164786,0.242431443917074,1.23209709939781,0.276671539153755,0.186173889554613,0.404267095665527,27.909760275494,20.5082660132789,37.0759771276233,7.72752070564447,4.97181371290577,17.0305404583266,0.133961130038676,0.133901358000559,0.134023210934116,14.6459815214137,9.47003054507853,28.6387399228783,-999,-999,-999,0.137333333333333,0.379333333333333,0.483333333333333,45,0,1,0.954666666666667,0.862666666666667,1,1,1,68,10,0.0381333963077761,20,80,0.2,0.385267212173331,1,0.866666666666667,0.133961105797656,0.382287456775495,-999,-999,-999,-999,0.933333333333333,0.463333333333333,1,0.366666666666667,0,0.8,0.733333333333333,0.263333333333333,1,0.666666666666667,0.13,0.933333333333333,0.6,0.0666666666666667,0.936666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0686666666666667,0.73,0.24,1,1,1,0.853333333333333,1,1,1,0.862666666666667,0.694666666666667,0.08,0.378666666666667,0.16,0.583333333333333,0.16,0.56
"sim260720180108021","WCVI_DDM_obsCV.625","minE18.8_HR.2","Short",68,72,0.464267640590345,0.16664814273121,1.14775670105326,0.517985329452869,0.151144921092441,1.4056527040764,0.373705123225154,0.166931975158967,0.701468649463725,43.2796619658963,31.2706234140024,142.110772537385,2.52305985586185,0.563882507269171,4.60733348154768,0.134040040911805,0.0380293119201332,0.134550289864264,4.47708961469905,2.43422263120561,6.81971089433971,-999,-999,-999,0.242,0.346,0.412,45,0,1,0.87,0.758,0.992,0.908,0.944,68,10,0.0455800465775818,34,66,0.34,0.147891557881902,1,0,0.109682294465262,0.451633179100009,-999,-999,-999,-999,1,0,1,0,0,1,0.8,0,1,0.2,0,1,0,0,0.809999999999999,0.2,0.2,0.8,0.358,0.72,0.204,1,1,1,0.224,1,1,1,0.758,0.6,0.19,0.32,0.2,0.328,0.07,0.166
