"SimFolder","Scenario","Procedure","Period","t1","t2","statistic","value"
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medAvgDep",0.960588335291122
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1AvgDep",0.321521793298088
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2AvgDep",3.614356050909
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medFinalDep",0.898141981367719
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1FinalDep",0.180139785853111
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2FinalDep",4.90782990291883
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medLowDep",0.654604704177388
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1LowDep",0.252557809264602
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2LowDep",1.45250173851876
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medAAV",1853.96311621263
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1AAV",1729.50142420657
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2AAV",1956.84875817198
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medAvgCatch",0.135378088361844
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1AvgCatch",0.135058374254883
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2AvgCatch",0.135705958575646
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medLowCatch",0.135262537445914
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1LowCatch",0.1349934763647
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2LowCatch",0.1355571816666
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medHighCatch",0.135473688915111
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1HighCatch",0.135228467472471
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2HighCatch",0.135745908215545
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"medAvgDiscard",-999
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q1AvgDiscard",-999
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"Q2AvgDiscard",-999
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"criticalP",0.058
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"cautiousP",0.156
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"healthyP",0.786
"sim0306201822425320","SOG_DIM","NoFish","Short",68,77,"yearAtTargetProb",45
