"","simFolder","simName","simFile","simDate","scenario","mp","tMP","nT","nReps","rank","group"
"1","sim1306201817022510","sim1306201817022510","sim1306201817022510.Rdata","13062018170225","WCVI_DDM","NoFish",68,82,100,1,1
"2","sim1306201817023320","sim1306201817023320","sim1306201817023320.Rdata","13062018170233","WCVI_DIM","NoFish",68,82,100,1,1
"3","sim140620180616596","sim140620180616596","sim140620180616596.Rdata","14062018061659","WCVI_DDM","minE.5B0_HR.1_cap2",68,82,100,1,1
"4","sim1406201806180116","sim1406201806180116","sim1406201806180116.Rdata","14062018061801","WCVI_DIM","minE.5B0_HR.1_cap2",68,82,100,1,1
"5","sim1406201806180513","sim1406201806180513","sim1406201806180513.Rdata","14062018061805","WCVI_DIM","minE18.8_HR.1_cap2",68,82,100,1,1
"6","sim1406201806180814","sim1406201806180814","sim1406201806180814.Rdata","14062018061808","WCVI_DIM","minE.5B0_HR.2",68,82,100,1,1
"7","sim140620180620043","sim140620180620043","sim140620180620043.Rdata","14062018062004","WCVI_DDM","minE18.8_HR.1_cap2",68,82,100,1,1
"8","sim1406201806203311","sim1406201806203311","sim1406201806203311.Rdata","14062018062033","WCVI_DIM","minE18.8_HR.2",68,82,100,1,1
"9","sim140620180621099","sim140620180621099","sim140620180621099.Rdata","14062018062109","WCVI_DDM","HS30-60_HR.1_cap2",68,82,100,1,1
"10","sim140620180621345","sim140620180621345","sim140620180621345.Rdata","14062018062134","WCVI_DDM","minE.5B0_HR.1",68,82,100,1,1
"11","sim140620180622211","sim140620180622211","sim140620180622211.Rdata","14062018062221","WCVI_DDM","minE18.8_HR.2",68,82,100,1,1
"12","sim140620180622264","sim140620180622264","sim140620180622264.Rdata","14062018062226","WCVI_DDM","minE.5B0_HR.2",68,82,100,1,1
"13","sim1406201806232719","sim1406201806232719","sim1406201806232719.Rdata","14062018062327","WCVI_DIM","HS30-60_HR.1_cap2",68,82,100,1,1
"14","sim1406201806234715","sim1406201806234715","sim1406201806234715.Rdata","14062018062347","WCVI_DIM","minE.5B0_HR.1",68,82,100,1,1
"15","sim1406201806250518","sim1406201806250518","sim1406201806250518.Rdata","14062018062505","WCVI_DIM","HS30-60_HR.1",68,82,100,1,1
"16","sim140620180625327","sim140620180625327","sim140620180625327.Rdata","14062018062532","WCVI_DDM","HS30-60_HR.2",68,82,100,1,1
"17","sim1406201806255912","sim1406201806255912","sim1406201806255912.Rdata","14062018062559","WCVI_DIM","minE18.8_HR.1",68,82,100,1,1
"18","sim140620180626292","sim140620180626292","sim140620180626292.Rdata","14062018062629","WCVI_DDM","minE18.8_HR.1",68,82,100,1,1
"19","sim1406201806283717","sim1406201806283717","sim1406201806283717.Rdata","14062018062837","WCVI_DIM","HS30-60_HR.2",68,82,100,1,1
"20","sim140620180629128","sim140620180629128","sim140620180629128.Rdata","14062018062912","WCVI_DDM","HS30-60_HR.1",68,82,100,1,1
"21","","","","","","",0,0,0,0,0
"22","","","","","","",0,0,0,0,0
"23","","","","","","",0,0,0,0,0
"24","","","","","","",0,0,0,0,0
"25","","","","","","",0,0,0,0,0
"26","","","","","","",0,0,0,0,0
"27","","","","","","",0,0,0,0,0
"28","","","","","","",0,0,0,0,0
"29","","","","","","",0,0,0,0,0
"30","","","","","","",0,0,0,0,0
"31","","","","","","",0,0,0,0,0
"32","","","","","","",0,0,0,0,0
"33","","","","","","",0,0,0,0,0
"34","","","","","","",0,0,0,0,0
"35","","","","","","",0,0,0,0,0
"36","","","","","","",0,0,0,0,0
"37","","","","","","",0,0,0,0,0
"38","","","","","","",0,0,0,0,0
"39","","","","","","",0,0,0,0,0
"40","","","","","","",0,0,0,0,0
"41","","","","","","",0,0,0,0,0
"42","","","","","","",0,0,0,0,0
"43","","","","","","",0,0,0,0,0
"44","","","","","","",0,0,0,0,0
"45","","","","","","",0,0,0,0,0
"46","","","","","","",0,0,0,0,0
"47","","","","","","",0,0,0,0,0
"48","","","","","","",0,0,0,0,0
"49","","","","","","",0,0,0,0,0
"50","","","","","","",0,0,0,0,0
